Year,UNIT_MEASURE,Value
1996,Stopa mortaliteta,6.3
1997,Stopa mortaliteta,6.9
1998,Stopa mortaliteta,7.3
1999,Stopa mortaliteta,7.1
2000,Stopa mortaliteta,7.4
2001,Stopa mortaliteta,7.3
2002,Stopa mortaliteta,7.4
2003,Stopa mortaliteta,7.9
2004,Stopa mortaliteta,7.9
2005,Stopa mortaliteta,8.3
2006,Stopa mortaliteta,8.0
2007,Stopa mortaliteta,8.7
2008,Stopa mortaliteta,8.3
2009,Stopa mortaliteta,8.3
2010,Stopa mortaliteta,8.6
2011,Stopa mortaliteta,8.8
2012,Stopa mortaliteta,8.7
2013,Stopa mortaliteta,8.9
2014,Stopa mortaliteta,8.7
2015,Stopa mortaliteta,9.8
2016,Stopa mortaliteta,9.6
2017,Stopa mortaliteta,9.9
2018,Stopa mortaliteta,9.8
2019,Stopa mortaliteta,10.1
