Year,Value,UNIT_MEASURE
2005,3683,Broj
2006,3767,Broj
2007,3979,Broj
2008,4117,Broj
2009,4268,Broj
2010,4355,Broj
2011,4443,Broj
2012,4519,Broj
2013,4625,Broj
2014,4801,Broj
2015,4764,Broj
2016,4755,Broj
2017,4810,Broj
2018,4922,Broj
2019,5092,Broj
