Year,Value,UNIT_MEASURE
2007,43.8,Broj
2008,35.8,Broj
2009,47.1,Broj
2010,39.0,Broj
2011,35.1,Broj
2012,41.4,Broj
2013,26.1,Broj
2014,17.7,Broj
2015,45.7,Broj
2016,51.1,Broj
2017,49.6,Broj
