Year,Value,UNIT_MEASURE
2003,8,Broj
2004,10,Broj
2005,11,Broj
2006,12,Broj
2007,4,Broj
2008,7,Broj
2009,4,Broj
2010,3,Broj
2011,20,Broj
2012,17,Broj
2013,16,Broj
2014,15,Broj
2015,10,Broj
2016,16,Broj
2017,7,Broj
2018,19,Broj
2019,21,Broj
