Year,Value,UNIT_MEASURE
1996,25.7,Broj na 1000 brakova
1997,68.4,Broj na 1000 brakova
1998,77.9,Broj na 1000 brakova
1999,84.1,Broj na 1000 brakova
2000,84.9,Broj na 1000 brakova
2001,100.8,Broj na 1000 brakova
2002,110.5,Broj na 1000 brakova
2003,89.6,Broj na 1000 brakova
2004,62.6,Broj na 1000 brakova
2005,70.9,Broj na 1000 brakova
2006,71.7,Broj na 1000 brakova
2007,69.6,Broj na 1000 brakova
2008,62.9,Broj na 1000 brakova
2009,58.9,Broj na 1000 brakova
2010,76.5,Broj na 1000 brakova
2011,97.0,Broj na 1000 brakova
2012,97.5,Broj na 1000 brakova
2013,119.8,Broj na 1000 brakova
2014,110.2,Broj na 1000 brakova
2015,115.8,Broj na 1000 brakova
2016,113.0,Broj na 1000 brakova
2017,132.8,Broj na 1000 brakova
2018,139.6,Broj na 1000 brakova
2019,136.4,Broj na 1000 brakova
