Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
iliterate,iliterate,iliterate,iliterate,iliterate,22,1
literate,Literate,Pismeno stanovništvo,Писмено становништво,Pismeno stanovništvo,22,1
unknown,Unknown,Nepoznato,Непознато,Nepoznato,22,1
