Indicator,Disaggregation combinations using this value
#5-5-2,3
#5-5-3,9
#5-5-4,3
#5-5-5,10
#5-5-6,3
#5-5-7,10
#5-6-1,3
#5-6-2,10
#5-6-3,3
#5-6-4,10
