Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
1,1,1,1,1,11,1
2,2,2,2,2,11,1
3,3,3,3,3,11,1
4,4,4,4,4,11,1
5+,5+,5+,5+,5+,11,1
did_not_give_birth,Did not give birth,Nisu rađale,Нису рађале,Nisu rađale,11,1
Total,Total,Total,Total,Total,11,1
