Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_F,_F,_F,_F,_F,1,1
_M,_M,_M,_M,_M,1,1
_T,Both sexes,Oba spola,Оба пола,Oba spola,255,15
F,F,Ž,Ж,Ž,252,12
M,M,M,M,M,251,12
