Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
all_methods,All methods,Sve metode,Укупна стопа преваленце контрацепције,Sve metode,1,1
modern_methods,Modern methods,Savremene metode,Стопа преваленце контрацепције (употребом савремених метода),Suvremene metode,1,1
traditional_methods,Traditional methods,Tradicionalne metode,Стопа преваленце контрацепције (употребом традиционалних методa),Tradicionalne metode,1,1
