Indicator,Disaggregation combinations using this value
#1-1-1,22
#1-3-2,1
#1-3-3,1
#1-3-4,460
#1-3-5,1
#1-4-2,1
#1-4-3,1
#1-4-4,1
#1-4-5,1
#1-5-1,1
#1-7-3,3
#1-7-4,2
#1-8-1,87
#1-8-2,19
#1-8-3,1710
