Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Both sexes,Oba spola,Оба пола,Oba spola,3457,52
F,F,Ž,Ж,Ž,3447,53
M,M,M,M,M,3445,53
