Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
1,1,1,1,1,90,1
2,2,2,2,2,90,1
3,3,3,3,3,90,1
4,4,4,4,4,90,1
5,5,5,5,5,90,1
6,6,6,6,6,90,1
7,7,7,7,7,90,1
8+,8+,8+,8+,8+,90,1
T,Total,Ukupno,Укупно,Ukupno,90,1
