Indicator,Disaggregation combinations using this value
#1-1-1,7
#1-6-1,1
#1-6-3,1
#1-8-3,57
#2-1-1,261
#2-1-5,7
#2-2-1,9
#2-2-2,3
#2-3-1,6
#2-3-2,24
#2-4-1,24
