Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
DEATHS,Deaths,Umrli,Умрли,Umrli,3,1
LIVE_BIRTH,Live births,Živorođeni,Живорођени,Živorođeni,3,1
