Indicator,Disaggregation combinations using this value
#1-2-4,1
#1-7-3,9
#2-1-6,9
#5-7-2,3
#6-1-3,1
#7-1-1,15
#7-1-2,24
#7-1-3,24
#7-1-4,9
#7-2-1,96
#7-2-2,96
#7-2-3,96
