Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
art_schools,Art schools,Umjetničke škole,Умјетничке школе,Umjetničke škole,44,2
gymnasium,Gymnasium,Gimnazija,Гимназијe,Gimnazija,44,2
high_schools_for_students_with_disabilities,High schools for students with disabilities,Srednje škole za djecu s poteškoćama u razvoju,Средње школе за ученике са сметњама у развоју,Srednje škole za djecu s poteškoćama u razvitku,44,2
religious_schools,Religious schools,Vjerske škole,Вјерске школе,Vjerske škole,44,2
technical_high_schools,Technical high schools,Tehničke škole,Средње техничке школе,Tehničke škole,44,2
vocational_high_schools,Vocational high schools,Stručne škole,Средње стручне школе,Stručne škole,44,2
