Indicator,Disaggregation combinations using this value
#5-1-1,1
#5-4-1,1
#5-5-2,1
#5-5-4,1
#5-6-2,1
#5-6-4,1
#5-7-1,1
#5-7-2,1
#5-7-3,1
#5-7-4,1
