Indicator,Disaggregation combinations using this value
#5-1-2,3
#5-1-4,3
#5-2-1,3
#5-2-2,3
#5-2-3,3
#5-3-1,3
#5-3-2,6
#5-3-3,3
#5-3-4,18
#5-3-5,3
