Year,UNIT_MEASURE,Value
1996,Стопа нупцијалитета,6.5
1997,Стопа нупцијалитета,6.8
1998,Стопа нупцијалитета,6.7
1999,Стопа нупцијалитета,6.3
2000,Стопа нупцијалитета,6.0
2001,Стопа нупцијалитета,5.5
2002,Стопа нупцијалитета,5.6
2003,Стопа нупцијалитета,5.6
2004,Стопа нупцијалитета,5.9
2005,Стопа нупцијалитета,5.8
2006,Стопа нупцијалитета,5.6
2007,Стопа нупцијалитета,6.4
2008,Стопа нупцијалитета,6.4
2009,Стопа нупцијалитета,5.9
2010,Стопа нупцијалитета,5.6
2011,Стопа нупцијалитета,5.4
2012,Стопа нупцијалитета,5.2
2013,Стопа нупцијалитета,4.9
2014,Стопа нупцијалитета,5.4
2015,Стопа нупцијалитета,5.9
2016,Стопа нупцијалитета,5.8
2017,Стопа нупцијалитета,5.9
2018,Стопа нупцијалитета,5.9
2019,Стопа нупцијалитета,5.6
