Year,UNIT_MEASURE,Sex,Value
2013,NUMBER,M,73.9
2014,NUMBER,M,74.4
2015,NUMBER,M,74
2016,NUMBER,M,74.6
2017,NUMBER,M,74.5
2018,NUMBER,M,75.1
2019,NUMBER,M,74.9
2020,NUMBER,M,73.1
2021,NUMBER,M,72.4
2022,NUMBER,M,75.2
2023,NUMBER,M,77
2013,NUMBER,F,78.5
2014,NUMBER,F,78.9
2015,NUMBER,F,78.3
2016,NUMBER,F,78.8
2017,NUMBER,F,78.9
2018,NUMBER,F,79.3
2019,NUMBER,F,79.2
2020,NUMBER,F,78.3
2021,NUMBER,F,77.2
2022,NUMBER,F,79.6
2023,NUMBER,F,81.2
