Year,UNIT_MEASURE,Admin_Area,Value
2010,NUMBER,una-sana_canton,225
2010,NUMBER,posavina_canton,25
2010,NUMBER,tuzla_canton,249
2010,NUMBER,zenica-doboj_canton,184
2010,NUMBER,bosnian-podrinje_canton,10
2010,NUMBER,central_bosnia_canton,64
2010,NUMBER,herzegovina-neretva_canton,84
2010,NUMBER,west_herzegovina_canton,21
2010,NUMBER,sarajevo_canton,101
2010,NUMBER,canton_10,18
2011,NUMBER,federation_of_bih,1208
2011,NUMBER,una-sana_canton,237
2011,NUMBER,posavina_canton,19
2011,NUMBER,tuzla_canton,256
2011,NUMBER,zenica-doboj_canton,225
2011,NUMBER,bosnian-podrinje_canton,21
2011,NUMBER,central_bosnia_canton,63
2011,NUMBER,herzegovina-neretva_canton,110
2011,NUMBER,west_herzegovina_canton,15
2011,NUMBER,sarajevo_canton,250
2011,NUMBER,canton_10,12
2012,NUMBER,federation_of_bih,1173
2012,NUMBER,una-sana_canton,252
2012,NUMBER,posavina_canton,25
2012,NUMBER,tuzla_canton,251
2012,NUMBER,zenica-doboj_canton,308
2012,NUMBER,bosnian-podrinje_canton,7
2012,NUMBER,central_bosnia_canton,106
2012,NUMBER,herzegovina-neretva_canton,109
2012,NUMBER,west_herzegovina_canton,18
2012,NUMBER,sarajevo_canton,88
2012,NUMBER,canton_10,9
2013,NUMBER,federation_of_bih,1359
2013,NUMBER,una-sana_canton,257
2013,NUMBER,posavina_canton,23
2013,NUMBER,tuzla_canton,300
2013,NUMBER,zenica-doboj_canton,293
2013,NUMBER,bosnian-podrinje_canton,9
2013,NUMBER,central_bosnia_canton,95
2013,NUMBER,herzegovina-neretva_canton,128
2013,NUMBER,west_herzegovina_canton,17
2013,NUMBER,sarajevo_canton,231
2013,NUMBER,canton_10,6
2014,NUMBER,federation_of_bih,1318
2014,NUMBER,una-sana_canton,255
2014,NUMBER,posavina_canton,13
2014,NUMBER,tuzla_canton,377
2014,NUMBER,zenica-doboj_canton,289
2014,NUMBER,bosnian-podrinje_canton,17
2014,NUMBER,central_bosnia_canton,79
2014,NUMBER,herzegovina-neretva_canton,115
2014,NUMBER,west_herzegovina_canton,23
2014,NUMBER,sarajevo_canton,139
2014,NUMBER,canton_10,11
2015,NUMBER,federation_of_bih,1490
2015,NUMBER,una-sana_canton,241
2015,NUMBER,posavina_canton,36
2015,NUMBER,tuzla_canton,401
2015,NUMBER,zenica-doboj_canton,225
2015,NUMBER,bosnian-podrinje_canton,25
2015,NUMBER,central_bosnia_canton,117
2015,NUMBER,herzegovina-neretva_canton,124
2015,NUMBER,west_herzegovina_canton,19
2015,NUMBER,sarajevo_canton,295
2015,NUMBER,canton_10,7
2016,NUMBER,federation_of_bih,1445
2016,NUMBER,una-sana_canton,250
2016,NUMBER,posavina_canton,25
2016,NUMBER,tuzla_canton,420
2016,NUMBER,zenica-doboj_canton,214
2016,NUMBER,bosnian-podrinje_canton,18
2016,NUMBER,central_bosnia_canton,89
2016,NUMBER,herzegovina-neretva_canton,160
2016,NUMBER,west_herzegovina_canton,20
2016,NUMBER,sarajevo_canton,242
2016,NUMBER,canton_10,7
2017,NUMBER,federation_of_bih,1725
2017,NUMBER,una-sana_canton,253
2017,NUMBER,posavina_canton,31
2017,NUMBER,tuzla_canton,409
2017,NUMBER,zenica-doboj_canton,361
2017,NUMBER,bosnian-podrinje_canton,21
2017,NUMBER,central_bosnia_canton,78
2017,NUMBER,herzegovina-neretva_canton,118
2017,NUMBER,west_herzegovina_canton,27
2017,NUMBER,sarajevo_canton,413
2017,NUMBER,canton_10,14
2018,NUMBER,federation_of_bih,1823
2018,NUMBER,una-sana_canton,273
2018,NUMBER,posavina_canton,40
2018,NUMBER,tuzla_canton,522
2018,NUMBER,zenica-doboj_canton,348
2018,NUMBER,bosnian-podrinje_canton,32
2018,NUMBER,central_bosnia_canton,125
2018,NUMBER,herzegovina-neretva_canton,120
2018,NUMBER,west_herzegovina_canton,20
2018,NUMBER,sarajevo_canton,320
2018,NUMBER,canton_10,23
2019,NUMBER,federation_of_bih,1673
2019,NUMBER,una-sana_canton,303
2019,NUMBER,posavina_canton,45
2019,NUMBER,tuzla_canton,428
2019,NUMBER,zenica-doboj_canton,341
2019,NUMBER,bosnian-podrinje_canton,25
2019,NUMBER,central_bosnia_canton,142
2019,NUMBER,herzegovina-neretva_canton,124
2019,NUMBER,west_herzegovina_canton,26
2019,NUMBER,sarajevo_canton,223
2019,NUMBER,canton_10,16
2020,NUMBER,federation_of_bih,1460
2020,NUMBER,una-sana_canton,255
2020,NUMBER,posavina_canton,24
2020,NUMBER,tuzla_canton,448
2020,NUMBER,zenica-doboj_canton,281
2020,NUMBER,bosnian-podrinje_canton,25
2020,NUMBER,central_bosnia_canton,107
2020,NUMBER,herzegovina-neretva_canton,90
2020,NUMBER,west_herzegovina_canton,21
2020,NUMBER,sarajevo_canton,195
2020,NUMBER,canton_10,14
2021,NUMBER,federation_of_bih,1580
2021,NUMBER,una-sana_canton,260
2021,NUMBER,posavina_canton,12
2021,NUMBER,tuzla_canton,432
2021,NUMBER,zenica-doboj_canton,325
2021,NUMBER,bosnian-podrinje_canton,28
2021,NUMBER,central_bosnia_canton,151
2021,NUMBER,herzegovina-neretva_canton,123
2021,NUMBER,west_herzegovina_canton,29
2021,NUMBER,sarajevo_canton,211
2021,NUMBER,canton_10,9
2022,NUMBER,federation_of_bih,1703
2022,NUMBER,una-sana_canton,275
2022,NUMBER,posavina_canton,4
2022,NUMBER,tuzla_canton,503
2022,NUMBER,zenica-doboj_canton,314
2022,NUMBER,bosnian-podrinje_canton,27
2022,NUMBER,central_bosnia_canton,130
2022,NUMBER,herzegovina-neretva_canton,136
2022,NUMBER,west_herzegovina_canton,35
2022,NUMBER,sarajevo_canton,266
2022,NUMBER,canton_10,13
