Year,UNIT_MEASURE,SEX,Value
2016,NUMBER,_T,
2016,NUMBER,M,
2016,NUMBER,F,
2017,NUMBER,_T,
2017,NUMBER,M,
2017,NUMBER,F,
2018,NUMBER,_T,
2018,NUMBER,M,
2018,NUMBER,F,
2019,NUMBER,_T,
2019,NUMBER,M,
2019,NUMBER,F,
2020,NUMBER,_T,
2020,NUMBER,M,
2020,NUMBER,F,
