Year,UNIT_MEASURE,Admin_Area,Sex,Value
2009,NUMBER,federation_of_bih,_T,3424
2010,NUMBER,federation_of_bih,_T,4865
2011,NUMBER,federation_of_bih,_T,6821
2012,NUMBER,federation_of_bih,_T,7408
2013,NUMBER,federation_of_bih,_T,8834
2014,NUMBER,federation_of_bih,_T,8735
2015,NUMBER,federation_of_bih,_T,9247
2016,NUMBER,federation_of_bih,_T,8815
2017,NUMBER,federation_of_bih,_T,8941
2018,NUMBER,federation_of_bih,_T,9665
2019,NUMBER,federation_of_bih,_T,9986
2020,NUMBER,federation_of_bih,_T,10501
2021,NUMBER,federation_of_bih,_T,9717
2022,NUMBER,federation_of_bih,_T,9264
2009,NUMBER,federation_of_bih,M,1326
2010,NUMBER,federation_of_bih,M,1836
2011,NUMBER,federation_of_bih,M,2696
2012,NUMBER,federation_of_bih,M,2812
2013,NUMBER,federation_of_bih,M,3293
2014,NUMBER,federation_of_bih,M,3345
2015,NUMBER,federation_of_bih,M,3536
2016,NUMBER,federation_of_bih,M,3445
2017,NUMBER,federation_of_bih,M,3421
2018,NUMBER,federation_of_bih,M,3513
2019,NUMBER,federation_of_bih,M,3724
2020,NUMBER,federation_of_bih,M,3838
2021,NUMBER,federation_of_bih,M,3490
2022,NUMBER,federation_of_bih,M,3242
2009,NUMBER,federation_of_bih,F,2098
2010,NUMBER,federation_of_bih,F,3029
2011,NUMBER,federation_of_bih,F,4125
2012,NUMBER,federation_of_bih,F,4596
2013,NUMBER,federation_of_bih,F,5541
2014,NUMBER,federation_of_bih,F,5390
2015,NUMBER,federation_of_bih,F,5711
2016,NUMBER,federation_of_bih,F,5370
2017,NUMBER,federation_of_bih,F,5520
2018,NUMBER,federation_of_bih,F,6152
2019,NUMBER,federation_of_bih,F,6262
2020,NUMBER,federation_of_bih,F,6663
2021,NUMBER,federation_of_bih,F,6227
2022,NUMBER,federation_of_bih,F,6022
2009,NUMBER,una-sana_canton,_T,14
2010,NUMBER,una-sana_canton,_T,104
2011,NUMBER,una-sana_canton,_T,157
2013,NUMBER,una-sana_canton,_T,15
2014,NUMBER,una-sana_canton,_T,73
2015,NUMBER,una-sana_canton,_T,20
2016,NUMBER,una-sana_canton,_T,36
2017,NUMBER,una-sana_canton,_T,53
2018,NUMBER,una-sana_canton,_T,82
2019,NUMBER,una-sana_canton,_T,69
2020,NUMBER,una-sana_canton,_T,69
2021,NUMBER,una-sana_canton,_T,68
2022,NUMBER,una-sana_canton,_T,97
2009,NUMBER,una-sana_canton,M,11
2010,NUMBER,una-sana_canton,M,60
2011,NUMBER,una-sana_canton,M,83
2013,NUMBER,una-sana_canton,M,10
2014,NUMBER,una-sana_canton,M,51
2015,NUMBER,una-sana_canton,M,11
2016,NUMBER,una-sana_canton,M,29
2017,NUMBER,una-sana_canton,M,40
2018,NUMBER,una-sana_canton,M,51
2019,NUMBER,una-sana_canton,M,45
2020,NUMBER,una-sana_canton,M,45
2021,NUMBER,una-sana_canton,M,34
2022,NUMBER,una-sana_canton,M,52
2009,NUMBER,una-sana_canton,F,3
2010,NUMBER,una-sana_canton,F,44
2011,NUMBER,una-sana_canton,F,74
2013,NUMBER,una-sana_canton,F,5
2014,NUMBER,una-sana_canton,F,22
2015,NUMBER,una-sana_canton,F,9
2016,NUMBER,una-sana_canton,F,7
2017,NUMBER,una-sana_canton,F,13
2018,NUMBER,una-sana_canton,F,31
2019,NUMBER,una-sana_canton,F,24
2020,NUMBER,una-sana_canton,F,24
2021,NUMBER,una-sana_canton,F,34
2022,NUMBER,una-sana_canton,F,45
2009,NUMBER,tuzla_canton,_T,1
2011,NUMBER,tuzla_canton,_T,219
2012,NUMBER,tuzla_canton,_T,66
2013,NUMBER,tuzla_canton,_T,206
2015,NUMBER,tuzla_canton,_T,352
2016,NUMBER,tuzla_canton,_T,342
2017,NUMBER,tuzla_canton,_T,356
2018,NUMBER,tuzla_canton,_T,349
2019,NUMBER,tuzla_canton,_T,353
2020,NUMBER,tuzla_canton,_T,324
2021,NUMBER,tuzla_canton,_T,283
2022,NUMBER,tuzla_canton,_T,258
2011,NUMBER,tuzla_canton,M,62
2012,NUMBER,tuzla_canton,M,27
2013,NUMBER,tuzla_canton,M,75
2015,NUMBER,tuzla_canton,M,146
2016,NUMBER,tuzla_canton,M,180
2017,NUMBER,tuzla_canton,M,148
2018,NUMBER,tuzla_canton,M,159
2019,NUMBER,tuzla_canton,M,160
2020,NUMBER,tuzla_canton,M,146
2021,NUMBER,tuzla_canton,M,109
2022,NUMBER,tuzla_canton,M,108
2009,NUMBER,tuzla_canton,F,1
2011,NUMBER,tuzla_canton,F,157
2012,NUMBER,tuzla_canton,F,39
2013,NUMBER,tuzla_canton,F,131
2015,NUMBER,tuzla_canton,F,206
2016,NUMBER,tuzla_canton,F,162
2017,NUMBER,tuzla_canton,F,208
2018,NUMBER,tuzla_canton,F,190
2019,NUMBER,tuzla_canton,F,193
2020,NUMBER,tuzla_canton,F,178
2021,NUMBER,tuzla_canton,F,174
2022,NUMBER,tuzla_canton,F,150
2009,NUMBER,zenica-doboj_canton,_T,24
2010,NUMBER,zenica-doboj_canton,_T,159
2012,NUMBER,zenica-doboj_canton,_T,221
2013,NUMBER,zenica-doboj_canton,_T,230
2014,NUMBER,zenica-doboj_canton,_T,227
2015,NUMBER,zenica-doboj_canton,_T,175
2016,NUMBER,zenica-doboj_canton,_T,213
2017,NUMBER,zenica-doboj_canton,_T,175
2018,NUMBER,zenica-doboj_canton,_T,232
2019,NUMBER,zenica-doboj_canton,_T,231
2020,NUMBER,zenica-doboj_canton,_T,257
2021,NUMBER,zenica-doboj_canton,_T,181
2022,NUMBER,zenica-doboj_canton,_T,164
2009,NUMBER,zenica-doboj_canton,M,15
2010,NUMBER,zenica-doboj_canton,M,77
2012,NUMBER,zenica-doboj_canton,M,93
2013,NUMBER,zenica-doboj_canton,M,77
2014,NUMBER,zenica-doboj_canton,M,78
2015,NUMBER,zenica-doboj_canton,M,61
2016,NUMBER,zenica-doboj_canton,M,81
2017,NUMBER,zenica-doboj_canton,M,67
2018,NUMBER,zenica-doboj_canton,M,66
2019,NUMBER,zenica-doboj_canton,M,84
2020,NUMBER,zenica-doboj_canton,M,93
2021,NUMBER,zenica-doboj_canton,M,73
2022,NUMBER,zenica-doboj_canton,M,60
2009,NUMBER,zenica-doboj_canton,F,9
2010,NUMBER,zenica-doboj_canton,F,82
2012,NUMBER,zenica-doboj_canton,F,128
2013,NUMBER,zenica-doboj_canton,F,153
2014,NUMBER,zenica-doboj_canton,F,149
2015,NUMBER,zenica-doboj_canton,F,114
2016,NUMBER,zenica-doboj_canton,F,132
2017,NUMBER,zenica-doboj_canton,F,108
2018,NUMBER,zenica-doboj_canton,F,166
2019,NUMBER,zenica-doboj_canton,F,147
2020,NUMBER,zenica-doboj_canton,F,164
2021,NUMBER,zenica-doboj_canton,F,108
2022,NUMBER,zenica-doboj_canton,F,104
2016,NUMBER,bosnian-podrinje_canton,_T,5
2017,NUMBER,bosnian-podrinje_canton,_T,2
2020,NUMBER,bosnian-podrinje_canton,_T,1
2021,NUMBER,bosnian-podrinje_canton,_T,6
2016,NUMBER,bosnian-podrinje_canton,M,3
2017,NUMBER,bosnian-podrinje_canton,M,2
2020,NUMBER,bosnian-podrinje_canton,M,1
2021,NUMBER,bosnian-podrinje_canton,M,2
2016,NUMBER,bosnian-podrinje_canton,F,2
2021,NUMBER,bosnian-podrinje_canton,F,4
2010,NUMBER,central_bosnia_canton,_T,39
2011,NUMBER,central_bosnia_canton,_T,171
2012,NUMBER,central_bosnia_canton,_T,203
2013,NUMBER,central_bosnia_canton,_T,184
2014,NUMBER,central_bosnia_canton,_T,222
2015,NUMBER,central_bosnia_canton,_T,234
2016,NUMBER,central_bosnia_canton,_T,208
2017,NUMBER,central_bosnia_canton,_T,276
2018,NUMBER,central_bosnia_canton,_T,315
2019,NUMBER,central_bosnia_canton,_T,300
