Year,UNIT_MEASURE,Quarter,Sex,AGE,Value
2022,%,Q3,_T,20 - 64,62.5
2022,%,Q3,_T,25 - 34,75.8
2022,%,Q3,_T,15 - 74,51
2022,%,Q3,M,15 - 89,61.5
2022,%,Q3,M,15 - 24,36.7
2022,%,Q3,M,25 - 49,91.1
2022,%,Q3,M,50 - 64,62.8
2022,%,Q3,M,15 - 64,73
2022,%,Q3,M,20 - 64,78.6
2022,%,Q3,M,25 - 34,90.1
2022,%,Q3,M,15 - 74,64.9
2022,%,Q3,F,15 - 89,34.5
2022,%,Q3,F,15 - 24,22.7
2022,%,Q3,F,25 - 49,60.1
2022,%,Q3,F,50 - 64,27.2
2022,%,Q3,F,15 - 64,43.2
2022,%,Q3,F,20 - 64,46.4
2022,%,Q3,F,25 - 34,60.8
2022,%,Q3,F,15 - 74,37.4
2022,%,Q4,_T,15 - 89,47.7
2022,%,Q4,_T,15 - 24,28.8
2022,%,Q4,_T,25 - 49,75.8
2022,%,Q4,_T,50 - 64,45.3
2022,%,Q4,_T,15 - 64,58.2
2022,%,Q4,_T,20 - 64,62.6
2022,%,Q4,_T,25 - 34,75.2
2022,%,Q4,_T,15 - 74,51
2022,%,Q4,M,15 - 89,61.3
2022,%,Q4,M,15 - 24,37.1
2022,%,Q4,M,25 - 49,90.3
2022,%,Q4,M,50 - 64,63.2
2022,%,Q4,M,15 - 64,72.8
2022,%,Q4,M,20 - 64,78.3
2022,%,Q4,M,25 - 34,88.8
2022,%,Q4,M,15 - 74,64.7
2022,%,Q4,F,15 - 89,34.7
2022,%,Q4,F,15 - 24,20
2022,%,Q4,F,25 - 49,60.9
2022,%,Q4,F,50 - 64,28.4
2022,%,Q4,F,15 - 64,43.5
2022,%,Q4,F,20 - 64,46.9
2022,%,Q4,F,25 - 34,60.8
2022,%,Q4,F,15 - 74,37.6
2023,%,Q1,_T,15 - 89,74.5
2023,%,Q1,_T,15 - 24,25.7
2023,%,Q1,_T,25 - 49,75.9
2023,%,Q1,_T,50 - 64,45.7
2023,%,Q1,_T,15 - 64,58.1
2023,%,Q1,_T,20 - 64,62.6
2023,%,Q1,_T,25 - 34,75.2
2023,%,Q1,_T,15 - 74,50.9
2023,%,Q1,M,15 - 89,60.6
2023,%,Q1,M,15 - 24,32.9
2023,%,Q1,M,25 - 49,89.9
2023,%,Q1,M,50 - 64,63.0
2023,%,Q1,M,15 - 64,72.1
2023,%,Q1,M,20 - 64,77.8
2023,%,Q1,M,25 - 34,87.1
2023,%,Q1,M,15 - 74,64.0
2023,%,Q1,F,15 - 89,35.0
2023,%,Q1,F,15 - 24,18.0
2023,%,Q1,F,25 - 49,61.5
2023,%,Q1,F,50 - 64,29.3
2023,%,Q1,F,15 - 64,44.0
2023,%,Q1,F,20 - 64,47.5
2023,%,Q1,F,25 - 34,62.7
2023,%,Q1,F,15 - 74,38.0
2023,%,Q2,_T,15 - 89,48.3
2023,%,Q2,_T,15 - 24,25.5
2023,%,Q2,_T,25 - 49,77.1
2023,%,Q2,_T,50 - 64,47.0
2023,%,Q2,_T,15 - 64,59.1
2023,%,Q2,_T,20 - 64,63.7
2023,%,Q2,_T,25 - 34,76.7
2023,%,Q2,_T,15 - 74,51.7
2023,%,Q2,M,15 - 89,61.0
2023,%,Q2,M,15 - 24,32.4
2023,%,Q2,M,25 - 49,91.4
2023,%,Q2,M,50 - 64,62.8
2023,%,Q2,M,15 - 64,72.8
2023,%,Q2,M,20 - 64,78.4
2023,%,Q2,M,25 - 34,89.1
2023,%,Q2,M,15 - 74,64.5
2023,%,Q2,F,15 - 89,36.1
2023,%,Q2,F,15 - 24,18.3
2023,%,Q2,F,25 - 49,62.3
2023,%,Q2,F,50 - 64,32.1
2023,%,Q2,F,15 - 64,45.4
2023,%,Q2,F,20 - 64,48.9
2023,%,Q2,F,25 - 34,63.7
2023,%,Q2,F,15 - 74,39.2
2023,%,Q3,_T,15 - 89,49.0
2023,%,Q3,_T,15 - 24,30.0
2023,%,Q3,_T,25 - 49,77.7
2023,%,Q3,_T,50 - 64,46.8
2023,%,Q3,_T,15 - 64,60.1
2023,%,Q3,_T,20 - 64,64.4
2023,%,Q3,_T,25 - 34,78.4
2023,%,Q3,_T,15 - 74,52.5
2023,%,Q3,M,15 - 89,62.2
2023,%,Q3,M,15 - 24,39.3
2023,%,Q3,M,25 - 49,92.9
2023,%,Q3,M,50 - 64,61.4
2023,%,Q3,M,15 - 64,74.3
2023,%,Q3,M,20 - 64,79.4
2023,%,Q3,M,25 - 34,92.7
2023,%,Q3,M,15 - 74,65.7
2023,%,Q3,F,15 - 89,36.5
2023,%,Q3,F,15 - 24,20.4
2023,%,Q3,F,25 - 49,62.0
2023,%,Q3,F,50 - 64,33.1
2023,%,Q3,F,15 - 64,45.9
2023,%,Q3,F,20 - 64,49.3
2023,%,Q3,F,25 - 34,63.4
2023,%,Q3,F,15 - 74,39.6
2023,%,Q4,_T,15 - 89,49.4
2023,%,Q4,_T,15 - 24,29.9
2023,%,Q4,_T,25 - 49,78.0
2023,%,Q4,_T,50 - 64,47.6
2023,%,Q4,_T,15 - 64,60.5
2023,%,Q4,_T,20 - 64,64.8
2023,%,Q4,_T,25 - 34,78.4
2023,%,Q4,_T,15 - 74,52.9
2023,%,Q4,M,15 - 89,62.5
2023,%,Q4,M,15 - 24,37.2
2023,%,Q4,M,25 - 49,93.4
2023,%,Q4,M,50 - 64,62.2
2023,%,Q4,M,15 - 64,74.4
2023,%,Q4,M,20 - 64,79.7
2023,%,Q4,M,25 - 34,94.1
2023,%,Q4,M,15 - 74,66.0
2023,%,Q4,F,15 - 89,36.9
2023,%,Q4,F,15 - 24,22.2
2023,%,Q4,F,25 - 49,62.2
2023,%,Q4,F,50 - 64,33.8
2023,%,Q4,F,15 - 64,46.5
2023,%,Q4,F,20 - 64,49.9
2023,%,Q4,F,25 - 34,61.9
2023,%,Q4,F,15 - 74,40.0
,,,,,
,,,,,
