Year,UNIT_MEASURE,Sex,Value
1996,AGE,M,32.1
1997,AGE,M,32.2
1998,AGE,M,32.5
1999,AGE,M,32.9
2000,AGE,M,33.2
2001,AGE,M,33.6
2002,AGE,M,33.9
2003,AGE,M,34.3
2004,AGE,M,34.6
2005,AGE,M,34.9
2006,AGE,M,35.3
2007,AGE,M,35.6
2008,AGE,M,35.9
2009,AGE,M,36.2
2010,AGE,M,36.4
2011,AGE,M,36.7
2012,AGE,M,37
2013,AGE,M,37.3
2014,AGE,M,37.7
2015,AGE,M,38
2016,AGE,M,38.3
2017,AGE,M,38.7
2018,AGE,M,39
2019,AGE,M,39.3
2020,AGE,M,39.7
2021,AGE,M,40
2022,AGE,M,40.3
2023,AGE,M,40.7
1996,AGE,F,34.2
1997,AGE,F,34.4
1998,AGE,F,34.7
1999,AGE,F,35
2000,AGE,F,35.4
2001,AGE,F,35.8
2002,AGE,F,36.2
2003,AGE,F,36.5
2004,AGE,F,36.9
2005,AGE,F,37.2
2006,AGE,F,37.6
2007,AGE,F,37.9
2008,AGE,F,38.2
2009,AGE,F,38.5
2010,AGE,F,38.8
2011,AGE,F,39.1
2012,AGE,F,39.4
2013,AGE,F,39.7
2014,AGE,F,40.1
2015,AGE,F,40.4
2016,AGE,F,40.7
2017,AGE,F,41.1
2018,AGE,F,41.4
2019,AGE,F,41.7
2020,AGE,F,42.1
2021,AGE,F,42.4
2022,AGE,F,42.7
2023,AGE,F,43.1
