Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2023,NUMBER,sapna,T,3085
2023,NUMBER,srebrenik,T,13187
2023,NUMBER,teocak,T,2020
2023,NUMBER,tuzla,T,42625
2023,NUMBER,zivinice,T,18431
2023,NUMBER,zenica-doboj_canton,T,121139
2023,NUMBER,breza,T,5058
2023,NUMBER,doboj-jug,T,1307
2023,NUMBER,kakanj,T,12237
2023,NUMBER,maglaj,T,7687
2023,NUMBER,olovo,T,3492
2023,NUMBER,tesanj,T,13425
2023,NUMBER,usora,T,1936
2023,NUMBER,vares,T,3580
2023,NUMBER,visoko,T,12900
2023,NUMBER,zavidovici,T,12088
2023,NUMBER,zenica,T,38601
2023,NUMBER,zepce,T,8828
2023,NUMBER,bosnian-podrinje_canton,T,8670
2023,NUMBER,foca-fbih,T,747
2023,NUMBER,gorazde,T,7573
2023,NUMBER,pale-fbih,T,350
2023,NUMBER,central_bosnia_canton,T,77881
2023,NUMBER,bugojno,T,9429
2023,NUMBER,busovaca,T,5620
2023,NUMBER,dobretici,T,473
2023,NUMBER,donji_vakuf,T,4182
2023,NUMBER,fojnica,T,3908
2023,NUMBER,gornji_vakuf-uskoplje,T,5685
2023,NUMBER,jajce,T,8040
2023,NUMBER,kiseljak,T,6800
2023,NUMBER,kresevo,T,1845
2023,NUMBER,novi_travnik,T,7265
2023,NUMBER,travnik,T,16444
2023,NUMBER,vitez,T,8190
2023,NUMBER,herzegovina-neretva_canton,T,68117
2023,NUMBER,capljina,T,7916
2023,NUMBER,citluk,T,4666
2023,NUMBER,mostar,T,34128
2023,NUMBER,jablanica,T,3167
2023,NUMBER,konjic,T,8380
2023,NUMBER,neum,T,1394
2023,NUMBER,prozor,T,3653
2023,NUMBER,ravno,T,929
2023,NUMBER,stolac,T,3884
2023,NUMBER,west_herzegovina_canton,T,25078
2023,NUMBER,grude,T,4502
2023,NUMBER,ljubuski,T,7444
2023,NUMBER,posusje,T,5153
2023,NUMBER,siroki_brijeg,T,7979
2023,NUMBER,sarajevo_canton,T,148860
2023,NUMBER,centar_sarajevo,T,21482
2023,NUMBER,hadzici,T,7530
2023,NUMBER,ilidza,T,22295
2023,NUMBER,ilijas,T,6383
2023,NUMBER,novi_grad_sarajevo,T,42274
2023,NUMBER,novo_sarajevo,T,25688
2023,NUMBER,stari_grad_sarajevo,T,13750
2023,NUMBER,trnovo-fbih,T,647
2023,NUMBER,vogosca,T,8811
2023,NUMBER,canton_10,T,23755
2023,NUMBER,bosansko_grahovo,T,1038
2023,NUMBER,drvar,T,3033
2023,NUMBER,glamoc,T,1437
2023,NUMBER,kupres,T,1488
2023,NUMBER,livno,T,9028
2023,NUMBER,tomislavgrad,T,7731
2023,NUMBER,federation_of_bih,1,125942
2023,NUMBER,una-sana_canton,1,11192
2023,NUMBER,bihac,1,3136
2023,NUMBER,bosanska_krupa,1,1176
2023,NUMBER,bosanski_petrovac,1,759
2023,NUMBER,buzim,1,290
2023,NUMBER,cazin,1,1558
2023,NUMBER,kljuc,1,788
2023,NUMBER,sanski_most,1,1809
2023,NUMBER,velika_kladusa,1,1676
2023,NUMBER,posavina_canton,1,2537
2023,NUMBER,domaljevac-samac,1,207
2023,NUMBER,odzak,1,1124
2023,NUMBER,orasje,1,1206
2023,NUMBER,tuzla_canton,1,25880
2023,NUMBER,banovici,1,1063
2023,NUMBER,celic,1,517
2023,NUMBER,doboj-istok,1,410
2023,NUMBER,gracanica,1,2276
2023,NUMBER,gradacac,1,1672
2023,NUMBER,kalesija,1,1146
2023,NUMBER,kladanj,1,528
2023,NUMBER,lukavac,1,3319
2023,NUMBER,sapna,1,366
2023,NUMBER,srebrenik,1,2075
2023,NUMBER,teocak,1,251
2023,NUMBER,tuzla,1,9810
2023,NUMBER,zivinice,1,2447
2023,NUMBER,zenica-doboj_canton,1,20383
2023,NUMBER,breza,1,937
2023,NUMBER,doboj-jug,1,166
2023,NUMBER,kakanj,1,1922
2023,NUMBER,maglaj,1,1351
2023,NUMBER,olovo,1,584
2023,NUMBER,tesanj,1,1819
2023,NUMBER,usora,1,298
2023,NUMBER,vares,1,1016
2023,NUMBER,visoko,1,1952
2023,NUMBER,zavidovici,1,1917
2023,NUMBER,zenica,1,7253
2023,NUMBER,zepce,1,1168
2023,NUMBER,bosnian-podrinje_canton,1,1937
2023,NUMBER,foca-fbih,1,225
2023,NUMBER,gorazde,1,1599
2023,NUMBER,pale-fbih,1,113
2023,NUMBER,central_bosnia_canton,1,12274
2023,NUMBER,bugojno,1,1438
2023,NUMBER,busovaca,1,885
2023,NUMBER,dobretici,1,73
2023,NUMBER,donji_vakuf,1,569
2023,NUMBER,fojnica,1,721
2023,NUMBER,gornji_vakuf-uskoplje,1,675
2023,NUMBER,jajce,1,1281
2023,NUMBER,kiseljak,1,1199
2023,NUMBER,kresevo,1,439
2023,NUMBER,novi_travnik,1,1080
2023,NUMBER,travnik,1,2579
2023,NUMBER,vitez,1,1335
2023,NUMBER,herzegovina-neretva_canton,1,11555
2023,NUMBER,capljina,1,1420
2023,NUMBER,citluk,1,591
2023,NUMBER,mostar,1,6277
2023,NUMBER,jablanica,1,448
2023,NUMBER,konjic,1,1518
2023,NUMBER,neum,1,242
2023,NUMBER,prozor,1,434
2023,NUMBER,ravno,1,137
2023,NUMBER,stolac,1,488
2023,NUMBER,west_herzegovina_canton,1,3477
2023,NUMBER,grude,1,668
2023,NUMBER,ljubuski,1,1127
2023,NUMBER,posusje,1,581
2023,NUMBER,siroki_brijeg,1,1101
2023,NUMBER,sarajevo_canton,1,32661
2023,NUMBER,centar_sarajevo,1,5731
2023,NUMBER,hadzici,1,1198
2023,NUMBER,ilidza,1,4040
2023,NUMBER,ilijas,1,1017
2023,NUMBER,novi_grad_sarajevo,1,8666
2023,NUMBER,novo_sarajevo,1,6987
2023,NUMBER,stari_grad_sarajevo,1,3401
2023,NUMBER,trnovo-fbih,1,196
2023,NUMBER,vogosca,1,1425
2023,NUMBER,canton_10,1,4046
2023,NUMBER,bosansko_grahovo,1,352
2023,NUMBER,drvar,1,1018
2023,NUMBER,glamoc,1,404
2023,NUMBER,kupres,1,223
2023,NUMBER,livno,1,1215
2023,NUMBER,tomislavgrad,1,834
2023,NUMBER,federation_of_bih,2,167372
2023,NUMBER,una-sana_canton,2,15317
2023,NUMBER,bihac,2,4422
2023,NUMBER,bosanska_krupa,2,1645
2023,NUMBER,bosanski_petrovac,2,794
2023,NUMBER,buzim,2,469
2023,NUMBER,cazin,2,2366
2023,NUMBER,kljuc,2,1032
2023,NUMBER,sanski_most,2,2315
2023,NUMBER,velika_kladusa,2,2274
2023,NUMBER,posavina_canton,2,2808
2023,NUMBER,domaljevac-samac,2,230
2023,NUMBER,odzak,2,1281
2023,NUMBER,orasje,2,1297
2023,NUMBER,tuzla_canton,2,37907
2023,NUMBER,banovici,2,1878
2023,NUMBER,celic,2,718
2023,NUMBER,doboj-istok,2,746
2023,NUMBER,gracanica,2,3828
2023,NUMBER,gradacac,2,2571
2023,NUMBER,kalesija,2,1939
2023,NUMBER,kladanj,2,816
2023,NUMBER,lukavac,2,4793
2023,NUMBER,sapna,2,559
2023,NUMBER,srebrenik,2,3340
2023,NUMBER,teocak,2,325
2023,NUMBER,tuzla,2,12230
2023,NUMBER,zivinice,2,4164
2023,NUMBER,zenica-doboj_canton,2,29234
2023,NUMBER,breza,2,1337
2023,NUMBER,doboj-jug,2,281
2023,NUMBER,kakanj,2,2844
2023,NUMBER,maglaj,2,1858
2023,NUMBER,olovo,2,919
2023,NUMBER,tesanj,2,2857
2023,NUMBER,usora,2,397
2023,NUMBER,vares,2,996
2023,NUMBER,visoko,2,2945
2023,NUMBER,zavidovici,2,3024
2023,NUMBER,zenica,2,9980
2023,NUMBER,zepce,2,1796
2023,NUMBER,bosnian-podrinje_canton,2,2413
2023,NUMBER,foca-fbih,2,211
2023,NUMBER,gorazde,2,2101
2023,NUMBER,pale-fbih,2,101
2023,NUMBER,central_bosnia_canton,2,16738
2023,NUMBER,bugojno,2,1991
2023,NUMBER,busovaca,2,1156
2023,NUMBER,dobretici,2,112
2023,NUMBER,donji_vakuf,2,843
2023,NUMBER,fojnica,2,954
2023,NUMBER,gornji_vakuf-uskoplje,2,1030
2023,NUMBER,jajce,2,1683
2023,NUMBER,kiseljak,2,1636
2023,NUMBER,kresevo,2,426
