Year,UNIT_MEASURE,Admin_Area,HH_size,Value
2023,NUMBER,busovaca,6,231
2023,NUMBER,dobretici,6,30
2023,NUMBER,donji_vakuf,6,251
2023,NUMBER,fojnica,6,117
2023,NUMBER,gornji_vakuf-uskoplje,6,484
2023,NUMBER,jajce,6,471
2023,NUMBER,kiseljak,6,281
2023,NUMBER,kresevo,6,64
2023,NUMBER,novi_travnik,6,382
2023,NUMBER,travnik,6,890
2023,NUMBER,vitez,6,336
2023,NUMBER,herzegovina-neretva_canton,6,3792
2023,NUMBER,capljina,6,542
2023,NUMBER,citluk,6,456
2023,NUMBER,mostar,6,1494
2023,NUMBER,jablanica,6,129
2023,NUMBER,konjic,6,302
2023,NUMBER,neum,6,96
2023,NUMBER,prozor,6,366
2023,NUMBER,ravno,6,75
2023,NUMBER,stolac,6,332
2023,NUMBER,west_herzegovina_canton,6,2375
2023,NUMBER,grude,6,431
2023,NUMBER,ljubuski,6,682
2023,NUMBER,posusje,6,570
2023,NUMBER,siroki_brijeg,6,692
2023,NUMBER,sarajevo_canton,6,3254
2023,NUMBER,centar_sarajevo,6,318
2023,NUMBER,hadzici,6,311
2023,NUMBER,ilidza,6,684
2023,NUMBER,ilijas,6,240
2023,NUMBER,novi_grad_sarajevo,6,856
2023,NUMBER,novo_sarajevo,6,322
2023,NUMBER,stari_grad_sarajevo,6,277
2023,NUMBER,trnovo-fbih,6,13
2023,NUMBER,vogosca,6,233
2023,NUMBER,canton_10,6,1797
2023,NUMBER,bosansko_grahovo,6,27
2023,NUMBER,drvar,6,55
2023,NUMBER,glamoc,6,61
2023,NUMBER,kupres,6,103
2023,NUMBER,livno,6,749
2023,NUMBER,tomislavgrad,6,802
2023,NUMBER,federation_of_bih,7,11533
2023,NUMBER,una-sana_canton,7,2332
2023,NUMBER,bihac,7,266
2023,NUMBER,bosanska_krupa,7,204
2023,NUMBER,bosanski_petrovac,7,20
2023,NUMBER,buzim,7,268
2023,NUMBER,cazin,7,766
2023,NUMBER,kljuc,7,123
2023,NUMBER,sanski_most,7,347
2023,NUMBER,velika_kladusa,7,338
2023,NUMBER,posavina_canton,7,321
2023,NUMBER,domaljevac-samac,7,36
2023,NUMBER,odzak,7,137
2023,NUMBER,orasje,7,148
2023,NUMBER,tuzla_canton,7,1427
2023,NUMBER,banovici,7,51
2023,NUMBER,celic,7,61
2023,NUMBER,doboj-istok,7,37
2023,NUMBER,gracanica,7,135
2023,NUMBER,gradacac,7,250
2023,NUMBER,kalesija,7,163
2023,NUMBER,kladanj,7,37
2023,NUMBER,lukavac,7,59
2023,NUMBER,sapna,7,91
2023,NUMBER,srebrenik,7,152
2023,NUMBER,teocak,7,57
2023,NUMBER,tuzla,7,142
2023,NUMBER,zivinice,7,192
2023,NUMBER,zenica-doboj_canton,7,1245
2023,NUMBER,breza,7,24
2023,NUMBER,doboj-jug,7,15
2023,NUMBER,kakanj,7,119
2023,NUMBER,maglaj,7,82
2023,NUMBER,olovo,7,27
2023,NUMBER,tesanj,7,194
2023,NUMBER,usora,7,50
2023,NUMBER,vares,7,7
2023,NUMBER,visoko,7,135
2023,NUMBER,zavidovici,7,102
2023,NUMBER,zenica,7,275
2023,NUMBER,zepce,7,215
2023,NUMBER,bosnian-podrinje_canton,7,71
2023,NUMBER,foca-fbih,7,9
2023,NUMBER,gorazde,7,56
2023,NUMBER,pale-fbih,7,6
2023,NUMBER,central_bosnia_canton,7,1496
2023,NUMBER,bugojno,7,226
2023,NUMBER,busovaca,7,78
2023,NUMBER,dobretici,7,19
2023,NUMBER,donji_vakuf,7,74
2023,NUMBER,fojnica,7,43
2023,NUMBER,gornji_vakuf-uskoplje,7,177
2023,NUMBER,jajce,7,219
2023,NUMBER,kiseljak,7,77
2023,NUMBER,kresevo,7,18
2023,NUMBER,novi_travnik,7,127
2023,NUMBER,travnik,7,337
2023,NUMBER,vitez,7,101
2023,NUMBER,herzegovina-neretva_canton,7,1576
2023,NUMBER,capljina,7,225
2023,NUMBER,citluk,7,260
2023,NUMBER,mostar,7,547
2023,NUMBER,jablanica,7,43
2023,NUMBER,konjic,7,101
2023,NUMBER,neum,7,28
2023,NUMBER,prozor,7,182
2023,NUMBER,ravno,7,28
2023,NUMBER,stolac,7,162
2023,NUMBER,west_herzegovina_canton,7,1193
2023,NUMBER,grude,7,237
2023,NUMBER,ljubuski,7,377
2023,NUMBER,posusje,7,248
2023,NUMBER,siroki_brijeg,7,331
2023,NUMBER,sarajevo_canton,7,988
2023,NUMBER,centar_sarajevo,7,99
2023,NUMBER,hadzici,7,79
2023,NUMBER,ilidza,7,222
2023,NUMBER,ilijas,7,69
2023,NUMBER,novi_grad_sarajevo,7,281
2023,NUMBER,novo_sarajevo,7,79
2023,NUMBER,stari_grad_sarajevo,7,88
2023,NUMBER,trnovo-fbih,7,2
2023,NUMBER,vogosca,7,69
2023,NUMBER,canton_10,7,884
2023,NUMBER,bosansko_grahovo,7,10
2023,NUMBER,drvar,7,14
2023,NUMBER,glamoc,7,22
2023,NUMBER,kupres,7,44
2023,NUMBER,livno,7,368
2023,NUMBER,tomislavgrad,7,426
2023,NUMBER,federation_of_bih,8+,9278
2023,NUMBER,una-sana_canton,8+,2253
2023,NUMBER,bihac,8+,181
2023,NUMBER,bosanska_krupa,8+,136
2023,NUMBER,bosanski_petrovac,8+,15
2023,NUMBER,buzim,8+,317
2023,NUMBER,cazin,8+,780
2023,NUMBER,kljuc,8+,120
2023,NUMBER,sanski_most,8+,407
2023,NUMBER,velika_kladusa,8+,297
2023,NUMBER,posavina_canton,8+,283
2023,NUMBER,domaljevac-samac,8+,48
2023,NUMBER,odzak,8+,140
2023,NUMBER,orasje,8+,95
2023,NUMBER,tuzla_canton,8+,872
2023,NUMBER,banovici,8+,20
2023,NUMBER,celic,8+,59
2023,NUMBER,doboj-istok,8+,13
2023,NUMBER,gracanica,8+,56
2023,NUMBER,gradacac,8+,129
2023,NUMBER,kalesija,8+,108
2023,NUMBER,kladanj,8+,30
2023,NUMBER,lukavac,8+,42
2023,NUMBER,sapna,8+,76
2023,NUMBER,srebrenik,8+,86
2023,NUMBER,teocak,8+,49
2023,NUMBER,tuzla,8+,97
2023,NUMBER,zivinice,8+,107
2023,NUMBER,zenica-doboj_canton,8+,769
2023,NUMBER,breza,8+,9
2023,NUMBER,doboj-jug,8+,5
2023,NUMBER,kakanj,8+,61
2023,NUMBER,maglaj,8+,74
2023,NUMBER,olovo,8+,8
2023,NUMBER,tesanj,8+,75
2023,NUMBER,usora,8+,49
2023,NUMBER,vares,8+,7
2023,NUMBER,visoko,8+,84
2023,NUMBER,zavidovici,8+,60
2023,NUMBER,zenica,8+,165
2023,NUMBER,zepce,8+,172
2023,NUMBER,bosnian-podrinje_canton,8+,27
2023,NUMBER,foca-fbih,8+,3
2023,NUMBER,gorazde,8+,22
2023,NUMBER,pale-fbih,8+,2
2023,NUMBER,central_bosnia_canton,8+,1074
2023,NUMBER,bugojno,8+,194
2023,NUMBER,busovaca,8+,38
2023,NUMBER,dobretici,8+,16
2023,NUMBER,donji_vakuf,8+,46
2023,NUMBER,fojnica,8+,12
2023,NUMBER,gornji_vakuf-uskoplje,8+,179
2023,NUMBER,jajce,8+,206
2023,NUMBER,kiseljak,8+,36
2023,NUMBER,kresevo,8+,4
2023,NUMBER,novi_travnik,8+,93
2023,NUMBER,travnik,8+,202
2023,NUMBER,vitez,8+,48
2023,NUMBER,herzegovina-neretva_canton,8+,1150
2023,NUMBER,capljina,8+,132
2023,NUMBER,citluk,8+,199
2023,NUMBER,mostar,8+,342
2023,NUMBER,jablanica,8+,29
2023,NUMBER,konjic,8+,45
2023,NUMBER,neum,8+,38
2023,NUMBER,prozor,8+,188
2023,NUMBER,ravno,8+,23
2023,NUMBER,stolac,8+,154
2023,NUMBER,west_herzegovina_canton,8+,1138
2023,NUMBER,grude,8+,262
2023,NUMBER,ljubuski,8+,363
2023,NUMBER,posusje,8+,266
2023,NUMBER,siroki_brijeg,8+,247
2023,NUMBER,sarajevo_canton,8+,752
2023,NUMBER,centar_sarajevo,8+,69
2023,NUMBER,hadzici,8+,53
2023,NUMBER,ilidza,8+,186
2023,NUMBER,ilijas,8+,50
2023,NUMBER,novi_grad_sarajevo,8+,215
2023,NUMBER,novo_sarajevo,8+,72
2023,NUMBER,stari_grad_sarajevo,8+,55
2023,NUMBER,trnovo-fbih,8+,4
2023,NUMBER,vogosca,8+,48
2023,NUMBER,canton_10,8+,960
2023,NUMBER,bosansko_grahovo,8+,8
2023,NUMBER,drvar,8+,3
2023,NUMBER,glamoc,8+,18
2023,NUMBER,kupres,8+,24
2023,NUMBER,livno,8+,468
2023,NUMBER,tomislavgrad,8+,439
