Year,UNIT-MEASURE,Admin_Area,Sex,highest_attainment,Value
2013,NUMBER,posavina_canton,M,first_degree,572
2013,NUMBER,posavina_canton,M,university_degree,1299
2013,NUMBER,tuzla_canton,M,T,181535
2013,NUMBER,tuzla_canton,M,no_education,3089
2013,NUMBER,tuzla_canton,M,incomplete_elementary,10230
2013,NUMBER,tuzla_canton,M,elementary_education,34890
2013,NUMBER,tuzla_canton,M,secondary_education,112695
2013,NUMBER,tuzla_canton,M,secondary_specialization,2325
2013,NUMBER,tuzla_canton,M,first_degree,4293
2013,NUMBER,tuzla_canton,M,university_degree,14013
2013,NUMBER,zenica-doboj_canton,M,T,149837
2013,NUMBER,zenica-doboj_canton,M,no_education,1936
2013,NUMBER,zenica-doboj_canton,M,incomplete_elementary,7908
2013,NUMBER,zenica-doboj_canton,M,elementary_education,28285
2013,NUMBER,zenica-doboj_canton,M,secondary_education,94181
2013,NUMBER,zenica-doboj_canton,M,secondary_specialization,3153
2013,NUMBER,zenica-doboj_canton,M,first_degree,3909
2013,NUMBER,zenica-doboj_canton,M,university_degree,10465
2013,NUMBER,bosnian-podrinje_canton,M,T,9881
2013,NUMBER,bosnian-podrinje_canton,M,no_education,159
2013,NUMBER,bosnian-podrinje_canton,M,incomplete_elementary,405
2013,NUMBER,bosnian-podrinje_canton,M,elementary_education,1839
2013,NUMBER,bosnian-podrinje_canton,M,secondary_education,5960
2013,NUMBER,bosnian-podrinje_canton,M,secondary_specialization,175
2013,NUMBER,bosnian-podrinje_canton,M,first_degree,352
2013,NUMBER,bosnian-podrinje_canton,M,university_degree,991
2013,NUMBER,central_bosnia_canton,M,T,105017
2013,NUMBER,central_bosnia_canton,M,no_education,1981
2013,NUMBER,central_bosnia_canton,M,incomplete_elementary,6423
2013,NUMBER,central_bosnia_canton,M,elementary_education,21391
2013,NUMBER,central_bosnia_canton,M,secondary_education,64191
2013,NUMBER,central_bosnia_canton,M,secondary_specialization,1132
2013,NUMBER,central_bosnia_canton,M,first_degree,2919
2013,NUMBER,central_bosnia_canton,M,university_degree,6980
2013,NUMBER,herzegovina-neretva_canton,M,T,91629
2013,NUMBER,herzegovina-neretva_canton,M,no_education,1047
2013,NUMBER,herzegovina-neretva_canton,M,incomplete_elementary,3657
2013,NUMBER,herzegovina-neretva_canton,M,elementary_education,13686
2013,NUMBER,herzegovina-neretva_canton,M,secondary_education,57185
2013,NUMBER,herzegovina-neretva_canton,M,secondary_specialization,1098
2013,NUMBER,herzegovina-neretva_canton,M,first_degree,3975
2013,NUMBER,herzegovina-neretva_canton,M,university_degree,10981
2013,NUMBER,west_herzegovina_canton,M,T,38677
2013,NUMBER,west_herzegovina_canton,M,no_education,450
2013,NUMBER,west_herzegovina_canton,M,incomplete_elementary,2072
2013,NUMBER,west_herzegovina_canton,M,elementary_education,6057
2013,NUMBER,west_herzegovina_canton,M,secondary_education,23646
2013,NUMBER,west_herzegovina_canton,M,secondary_specialization,257
2013,NUMBER,west_herzegovina_canton,M,first_degree,1629
2013,NUMBER,west_herzegovina_canton,M,university_degree,4566
2013,NUMBER,sarajevo_canton,M,T,162698
2013,NUMBER,sarajevo_canton,M,no_education,1417
2013,NUMBER,sarajevo_canton,M,incomplete_elementary,2568
2013,NUMBER,sarajevo_canton,M,elementary_education,19427
2013,NUMBER,sarajevo_canton,M,secondary_education,99295
2013,NUMBER,sarajevo_canton,M,secondary_specialization,1938
2013,NUMBER,sarajevo_canton,M,first_degree,7875
2013,NUMBER,sarajevo_canton,M,university_degree,30178
2013,NUMBER,canton_10,M,T,36209
2013,NUMBER,canton_10,M,no_education,580
2013,NUMBER,canton_10,M,incomplete_elementary,2571
2013,NUMBER,canton_10,M,elementary_education,6634
2013,NUMBER,canton_10,M,secondary_education,20611
2013,NUMBER,canton_10,M,secondary_specialization,198
2013,NUMBER,canton_10,M,first_degree,1702
2013,NUMBER,canton_10,M,university_degree,3913
2013,NUMBER,federation_of_bih,F,T,957422
2013,NUMBER,federation_of_bih,F,no_education,69089
2013,NUMBER,federation_of_bih,F,incomplete_elementary,121486
2013,NUMBER,federation_of_bih,F,elementary_education,235110
2013,NUMBER,federation_of_bih,F,secondary_education,405039
2013,NUMBER,federation_of_bih,F,secondary_specialization,2249
2013,NUMBER,federation_of_bih,F,first_degree,26200
2013,NUMBER,federation_of_bih,F,university_degree,98249
2013,NUMBER,una-sana_canton,F,T,114518
2013,NUMBER,una-sana_canton,F,no_education,10671
2013,NUMBER,una-sana_canton,F,incomplete_elementary,15187
2013,NUMBER,una-sana_canton,F,elementary_education,35894
2013,NUMBER,una-sana_canton,F,secondary_education,42150
2013,NUMBER,una-sana_canton,F,secondary_specialization,244
2013,NUMBER,una-sana_canton,F,first_degree,3201
2013,NUMBER,una-sana_canton,F,university_degree,7171
2013,NUMBER,posavina_canton,F,T,18762
2013,NUMBER,posavina_canton,F,no_education,1510
2013,NUMBER,posavina_canton,F,incomplete_elementary,3286
2013,NUMBER,posavina_canton,F,elementary_education,4649
2013,NUMBER,posavina_canton,F,secondary_education,7637
2013,NUMBER,posavina_canton,F,secondary_specialization,54
2013,NUMBER,posavina_canton,F,first_degree,429
2013,NUMBER,posavina_canton,F,university_degree,1197
2013,NUMBER,tuzla_canton,F,T,193689
2013,NUMBER,tuzla_canton,F,no_education,16146
2013,NUMBER,tuzla_canton,F,incomplete_elementary,30621
2013,NUMBER,tuzla_canton,F,elementary_education,51141
2013,NUMBER,tuzla_canton,F,secondary_education,78306
2013,NUMBER,tuzla_canton,F,secondary_specialization,367
2013,NUMBER,tuzla_canton,F,first_degree,3077
2013,NUMBER,tuzla_canton,F,university_degree,14031
2013,NUMBER,zenica-doboj_canton,F,T,154153
2013,NUMBER,zenica-doboj_canton,F,no_education,11104
2013,NUMBER,zenica-doboj_canton,F,incomplete_elementary,23417
2013,NUMBER,zenica-doboj_canton,F,elementary_education,43263
2013,NUMBER,zenica-doboj_canton,F,secondary_education,62410
2013,NUMBER,zenica-doboj_canton,F,secondary_specialization,440
2013,NUMBER,zenica-doboj_canton,F,first_degree,3141
2013,NUMBER,zenica-doboj_canton,F,university_degree,10378
2013,NUMBER,bosnian-podrinje_canton,F,T,10567
2013,NUMBER,bosnian-podrinje_canton,F,no_education,974
2013,NUMBER,bosnian-podrinje_canton,F,incomplete_elementary,1300
2013,NUMBER,bosnian-podrinje_canton,F,elementary_education,3047
2013,NUMBER,bosnian-podrinje_canton,F,secondary_education,4213
2013,NUMBER,bosnian-podrinje_canton,F,secondary_specialization,30
2013,NUMBER,bosnian-podrinje_canton,F,first_degree,166
2013,NUMBER,bosnian-podrinje_canton,F,university_degree,837
2013,NUMBER,central_bosnia_canton,F,T,106469
2013,NUMBER,central_bosnia_canton,F,no_education,8977
2013,NUMBER,central_bosnia_canton,F,incomplete_elementary,16622
2013,NUMBER,central_bosnia_canton,F,elementary_education,28299
2013,NUMBER,central_bosnia_canton,F,secondary_education,43466
2013,NUMBER,central_bosnia_canton,F,secondary_specialization,189
2013,NUMBER,central_bosnia_canton,F,first_degree,2300
2013,NUMBER,central_bosnia_canton,F,university_degree,6616
2013,NUMBER,herzegovina-neretva_canton,F,T,96219
2013,NUMBER,herzegovina-neretva_canton,F,no_education,5742
2013,NUMBER,herzegovina-neretva_canton,F,incomplete_elementary,9991
2013,NUMBER,herzegovina-neretva_canton,F,elementary_education,19610
2013,NUMBER,herzegovina-neretva_canton,F,secondary_education,44167
2013,NUMBER,herzegovina-neretva_canton,F,secondary_specialization,249
2013,NUMBER,herzegovina-neretva_canton,F,first_degree,3797
2013,NUMBER,herzegovina-neretva_canton,F,university_degree,12663
2013,NUMBER,west_herzegovina_canton,F,T,39369
2013,NUMBER,west_herzegovina_canton,F,no_education,2510
2013,NUMBER,west_herzegovina_canton,F,incomplete_elementary,4195
2013,NUMBER,west_herzegovina_canton,F,elementary_education,6518
2013,NUMBER,west_herzegovina_canton,F,secondary_education,19340
2013,NUMBER,west_herzegovina_canton,F,secondary_specialization,130
2013,NUMBER,west_herzegovina_canton,F,first_degree,1798
2013,NUMBER,west_herzegovina_canton,F,university_degree,4878
2013,NUMBER,sarajevo_canton,F,T,187635
2013,NUMBER,sarajevo_canton,F,no_education,8349
2013,NUMBER,sarajevo_canton,F,incomplete_elementary,12101
2013,NUMBER,sarajevo_canton,F,elementary_education,35528
2013,NUMBER,sarajevo_canton,F,secondary_education,87633
2013,NUMBER,sarajevo_canton,F,secondary_specialization,447
2013,NUMBER,sarajevo_canton,F,first_degree,6841
2013,NUMBER,sarajevo_canton,F,university_degree,36736
2013,NUMBER,canton_10,F,T,36041
2013,NUMBER,canton_10,F,no_education,3106
2013,NUMBER,canton_10,F,incomplete_elementary,4766
2013,NUMBER,canton_10,F,elementary_education,7161
2013,NUMBER,canton_10,F,secondary_education,15717
2013,NUMBER,canton_10,F,secondary_specialization,99
2013,NUMBER,canton_10,F,first_degree,1450
2013,NUMBER,canton_10,F,university_degree,3742
