Year,UNIT_MEASURE,Value
2003,NUMBER,8
2004,NUMBER,10
2005,NUMBER,11
2006,NUMBER,12
2007,NUMBER,4
2008,NUMBER,7
2009,NUMBER,4
2010,NUMBER,3
2011,NUMBER,20
2012,NUMBER,17
2013,NUMBER,16
2014,NUMBER,15
2015,NUMBER,10
2016,NUMBER,16
2017,NUMBER,7
2018,NUMBER,19
2019,NUMBER,21
