Year,UNIT_MEASURE,Value
1997,Број на 1.000 живорођених,4.9
1998,Број на 1.000 живорођених,4.6
1999,Број на 1.000 живорођених,5.5
2000,Број на 1.000 живорођених,4.2
2001,Број на 1.000 живорођених,4.8
2002,Број на 1.000 живорођених,4.2
2003,Број на 1.000 живорођених,4.7
2004,Број на 1.000 живорођених,5.5
2005,Број на 1.000 живорођених,5.0
2006,Број на 1.000 живорођених,4.9
2007,Број на 1.000 живорођених,6.0
2008,Број на 1.000 живорођених,5.6
2009,Број на 1.000 живорођених,3.9
2010,Број на 1.000 живорођених,3.8
2011,Број на 1.000 живорођених,3.6
2012,Број на 1.000 живорођених,3.2
2013,Број на 1.000 живорођених,3.0
2014,Број на 1.000 живорођених,2.7
2015,Број на 1.000 живорођених,5.0
2016,Број на 1.000 живорођених,4.8
2017,Број на 1.000 живорођених,4.2
2018,Број на 1.000 живорођених,3.6
2019,Број на 1.000 живорођених,3.8
