Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2009,Број,Federacija Bosne i Hercegovine,Оба пола,71610
2010,Број,Federacija Bosne i Hercegovine,Оба пола,74594
2011,Број,Federacija Bosne i Hercegovine,Оба пола,74565
2012,Број,Federacija Bosne i Hercegovine,Оба пола,72460
2013,Број,Federacija Bosne i Hercegovine,Оба пола,72601
2014,Број,Federacija Bosne i Hercegovine,Оба пола,71873
2015,Број,Federacija Bosne i Hercegovine,Оба пола,72112
2016,Број,Federacija Bosne i Hercegovine,Оба пола,69969
2017,Број,Federacija Bosne i Hercegovine,Оба пола,66027
2018,Број,Federacija Bosne i Hercegovine,Оба пола,62285
2009,Број,Federacija Bosne i Hercegovine,M,31404
2010,Број,Federacija Bosne i Hercegovine,M,32651
2011,Број,Federacija Bosne i Hercegovine,M,32767
2012,Број,Federacija Bosne i Hercegovine,M,31970
2013,Број,Federacija Bosne i Hercegovine,M,31732
2014,Број,Federacija Bosne i Hercegovine,M,31305
2015,Број,Federacija Bosne i Hercegovine,M,31317
2016,Број,Federacija Bosne i Hercegovine,M,30064
2017,Број,Federacija Bosne i Hercegovine,M,28095
2018,Број,Federacija Bosne i Hercegovine,M,25544
2009,Број,Federacija Bosne i Hercegovine,Ж,40206
2010,Број,Federacija Bosne i Hercegovine,Ж,41943
2011,Број,Federacija Bosne i Hercegovine,Ж,41798
2012,Број,Federacija Bosne i Hercegovine,Ж,40490
2013,Број,Federacija Bosne i Hercegovine,Ж,40869
2014,Број,Federacija Bosne i Hercegovine,Ж,40568
2015,Број,Federacija Bosne i Hercegovine,Ж,40795
2016,Број,Federacija Bosne i Hercegovine,Ж,39905
2017,Број,Federacija Bosne i Hercegovine,Ж,37932
2018,Број,Federacija Bosne i Hercegovine,Ж,36741
2009,Број,Unsko-sanski kanton,Оба пола,5008
2010,Број,Unsko-sanski kanton,Оба пола,4732
2011,Број,Unsko-sanski kanton,Оба пола,4588
2012,Број,Unsko-sanski kanton,Оба пола,3896
2013,Број,Unsko-sanski kanton,Оба пола,3355
2014,Број,Unsko-sanski kanton,Оба пола,3038
2015,Број,Unsko-sanski kanton,Оба пола,3011
2016,Број,Unsko-sanski kanton,Оба пола,2894
2017,Број,Unsko-sanski kanton,Оба пола,2547
2018,Број,Unsko-sanski kanton,Оба пола,2322
2009,Број,Unsko-sanski kanton,M,2019
2010,Број,Unsko-sanski kanton,M,1946
2011,Број,Unsko-sanski kanton,M,1919
2012,Број,Unsko-sanski kanton,M,1647
2013,Број,Unsko-sanski kanton,M,1422
2014,Број,Unsko-sanski kanton,M,1307
2015,Број,Unsko-sanski kanton,M,1268
2016,Број,Unsko-sanski kanton,M,1216
