Year,UNIT_MEASURE,Пол,Value
1996,Број,Оба пола,210
1997,Број,Оба пола,167
1998,Број,Оба пола,146
1999,Број,Оба пола,154
2000,Број,Оба пола,107
2001,Број,Оба пола,116
2002,Број,Оба пола,98
2003,Број,Оба пола,109
2004,Број,Оба пола,123
2005,Број,Оба пола,110
2006,Број,Оба пола,105
2007,Број,Оба пола,130
2008,Број,Оба пола,129
2009,Број,Оба пола,90
2010,Број,Оба пола,85
2011,Број,Оба пола,76
2012,Број,Оба пола,68
2013,Број,Оба пола,60
2014,Број,Оба пола,53
2015,Број,Оба пола,97
2016,Број,Оба пола,95
2017,Број,Оба пола,84
2018,Број,Оба пола,68
2019,Број,Оба пола,69
2020,Број,Оба пола,53
2021,Број,Оба пола,66
2022,Број,Оба пола,69
1996,Број,M,107
1997,Број,M,98
1998,Број,M,76
1999,Број,M,88
2000,Број,M,59
2001,Број,M,60
2002,Број,M,60
2003,Број,M,72
2004,Број,M,70
2005,Број,M,69
2006,Број,M,62
2007,Број,M,73
2008,Број,M,79
2009,Број,M,52
2010,Број,M,55
2011,Број,M,39
2012,Број,M,36
2013,Број,M,27
2014,Број,M,32
2015,Број,M,48
2016,Број,M,54
2017,Број,M,41
2018,Број,M,37
2019,Број,M,36
2020,Број,M,28
2021,Број,M,28
2022,Број,M,36
1996,Број,Ж,103
1997,Број,Ж,69
1998,Број,Ж,70
1999,Број,Ж,66
2000,Број,Ж,48
2001,Број,Ж,56
2002,Број,Ж,38
2003,Број,Ж,37
2004,Број,Ж,53
2005,Број,Ж,41
2006,Број,Ж,43
2007,Број,Ж,57
2008,Број,Ж,50
2009,Број,Ж,38
2010,Број,Ж,30
2011,Број,Ж,37
2012,Број,Ж,32
2013,Број,Ж,33
2014,Број,Ж,21
2015,Број,Ж,49
2016,Број,Ж,41
2017,Број,Ж,43
2018,Број,Ж,31
2019,Број,Ж,33
2020,Број,Ж,25
2021,Број,Ж,38
2022,Број,Ж,35
