Year,UNIT_MEASURE,Value
2003,Broj,8
2004,Broj,10
2005,Broj,11
2006,Broj,12
2007,Broj,4
2008,Broj,7
2009,Broj,4
2010,Broj,3
2011,Broj,20
2012,Broj,17
2013,Broj,16
2014,Broj,15
2015,Broj,10
2016,Broj,16
2017,Broj,7
2018,Broj,19
2019,Broj,21
