Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2016,Број,Тузлански кантон,Стручне школe,M,
2016,Број,Тузлански кантон,Умјетничке школе,M,
2016,Број,Тузлански кантон,Вјерске школе,M,
2016,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Тузлански кантон,Гимназија,M,
2017,Број,Тузлански кантон,Техничке школе,M,
2017,Број,Тузлански кантон,Стручне школe,M,
2017,Број,Тузлански кантон,Умјетничке школе,M,
2017,Број,Тузлански кантон,Вјерске школе,M,
2017,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Тузлански кантон,Гимназија,M,
2018,Број,Тузлански кантон,Техничке школе,M,
2018,Број,Тузлански кантон,Стручне школe,M,
2018,Број,Тузлански кантон,Умјетничке школе,M,
2018,Број,Тузлански кантон,Вјерске школе,M,
2018,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Тузлански кантон,Гимназија,M,
2019,Број,Тузлански кантон,Техничке школе,M,
2019,Број,Тузлански кантон,Стручне школe,M,
2019,Број,Тузлански кантон,Умјетничке школе,M,
2019,Број,Тузлански кантон,Вјерске школе,M,
2019,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Тузлански кантон,Гимназија,M,
2020,Број,Тузлански кантон,Техничке школе,M,
2020,Број,Тузлански кантон,Стручне школe,M,
2020,Број,Тузлански кантон,Умјетничке школе,M,
2020,Број,Тузлански кантон,Вјерске школе,M,
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Зеничко-добојски кантон,Гимназија,M,
2016,Број,Зеничко-добојски кантон,Техничке школе,M,
2016,Број,Зеничко-добојски кантон,Стручне школe,M,
2016,Број,Зеничко-добојски кантон,Умјетничке школе,M,
2016,Број,Зеничко-добојски кантон,Вјерске школе,M,
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Зеничко-добојски кантон,Гимназија,M,
2017,Број,Зеничко-добојски кантон,Техничке школе,M,
2017,Број,Зеничко-добојски кантон,Стручне школe,M,
2017,Број,Зеничко-добојски кантон,Умјетничке школе,M,
2017,Број,Зеничко-добојски кантон,Вјерске школе,M,
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Зеничко-добојски кантон,Гимназија,M,
2018,Број,Зеничко-добојски кантон,Техничке школе,M,
2018,Број,Зеничко-добојски кантон,Стручне школe,M,
2018,Број,Зеничко-добојски кантон,Умјетничке школе,M,
2018,Број,Зеничко-добојски кантон,Вјерске школе,M,
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Зеничко-добојски кантон,Гимназија,M,
2019,Број,Зеничко-добојски кантон,Техничке школе,M,
2019,Број,Зеничко-добојски кантон,Стручне школe,M,
2019,Број,Зеничко-добојски кантон,Умјетничке школе,M,
2019,Број,Зеничко-добојски кантон,Вјерске школе,M,
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Зеничко-добојски кантон,Гимназија,M,
2020,Број,Зеничко-добојски кантон,Техничке школе,M,
2020,Број,Зеничко-добојски кантон,Стручне школe,M,
2020,Број,Зеничко-добојски кантон,Умјетничке школе,M,
2020,Број,Зеничко-добојски кантон,Вјерске школе,M,
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Босанско-подрињски кантон,Гимназија,M,
2016,Број,Босанско-подрињски кантон,Техничке школе,M,
2016,Број,Босанско-подрињски кантон,Стручне школe,M,
2016,Број,Босанско-подрињски кантон,Умјетничке школе,M,
2016,Број,Босанско-подрињски кантон,Вјерске школе,M,
2016,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Босанско-подрињски кантон,Гимназија,M,
2017,Број,Босанско-подрињски кантон,Техничке школе,M,
2017,Број,Босанско-подрињски кантон,Стручне школe,M,
2017,Број,Босанско-подрињски кантон,Умјетничке школе,M,
2017,Број,Босанско-подрињски кантон,Вјерске школе,M,
2017,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Босанско-подрињски кантон,Гимназија,M,
2018,Број,Босанско-подрињски кантон,Техничке школе,M,
2018,Број,Босанско-подрињски кантон,Стручне школe,M,
2018,Број,Босанско-подрињски кантон,Умјетничке школе,M,
2018,Број,Босанско-подрињски кантон,Вјерске школе,M,
2018,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Босанско-подрињски кантон,Гимназија,M,
2019,Број,Босанско-подрињски кантон,Техничке школе,M,
2019,Број,Босанско-подрињски кантон,Стручне школe,M,
2019,Број,Босанско-подрињски кантон,Умјетничке школе,M,
2019,Број,Босанско-подрињски кантон,Вјерске школе,M,
2019,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Босанско-подрињски кантон,Гимназија,M,
2020,Број,Босанско-подрињски кантон,Техничке школе,M,
2020,Број,Босанско-подрињски кантон,Стручне школe,M,
2020,Број,Босанско-подрињски кантон,Умјетничке школе,M,
2020,Број,Босанско-подрињски кантон,Вјерске школе,M,
2020,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Средњобосански кантон,Гимназија,M,
2016,Број,Средњобосански кантон,Техничке школе,M,
2016,Број,Средњобосански кантон,Стручне школe,M,
2016,Број,Средњобосански кантон,Умјетничке школе,M,
2016,Број,Средњобосански кантон,Вјерске школе,M,
2016,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Средњобосански кантон,Гимназија,M,
2017,Број,Средњобосански кантон,Техничке школе,M,
2017,Број,Средњобосански кантон,Стручне школe,M,
2017,Број,Средњобосански кантон,Умјетничке школе,M,
2017,Број,Средњобосански кантон,Вјерске школе,M,
2017,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Средњобосански кантон,Гимназија,M,
2018,Број,Средњобосански кантон,Техничке школе,M,
2018,Број,Средњобосански кантон,Стручне школe,M,
2018,Број,Средњобосански кантон,Умјетничке школе,M,
2018,Број,Средњобосански кантон,Вјерске школе,M,
2018,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Средњобосански кантон,Гимназија,M,
2019,Број,Средњобосански кантон,Техничке школе,M,
2019,Број,Средњобосански кантон,Стручне школe,M,
2019,Број,Средњобосански кантон,Умјетничке школе,M,
2019,Број,Средњобосански кантон,Вјерске школе,M,
2019,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Средњобосански кантон,Гимназија,M,
2020,Број,Средњобосански кантон,Техничке школе,M,
2020,Број,Средњобосански кантон,Стручне школe,M,
2020,Број,Средњобосански кантон,Умјетничке школе,M,
2020,Број,Средњобосански кантон,Вјерске школе,M,
2020,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Херцеговачко-неретвански кантон,Гимназија,M,
2016,Број,Херцеговачко-неретвански кантон,Техничке школе,M,
2016,Број,Херцеговачко-неретвански кантон,Стручне школe,M,
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Херцеговачко-неретвански кантон,Гимназија,M,
2017,Број,Херцеговачко-неретвански кантон,Техничке школе,M,
2017,Број,Херцеговачко-неретвански кантон,Стручне школe,M,
2017,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,
2017,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,
2017,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Херцеговачко-неретвански кантон,Гимназија,M,
2018,Број,Херцеговачко-неретвански кантон,Техничке школе,M,
2018,Број,Херцеговачко-неретвански кантон,Стручне школe,M,
2018,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,
2018,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,
2018,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Херцеговачко-неретвански кантон,Гимназија,M,
2019,Број,Херцеговачко-неретвански кантон,Техничке школе,M,
2019,Број,Херцеговачко-неретвански кантон,Стручне школe,M,
2019,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,
2019,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,
2019,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Херцеговачко-неретвански кантон,Гимназија,M,
2020,Број,Херцеговачко-неретвански кантон,Техничке школе,M,
2020,Број,Херцеговачко-неретвански кантон,Стручне школe,M,
2020,Број,Херцеговачко-неретвански кантон,Умјетничке школе,M,
2020,Број,Херцеговачко-неретвански кантон,Вјерске школе,M,
2020,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Западнохерцеговчки кантон,Гимназија,M,
2016,Број,Западнохерцеговчки кантон,Техничке школе,M,
2016,Број,Западнохерцеговчки кантон,Стручне школe,M,
2016,Број,Западнохерцеговчки кантон,Умјетничке школе,M,
2016,Број,Западнохерцеговчки кантон,Вјерске школе,M,
2016,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,
2017,Број,Западнохерцеговчки кантон,Гимназија,M,
2017,Број,Западнохерцеговчки кантон,Техничке школе,M,
2017,Број,Западнохерцеговчки кантон,Стручне школe,M,
2017,Број,Западнохерцеговчки кантон,Умјетничке школе,M,
2017,Број,Западнохерцеговчки кантон,Вјерске школе,M,
2017,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,
2018,Број,Западнохерцеговчки кантон,Гимназија,M,
2018,Број,Западнохерцеговчки кантон,Техничке школе,M,
2018,Број,Западнохерцеговчки кантон,Стручне школe,M,
2018,Број,Западнохерцеговчки кантон,Умјетничке школе,M,
2018,Број,Западнохерцеговчки кантон,Вјерске школе,M,
2018,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,
2019,Број,Западнохерцеговчки кантон,Гимназија,M,
2019,Број,Западнохерцеговчки кантон,Техничке школе,M,
2019,Број,Западнохерцеговчки кантон,Стручне школe,M,
2019,Број,Западнохерцеговчки кантон,Умјетничке школе,M,
2019,Број,Западнохерцеговчки кантон,Вјерске школе,M,
2019,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,
2020,Број,Западнохерцеговчки кантон,Гимназија,M,
2020,Број,Западнохерцеговчки кантон,Техничке школе,M,
2020,Број,Западнохерцеговчки кантон,Стручне школe,M,
2020,Број,Западнохерцеговчки кантон,Умјетничке школе,M,
2020,Број,Западнохерцеговчки кантон,Вјерске школе,M,
2020,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,M,
2016,Број,Кантон Сарајево,Гимназија,M,
2016,Број,Кантон Сарајево,Техничке школе,M,
2016,Број,Кантон Сарајево,Стручне школe,M,
2016,Број,Кантон Сарајево,Умјетничке школе,M,
2016,Број,Кантон Сарајево,Вјерске школе,M,
2016,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,
2017,Број,Кантон Сарајево,Гимназија,M,
2017,Број,Кантон Сарајево,Техничке школе,M,
2017,Број,Кантон Сарајево,Стручне школe,M,
2017,Број,Кантон Сарајево,Умјетничке школе,M,
2017,Број,Кантон Сарајево,Вјерске школе,M,
2017,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,
2018,Број,Кантон Сарајево,Гимназија,M,
2018,Број,Кантон Сарајево,Техничке школе,M,
2018,Број,Кантон Сарајево,Стручне школe,M,
2018,Број,Кантон Сарајево,Умјетничке школе,M,
2018,Број,Кантон Сарајево,Вјерске школе,M,
2018,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,
2019,Број,Кантон Сарајево,Гимназија,M,
2019,Број,Кантон Сарајево,Техничке школе,M,
2019,Број,Кантон Сарајево,Стручне школe,M,
2019,Број,Кантон Сарајево,Умјетничке школе,M,
2019,Број,Кантон Сарајево,Вјерске школе,M,
2019,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,
2020,Број,Кантон Сарајево,Гимназија,M,
2020,Број,Кантон Сарајево,Техничке школе,M,
2020,Број,Кантон Сарајево,Стручне школe,M,
2020,Број,Кантон Сарајево,Умјетничке школе,M,
2020,Број,Кантон Сарајево,Вјерске школе,M,
2020,Број,Кантон Сарајево,Средње школе за дјецу са посебним потребама,M,
2016,Број,Кантон 10,Гимназија,M,
2016,Број,Кантон 10,Техничке школе,M,
2016,Број,Кантон 10,Стручне школe,M,
2016,Број,Кантон 10,Умјетничке школе,M,
2016,Број,Кантон 10,Вјерске школе,M,
2016,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,
2017,Број,Кантон 10,Гимназија,M,
2017,Број,Кантон 10,Техничке школе,M,
2017,Број,Кантон 10,Стручне школe,M,
2017,Број,Кантон 10,Умјетничке школе,M,
2017,Број,Кантон 10,Вјерске школе,M,
2017,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,
2018,Број,Кантон 10,Гимназија,M,
2018,Број,Кантон 10,Техничке школе,M,
2018,Број,Кантон 10,Стручне школe,M,
2018,Број,Кантон 10,Умјетничке школе,M,
2018,Број,Кантон 10,Вјерске школе,M,
2018,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,
2019,Број,Кантон 10,Гимназија,M,
2019,Број,Кантон 10,Техничке школе,M,
2019,Број,Кантон 10,Стручне школe,M,
2019,Број,Кантон 10,Умјетничке школе,M,
2019,Број,Кантон 10,Вјерске школе,M,
2019,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,
2020,Број,Кантон 10,Гимназија,M,
2020,Број,Кантон 10,Техничке школе,M,
2020,Број,Кантон 10,Стручне школe,M,
2020,Број,Кантон 10,Умјетничке школе,M,
2020,Број,Кантон 10,Вјерске школе,M,
2020,Број,Кантон 10,Средње школе за дјецу са посебним потребама,M,
2016,Број,Федерација Босне и Херцеговине,Гимназија,Ж,
2016,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,
2016,Број,Федерација Босне и Херцеговине,Стручне школe,Ж,
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Федерација Босне и Херцеговине,Гимназија,Ж,
2017,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,
2017,Број,Федерација Босне и Херцеговине,Стручне школe,Ж,
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Федерација Босне и Херцеговине,Гимназија,Ж,
2018,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,
2018,Број,Федерација Босне и Херцеговине,Стручне школe,Ж,
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Федерација Босне и Херцеговине,Гимназија,Ж,
2019,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,
2019,Број,Федерација Босне и Херцеговине,Стручне школe,Ж,
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Федерација Босне и Херцеговине,Гимназија,Ж,
2020,Број,Федерација Босне и Херцеговине,Техничке школе,Ж,
2020,Број,Федерација Босне и Херцеговине,Стручне школe,Ж,
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,Ж,
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,Ж,
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Унско-сански кантон,Гимназија,Ж,
2016,Број,Унско-сански кантон,Техничке школе,Ж,
2016,Број,Унско-сански кантон,Стручне школe,Ж,
2016,Број,Унско-сански кантон,Умјетничке школе,Ж,
2016,Број,Унско-сански кантон,Вјерске школе,Ж,
2016,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Унско-сански кантон,Гимназија,Ж,
2017,Број,Унско-сански кантон,Техничке школе,Ж,
2017,Број,Унско-сански кантон,Стручне школe,Ж,
2017,Број,Унско-сански кантон,Умјетничке школе,Ж,
2017,Број,Унско-сански кантон,Вјерске школе,Ж,
2017,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Унско-сански кантон,Гимназија,Ж,
2018,Број,Унско-сански кантон,Техничке школе,Ж,
2018,Број,Унско-сански кантон,Стручне школe,Ж,
2018,Број,Унско-сански кантон,Умјетничке школе,Ж,
2018,Број,Унско-сански кантон,Вјерске школе,Ж,
2018,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Унско-сански кантон,Гимназија,Ж,
2019,Број,Унско-сански кантон,Техничке школе,Ж,
2019,Број,Унско-сански кантон,Стручне школe,Ж,
2019,Број,Унско-сански кантон,Умјетничке школе,Ж,
2019,Број,Унско-сански кантон,Вјерске школе,Ж,
2019,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Унско-сански кантон,Гимназија,Ж,
2020,Број,Унско-сански кантон,Техничке школе,Ж,
2020,Број,Унско-сански кантон,Стручне школe,Ж,
2020,Број,Унско-сански кантон,Умјетничке школе,Ж,
2020,Број,Унско-сански кантон,Вјерске школе,Ж,
2020,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Посавски кантон,Гимназија,Ж,
2016,Број,Посавски кантон,Техничке школе,Ж,
2016,Број,Посавски кантон,Стручне школe,Ж,
2016,Број,Посавски кантон,Умјетничке школе,Ж,
2016,Број,Посавски кантон,Вјерске школе,Ж,
2016,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Посавски кантон,Гимназија,Ж,
2017,Број,Посавски кантон,Техничке школе,Ж,
2017,Број,Посавски кантон,Стручне школe,Ж,
2017,Број,Посавски кантон,Умјетничке школе,Ж,
2017,Број,Посавски кантон,Вјерске школе,Ж,
2017,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Посавски кантон,Гимназија,Ж,
2018,Број,Посавски кантон,Техничке школе,Ж,
2018,Број,Посавски кантон,Стручне школe,Ж,
2018,Број,Посавски кантон,Умјетничке школе,Ж,
2018,Број,Посавски кантон,Вјерске школе,Ж,
2018,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Посавски кантон,Гимназија,Ж,
2019,Број,Посавски кантон,Техничке школе,Ж,
2019,Број,Посавски кантон,Стручне школe,Ж,
2019,Број,Посавски кантон,Умјетничке школе,Ж,
2019,Број,Посавски кантон,Вјерске школе,Ж,
2019,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Посавски кантон,Гимназија,Ж,
2020,Број,Посавски кантон,Техничке школе,Ж,
2020,Број,Посавски кантон,Стручне школe,Ж,
2020,Број,Посавски кантон,Умјетничке школе,Ж,
2020,Број,Посавски кантон,Вјерске школе,Ж,
2020,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Тузлански кантон,Гимназија,Ж,
2016,Број,Тузлански кантон,Техничке школе,Ж,
2016,Број,Тузлански кантон,Стручне школe,Ж,
2016,Број,Тузлански кантон,Умјетничке школе,Ж,
2016,Број,Тузлански кантон,Вјерске школе,Ж,
2016,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Тузлански кантон,Гимназија,Ж,
2017,Број,Тузлански кантон,Техничке школе,Ж,
2017,Број,Тузлански кантон,Стручне школe,Ж,
2017,Број,Тузлански кантон,Умјетничке школе,Ж,
2017,Број,Тузлански кантон,Вјерске школе,Ж,
2017,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Тузлански кантон,Гимназија,Ж,
2018,Број,Тузлански кантон,Техничке школе,Ж,
2018,Број,Тузлански кантон,Стручне школe,Ж,
2018,Број,Тузлански кантон,Умјетничке школе,Ж,
2018,Број,Тузлански кантон,Вјерске школе,Ж,
2018,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Тузлански кантон,Гимназија,Ж,
2019,Број,Тузлански кантон,Техничке школе,Ж,
2019,Број,Тузлански кантон,Стручне школe,Ж,
2019,Број,Тузлански кантон,Умјетничке школе,Ж,
2019,Број,Тузлански кантон,Вјерске школе,Ж,
2019,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Тузлански кантон,Гимназија,Ж,
2020,Број,Тузлански кантон,Техничке школе,Ж,
2020,Број,Тузлански кантон,Стручне школe,Ж,
2020,Број,Тузлански кантон,Умјетничке школе,Ж,
2020,Број,Тузлански кантон,Вјерске школе,Ж,
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Зеничко-добојски кантон,Гимназија,Ж,
2016,Број,Зеничко-добојски кантон,Техничке школе,Ж,
2016,Број,Зеничко-добојски кантон,Стручне школe,Ж,
2016,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,
2016,Број,Зеничко-добојски кантон,Вјерске школе,Ж,
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Зеничко-добојски кантон,Гимназија,Ж,
2017,Број,Зеничко-добојски кантон,Техничке школе,Ж,
2017,Број,Зеничко-добојски кантон,Стручне школe,Ж,
2017,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,
2017,Број,Зеничко-добојски кантон,Вјерске школе,Ж,
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Зеничко-добојски кантон,Гимназија,Ж,
2018,Број,Зеничко-добојски кантон,Техничке школе,Ж,
2018,Број,Зеничко-добојски кантон,Стручне школe,Ж,
2018,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,
2018,Број,Зеничко-добојски кантон,Вјерске школе,Ж,
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Зеничко-добојски кантон,Гимназија,Ж,
2019,Број,Зеничко-добојски кантон,Техничке школе,Ж,
2019,Број,Зеничко-добојски кантон,Стручне школe,Ж,
2019,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,
2019,Број,Зеничко-добојски кантон,Вјерске школе,Ж,
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Зеничко-добојски кантон,Гимназија,Ж,
2020,Број,Зеничко-добојски кантон,Техничке школе,Ж,
2020,Број,Зеничко-добојски кантон,Стручне школe,Ж,
2020,Број,Зеничко-добојски кантон,Умјетничке школе,Ж,
2020,Број,Зеничко-добојски кантон,Вјерске школе,Ж,
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Босанско-подрињски кантон,Гимназија,Ж,
2016,Број,Босанско-подрињски кантон,Техничке школе,Ж,
2016,Број,Босанско-подрињски кантон,Стручне школe,Ж,
2016,Број,Босанско-подрињски кантон,Умјетничке школе,Ж,
2016,Број,Босанско-подрињски кантон,Вјерске школе,Ж,
2016,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Босанско-подрињски кантон,Гимназија,Ж,
2017,Број,Босанско-подрињски кантон,Техничке школе,Ж,
2017,Број,Босанско-подрињски кантон,Стручне школe,Ж,
2017,Број,Босанско-подрињски кантон,Умјетничке школе,Ж,
2017,Број,Босанско-подрињски кантон,Вјерске школе,Ж,
2017,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Босанско-подрињски кантон,Гимназија,Ж,
2018,Број,Босанско-подрињски кантон,Техничке школе,Ж,
2018,Број,Босанско-подрињски кантон,Стручне школe,Ж,
2018,Број,Босанско-подрињски кантон,Умјетничке школе,Ж,
2018,Број,Босанско-подрињски кантон,Вјерске школе,Ж,
2018,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Босанско-подрињски кантон,Гимназија,Ж,
2019,Број,Босанско-подрињски кантон,Техничке школе,Ж,
2019,Број,Босанско-подрињски кантон,Стручне школe,Ж,
2019,Број,Босанско-подрињски кантон,Умјетничке школе,Ж,
2019,Број,Босанско-подрињски кантон,Вјерске школе,Ж,
2019,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Босанско-подрињски кантон,Гимназија,Ж,
2020,Број,Босанско-подрињски кантон,Техничке школе,Ж,
2020,Број,Босанско-подрињски кантон,Стручне школe,Ж,
2020,Број,Босанско-подрињски кантон,Умјетничке школе,Ж,
2020,Број,Босанско-подрињски кантон,Вјерске школе,Ж,
2020,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Средњобосански кантон,Гимназија,Ж,
2016,Број,Средњобосански кантон,Техничке школе,Ж,
2016,Број,Средњобосански кантон,Стручне школe,Ж,
2016,Број,Средњобосански кантон,Умјетничке школе,Ж,
2016,Број,Средњобосански кантон,Вјерске школе,Ж,
2016,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Средњобосански кантон,Гимназија,Ж,
2017,Број,Средњобосански кантон,Техничке школе,Ж,
2017,Број,Средњобосански кантон,Стручне школe,Ж,
2017,Број,Средњобосански кантон,Умјетничке школе,Ж,
2017,Број,Средњобосански кантон,Вјерске школе,Ж,
2017,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Ж,
2018,Број,Средњобосански кантон,Гимназија,Ж,
2018,Број,Средњобосански кантон,Техничке школе,Ж,
2018,Број,Средњобосански кантон,Стручне школe,Ж,
2018,Број,Средњобосански кантон,Умјетничке школе,Ж,
2018,Број,Средњобосански кантон,Вјерске школе,Ж,
2018,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Ж,
2019,Број,Средњобосански кантон,Гимназија,Ж,
2019,Број,Средњобосански кантон,Техничке школе,Ж,
2019,Број,Средњобосански кантон,Стручне школe,Ж,
2019,Број,Средњобосански кантон,Умјетничке школе,Ж,
2019,Број,Средњобосански кантон,Вјерске школе,Ж,
2019,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Ж,
2020,Број,Средњобосански кантон,Гимназија,Ж,
2020,Број,Средњобосански кантон,Техничке школе,Ж,
2020,Број,Средњобосански кантон,Стручне школe,Ж,
2020,Број,Средњобосански кантон,Умјетничке школе,Ж,
2020,Број,Средњобосански кантон,Вјерске школе,Ж,
2020,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Ж,
2016,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,
2016,Број,Херцеговачко-неретвански кантон,Техничке школе,Ж,
2016,Број,Херцеговачко-неретвански кантон,Стручне школe,Ж,
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Ж,
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,Ж,
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Ж,
2017,Број,Херцеговачко-неретвански кантон,Гимназија,Ж,
2017,Број,Херцеговачко-неретвански кантон,Техничке школе,Ж,
2017,Број,Херцеговачко-неретвански кантон,Стручне школe,Ж,
