Year,UNIT_MEASURE,Spol,Administrativna jedinica,Vitalna statistika,Value
1998,Broj,M,Bosansko-podrinjski kanton,Živorođeni,216
1998,Broj,M,Srednjobosanski kanton,Živorođeni,1904
1998,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1272
1998,Broj,M,Zapadno-hercegovački kanton,Živorođeni,470
1998,Broj,M,Kanton Sarajevo,Živorođeni,2558
1998,Broj,M,Kanton 10,Živorođeni,442
1998,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,14616
1998,Broj,Ž,Unsko-sanski kanton,Živorođeni,371
1998,Broj,Ž,Posavski kanton,Živorođeni,16
1998,Broj,Ž,Tuzlanski kanton,Živorođeni,2826
1998,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,2899
1998,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,190
1998,Broj,Ž,Srednjobosanski kanton,Živorođeni,1861
1998,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,1254
1998,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,443
1998,Broj,Ž,Kanton Sarajevo,Živorođeni,2332
1998,Broj,Ž,Kanton 10,Živorođeni,371
1999,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,27614
1999,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,4675
1999,Broj,Ukupno,Posavski kanton,Živorođeni,302
1999,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5627
1999,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,5124
1999,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,360
1999,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,3439
1999,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2012
1999,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,654
1999,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4621
1999,Broj,Ukupno,Kanton 10,Živorođeni,800
1999,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,14046
1999,Broj,M,Unsko-sanski kanton,Živorođeni,2366
1999,Broj,M,Posavski kanton,Živorođeni,159
1999,Broj,M,Tuzlanski kanton,Živorođeni,2885
1999,Broj,M,Zeničko-dobojski kanton,Živorođeni,2648
1999,Broj,M,Bosansko-podrinjski kanton,Živorođeni,183
1999,Broj,M,Srednjobosanski kanton,Živorođeni,1747
1999,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1013
1999,Broj,M,Zapadno-hercegovački kanton,Živorođeni,1013
1999,Broj,M,Kanton Sarajevo,Živorođeni,2338
1999,Broj,M,Kanton 10,Živorođeni,394
1999,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,13568
1999,Broj,Ž,Unsko-sanski kanton,Živorođeni,2309
1999,Broj,Ž,Posavski kanton,Živorođeni,143
1999,Broj,Ž,Tuzlanski kanton,Živorođeni,2742
1999,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,2476
1999,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,177
1999,Broj,Ž,Srednjobosanski kanton,Živorođeni,1692
1999,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,999
1999,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,999
1999,Broj,Ž,Kanton Sarajevo,Živorođeni,2283
1999,Broj,Ž,Kanton 10,Živorođeni,406
2000,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,25255
2000,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,3722
2000,Broj,Ukupno,Posavski kanton,Živorođeni,344
2000,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5373
2000,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,4708
2000,Broj,Ukupno,Bosansko-podrinjski kanton,Živorođeni,306
2000,Broj,Ukupno,Srednjobosanski kanton,Živorođeni,3119
2000,Broj,Ukupno,Hercegovačko-neretvanski kanton,Živorođeni,2118
2000,Broj,Ukupno,Zapadno-hercegovački kanton,Živorođeni,572
2000,Broj,Ukupno,Kanton Sarajevo,Živorođeni,4268
2000,Broj,Ukupno,Kanton 10,Živorođeni,725
2000,Broj,M,Federacija Bosne i Hercegovine,Živorođeni,13026
2000,Broj,M,Unsko-sanski kanton,Živorođeni,1901
2000,Broj,M,Posavski kanton,Živorođeni,195
2000,Broj,M,Tuzlanski kanton,Živorođeni,2739
2000,Broj,M,Zeničko-dobojski kanton,Živorođeni,2408
2000,Broj,M,Bosansko-podrinjski kanton,Živorođeni,152
2000,Broj,M,Srednjobosanski kanton,Živorođeni,1628
2000,Broj,M,Hercegovačko-neretvanski kanton,Živorođeni,1130
2000,Broj,M,Zapadno-hercegovački kanton,Živorođeni,287
2000,Broj,M,Kanton Sarajevo,Živorođeni,2206
2000,Broj,M,Kanton 10,Živorođeni,380
2000,Broj,Ž,Federacija Bosne i Hercegovine,Živorođeni,12229
2000,Broj,Ž,Unsko-sanski kanton,Živorođeni,1821
2000,Broj,Ž,Posavski kanton,Živorođeni,149
2000,Broj,Ž,Tuzlanski kanton,Živorođeni,2634
2000,Broj,Ž,Zeničko-dobojski kanton,Živorođeni,2300
2000,Broj,Ž,Bosansko-podrinjski kanton,Živorođeni,154
2000,Broj,Ž,Srednjobosanski kanton,Živorođeni,1491
2000,Broj,Ž,Hercegovačko-neretvanski kanton,Živorođeni,988
2000,Broj,Ž,Zapadno-hercegovački kanton,Živorođeni,285
2000,Broj,Ž,Kanton Sarajevo,Živorođeni,2062
2000,Broj,Ž,Kanton 10,Živorođeni,345
2001,Broj,Ukupno,Federacija Bosne i Hercegovine,Živorođeni,23881
2001,Broj,Ukupno,Unsko-sanski kanton,Živorođeni,3497
2001,Broj,Ukupno,Posavski kanton,Živorođeni,338
2001,Broj,Ukupno,Tuzlanski kanton,Živorođeni,5162
2001,Broj,Ukupno,Zeničko-dobojski kanton,Živorođeni,4481
