Year,UNIT_MEASURE,Administrativna oblast,Literacy,Spol,Value
2013,Broj,Teočak,literate,Ž,3034
2013,Broj,Tešanj,literate,Ž,17845
2013,Broj,Tomislavgrad,literate,Ž,13164
2013,Broj,Travnik,literate,Ž,22430
2013,Broj,trnovo-fbih,literate,Ž,575
2013,Broj,Tuzla,literate,Ž,51056
2013,Broj,Usora,literate,Ž,2885
2013,Broj,Vareš,literate,Ž,4016
2013,Broj,Velika Kladuša,literate,Ž,16281
2013,Broj,Visoko,literate,Ž,16939
2013,Broj,Vitez,literate,Ž,11025
2013,Broj,vogosca,literate,Ž,11682
2013,Broj,Zavidovići,literate,Ž,14998
2013,Broj,Zenica,literate,Ž,48203
2013,Broj,Žepče,literate,Ž,12489
2013,Broj,Živinice,literate,Ž,23846
2013,Broj,Banovići,illiterate,M,62
2013,Broj,Bihać,illiterate,M,200
2013,Broj,Bosanska Krupa,illiterate,M,125
2013,Broj,Bosanski Petrovac,illiterate,M,34
2013,Broj,Bosansko Grahovo,illiterate,M,7
2013,Broj,Breza,illiterate,M,32
2013,Broj,Bugojno,illiterate,M,97
2013,Broj,Busovača,illiterate,M,60
2013,Broj,Bužim,illiterate,M,95
2013,Broj,Cazin,illiterate,M,277
2013,Broj,centar_sarajevo,illiterate,M,60
2013,Broj,Čapljina,illiterate,M,46
2013,Broj,Čelić,illiterate,M,64
2013,Broj,Čitluk,illiterate,M,22
2013,Broj,doboj-istok,illiterate,M,103
2013,Broj,doboj-jug,illiterate,M,2
2013,Broj,Dobretići,illiterate,M,22
2013,Broj,domaljevac-samac,illiterate,M,23
2013,Broj,Donji Vakuf,illiterate,M,55
2013,Broj,Drvar,illiterate,M,21
2013,Broj,foca-fbih,illiterate,M,7
2013,Broj,Fojnica,illiterate,M,57
2013,Broj,Glamoč,illiterate,M,17
2013,Broj,Goražde,illiterate,M,70
2013,Broj,gornji_vakuf-uskoplje,illiterate,M,85
2013,Broj,Gračanica,illiterate,M,168
2013,Broj,Gradačac,illiterate,M,165
2013,Broj,Grude,illiterate,M,42
2013,Broj,hadzici,illiterate,M,198
2013,Broj,ilidza,illiterate,M,107
2013,Broj,ilijas,illiterate,M,60
2013,Broj,Jablanica,illiterate,M,37
2013,Broj,Jajce,illiterate,M,110
2013,Broj,Kakanj,illiterate,M,171
2013,Broj,Kalesija,illiterate,M,119
2013,Broj,Kiseljak,illiterate,M,93
2013,Broj,Kladanj,illiterate,M,36
2013,Broj,Ključ,illiterate,M,53
2013,Broj,Konjic,illiterate,M,86
2013,Broj,Kreševo,illiterate,M,16
2013,Broj,kupres-fbih,illiterate,M,14
2013,Broj,Livno,illiterate,M,77
2013,Broj,Lukavac,illiterate,M,185
2013,Broj,Ljubuški,illiterate,M,49
2013,Broj,Maglaj,illiterate,M,64
2013,Broj,Mostar,illiterate,M,137
2013,Broj,Neum,illiterate,M,11
2013,Broj,novi_grad_sarajevo,illiterate,M,159
2013,Broj,Novi Travnik,illiterate,M,58
2013,Broj,novo_sarajevo,illiterate,M,58
2013,Broj,Odžak,illiterate,M,64
2013,Broj,Olovo,illiterate,M,32
2013,Broj,Orašje,illiterate,M,81
2013,Broj,pale-fbih,illiterate,M,12
2013,Broj,Posušje,illiterate,M,52
2013,Broj,Prozor,illiterate,M,55
2013,Broj,Ravno,illiterate,M,5
2013,Broj,Sanski Most,illiterate,M,150
2013,Broj,Sapna,illiterate,M,72
2013,Broj,Srebrenik,illiterate,M,213
2013,Broj,stari_grad_sarajevo,illiterate,M,44
2013,Broj,Stolac,illiterate,M,67
2013,Broj,Široki Brijeg,illiterate,M,53
2013,Broj,Teočak,illiterate,M,40
2013,Broj,Tešanj,illiterate,M,152
2013,Broj,Tomislavgrad,illiterate,M,104
2013,Broj,Travnik,illiterate,M,212
2013,Broj,trnovo-fbih,illiterate,M,12
2013,Broj,Tuzla,illiterate,M,277
2013,Broj,Usora,illiterate,M,18
2013,Broj,Vareš,illiterate,M,29
2013,Broj,Velika Kladuša,illiterate,M,267
2013,Broj,Visoko,illiterate,M,120
2013,Broj,Vitez,illiterate,M,51
2013,Broj,vogosca,illiterate,M,50
2013,Broj,Zavidovići,illiterate,M,150
2013,Broj,Zenica,illiterate,M,214
2013,Broj,Žepče,illiterate,M,93
2013,Broj,Živinice,illiterate,M,218
2013,Broj,Banovići,illiterate,Ž,603
2013,Broj,Bihać,illiterate,Ž,1031
2013,Broj,Bosanska Krupa,illiterate,Ž,793
2013,Broj,Bosanski Petrovac,illiterate,Ž,166
2013,Broj,Bosansko Grahovo,illiterate,Ž,82
2013,Broj,Breza,illiterate,Ž,355
2013,Broj,Bugojno,illiterate,Ž,612
2013,Broj,Busovača,illiterate,Ž,409
2013,Broj,Bužim,illiterate,Ž,480
2013,Broj,Cazin,illiterate,Ž,1794
2013,Broj,centar_sarajevo,illiterate,Ž,354
2013,Broj,Čapljina,illiterate,Ž,294
2013,Broj,Čelić,illiterate,Ž,293
2013,Broj,Čitluk,illiterate,Ž,164
2013,Broj,doboj-istok,illiterate,Ž,400
2013,Broj,doboj-jug,illiterate,Ž,74
2013,Broj,Dobretići,illiterate,Ž,107
2013,Broj,domaljevac-samac,illiterate,Ž,94
2013,Broj,Donji Vakuf,illiterate,Ž,344
2013,Broj,Drvar,illiterate,Ž,118
2013,Broj,foca-fbih,illiterate,Ž,84
2013,Broj,Fojnica,illiterate,Ž,341
2013,Broj,Glamoč,illiterate,Ž,102
2013,Broj,Goražde,illiterate,Ž,587
2013,Broj,gornji_vakuf-uskoplje,illiterate,Ž,548
2013,Broj,Gračanica,illiterate,Ž,1207
2013,Broj,Gradačac,illiterate,Ž,900
2013,Broj,Grude,illiterate,Ž,219
2013,Broj,hadzici,illiterate,Ž,621
2013,Broj,ilidza,illiterate,Ž,1004
2013,Broj,ilijas,illiterate,Ž,643
2013,Broj,Jablanica,illiterate,Ž,282
2013,Broj,Jajce,illiterate,Ž,782
2013,Broj,Kakanj,illiterate,Ž,961
2013,Broj,Kalesija,illiterate,Ž,1075
2013,Broj,Kiseljak,illiterate,Ž,509
2013,Broj,Kladanj,illiterate,Ž,249
2013,Broj,Ključ,illiterate,Ž,512
2013,Broj,Konjic,illiterate,Ž,765
2013,Broj,Kreševo,illiterate,Ž,127
2013,Broj,kupres-fbih,illiterate,Ž,100
2013,Broj,Livno,illiterate,Ž,554
2013,Broj,Lukavac,illiterate,Ž,1359
2013,Broj,Ljubuški,illiterate,Ž,312
2013,Broj,Maglaj,illiterate,Ž,444
2013,Broj,Mostar,illiterate,Ž,1006
2013,Broj,Neum,illiterate,Ž,105
2013,Broj,novi_grad_sarajevo,illiterate,Ž,1470
2013,Broj,Novi Travnik,illiterate,Ž,459
2013,Broj,novo_sarajevo,illiterate,Ž,450
2013,Broj,Odžak,illiterate,Ž,370
2013,Broj,Olovo,illiterate,Ž,307
2013,Broj,Orašje,illiterate,Ž,297
2013,Broj,pale-fbih,illiterate,Ž,50
2013,Broj,Posušje,illiterate,Ž,314
2013,Broj,Prozor,illiterate,Ž,357
2013,Broj,Ravno,illiterate,Ž,33
2013,Broj,Sanski Most,illiterate,Ž,959
2013,Broj,Sapna,illiterate,Ž,484
2013,Broj,Srebrenik,illiterate,Ž,1388
2013,Broj,stari_grad_sarajevo,illiterate,Ž,392
2013,Broj,Stolac,illiterate,Ž,232
2013,Broj,Široki Brijeg,illiterate,Ž,385
2013,Broj,Teočak,illiterate,Ž,241
2013,Broj,Tešanj,illiterate,Ž,1053
2013,Broj,Tomislavgrad,illiterate,Ž,579
2013,Broj,Travnik,illiterate,Ž,1191
2013,Broj,trnovo-fbih,illiterate,Ž,135
2013,Broj,Tuzla,illiterate,Ž,1992
2013,Broj,Usora,illiterate,Ž,151
2013,Broj,Vareš,illiterate,Ž,175
2013,Broj,Velika Kladuša,illiterate,Ž,1348
2013,Broj,Visoko,illiterate,Ž,865
2013,Broj,Vitez,illiterate,Ž,402
2013,Broj,vogosca,illiterate,Ž,489
2013,Broj,Zavidovići,illiterate,Ž,885
2013,Broj,Zenica,illiterate,Ž,1597
2013,Broj,Žepče,illiterate,Ž,591
2013,Broj,Živinice,illiterate,Ž,1798
2013,Broj,Banovići,Nepoznato,M,85
2013,Broj,Bihać,Nepoznato,M,162
2013,Broj,Bosanska Krupa,Nepoznato,M,113
2013,Broj,Bosanski Petrovac,Nepoznato,M,50
2013,Broj,Bosansko Grahovo,Nepoznato,M,7
2013,Broj,Breza,Nepoznato,M,14
2013,Broj,Bugojno,Nepoznato,M,170
2013,Broj,Busovača,Nepoznato,M,85
2013,Broj,Bužim,Nepoznato,M,76
2013,Broj,Cazin,Nepoznato,M,251
2013,Broj,centar_sarajevo,Nepoznato,M,55
2013,Broj,Čapljina,Nepoznato,M,130
2013,Broj,Čelić,Nepoznato,M,48
2013,Broj,Čitluk,Nepoznato,M,117
2013,Broj,doboj-istok,Nepoznato,M,23
2013,Broj,doboj-jug,Nepoznato,M,13
2013,Broj,Dobretići,Nepoznato,M,8
2013,Broj,domaljevac-samac,Nepoznato,M,27
2013,Broj,Donji Vakuf,Nepoznato,M,66
2013,Broj,Drvar,Nepoznato,M,16
2013,Broj,foca-fbih,Nepoznato,M,3
2013,Broj,Fojnica,Nepoznato,M,131
2013,Broj,Glamoč,Nepoznato,M,22
2013,Broj,Goražde,Nepoznato,M,45
2013,Broj,gornji_vakuf-uskoplje,Nepoznato,M,144
2013,Broj,Gračanica,Nepoznato,M,141
2013,Broj,Gradačac,Nepoznato,M,96
2013,Broj,Grude,Nepoznato,M,89
2013,Broj,hadzici,Nepoznato,M,43
2013,Broj,ilidza,Nepoznato,M,108
2013,Broj,ilijas,Nepoznato,M,30
2013,Broj,Jablanica,Nepoznato,M,15
2013,Broj,Jajce,Nepoznato,M,157
2013,Broj,Kakanj,Nepoznato,M,92
2013,Broj,Kalesija,Nepoznato,M,136
2013,Broj,Kiseljak,Nepoznato,M,86
2013,Broj,Kladanj,Nepoznato,M,33
2013,Broj,Ključ,Nepoznato,M,67
2013,Broj,Konjic,Nepoznato,M,119
2013,Broj,Kreševo,Nepoznato,M,31
2013,Broj,kupres-fbih,Nepoznato,M,19
2013,Broj,Livno,Nepoznato,M,157
2013,Broj,Lukavac,Nepoznato,M,125
2013,Broj,Ljubuški,Nepoznato,M,131
2013,Broj,Maglaj,Nepoznato,M,70
2013,Broj,Mostar,Nepoznato,M,338
2013,Broj,Neum,Nepoznato,M,18
2013,Broj,novi_grad_sarajevo,Nepoznato,M,176
2013,Broj,Novi Travnik,Nepoznato,M,153
2013,Broj,novo_sarajevo,Nepoznato,M,62
2013,Broj,Odžak,Nepoznato,M,114
2013,Broj,Olovo,Nepoznato,M,27
2013,Broj,Orašje,Nepoznato,M,101
2013,Broj,pale-fbih,Nepoznato,M,0
2013,Broj,Posušje,Nepoznato,M,110
2013,Broj,Prozor,Nepoznato,M,105
2013,Broj,Ravno,Nepoznato,M,10
2013,Broj,Sanski Most,Nepoznato,M,179
2013,Broj,Sapna,Nepoznato,M,45
2013,Broj,Srebrenik,Nepoznato,M,172
2013,Broj,stari_grad_sarajevo,Nepoznato,M,63
2013,Broj,Stolac,Nepoznato,M,80
2013,Broj,Široki Brijeg,Nepoznato,M,144
2013,Broj,Teočak,Nepoznato,M,23
2013,Broj,Tešanj,Nepoznato,M,120
2013,Broj,Tomislavgrad,Nepoznato,M,183
2013,Broj,Travnik,Nepoznato,M,330
2013,Broj,trnovo-fbih,Nepoznato,M,3
2013,Broj,Tuzla,Nepoznato,M,257
2013,Broj,Usora,Nepoznato,M,23
2013,Broj,Vareš,Nepoznato,M,31
2013,Broj,Velika Kladuša,Nepoznato,M,126
