Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,8568
2016,Broj,Federacija Bosne i Hercegovine,M,3474
2016,Broj,Federacija Bosne i Hercegovine,Ž,5094
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,8564
2017,Broj,Federacija Bosne i Hercegovine,M,3370
2017,Broj,Federacija Bosne i Hercegovine,Ž,5194
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,8393
2018,Broj,Federacija Bosne i Hercegovine,M,3274
2018,Broj,Federacija Bosne i Hercegovine,Ž,5119
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,8516
2019,Broj,Federacija Bosne i Hercegovine,M,3316
2019,Broj,Federacija Bosne i Hercegovine,Ž,5200
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,8543
2020,Broj,Federacija Bosne i Hercegovine,M,3244
2020,Broj,Federacija Bosne i Hercegovine,Ž,5299
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,8644
2021,Broj,Federacija Bosne i Hercegovine,M,3248
2021,Broj,Federacija Bosne i Hercegovine,Ž,5396
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,8763
2022,Broj,Federacija Bosne i Hercegovine,M,3206
2022,Broj,Federacija Bosne i Hercegovine,Ž,5557
2023,Broj,Federacija Bosne i Hercegovine,Oba spola,8693
2023,Broj,Federacija Bosne i Hercegovine,M,3162
2023,Broj,Federacija Bosne i Hercegovine,Ž,5531
2016,Broj,Unsko-sanski kanton,Oba spola,908
2016,Broj,Unsko-sanski kanton,M,445
2016,Broj,Unsko-sanski kanton,Ž,463
2017,Broj,Unsko-sanski kanton,Oba spola,912
2017,Broj,Unsko-sanski kanton,M,439
2017,Broj,Unsko-sanski kanton,Ž,473
2018,Broj,Unsko-sanski kanton,Oba spola,857
2018,Broj,Unsko-sanski kanton,M,407
2018,Broj,Unsko-sanski kanton,Ž,450
2019,Broj,Unsko-sanski kanton,Oba spola,832
2019,Broj,Unsko-sanski kanton,M,395
2019,Broj,Unsko-sanski kanton,Ž,437
2020,Broj,Unsko-sanski kanton,Oba spola,815
2020,Broj,Unsko-sanski kanton,M,357
2020,Broj,Unsko-sanski kanton,Ž,458
2021,Broj,Unsko-sanski kanton,Oba spola,835
2021,Broj,Unsko-sanski kanton,M,382
2021,Broj,Unsko-sanski kanton,Ž,453
2022,Broj,Unsko-sanski kanton,Oba spola,822
2022,Broj,Unsko-sanski kanton,M,356
2022,Broj,Unsko-sanski kanton,Ž,466
2023,Broj,Unsko-sanski kanton,Oba spola,758
2023,Broj,Unsko-sanski kanton,M,317
2023,Broj,Unsko-sanski kanton,Ž,441
2016,Broj,Posavski kanton,Oba spola,130
2016,Broj,Posavski kanton,M,61
2016,Broj,Posavski kanton,Ž,69
2017,Broj,Posavski kanton,Oba spola,110
2017,Broj,Posavski kanton,M,49
2017,Broj,Posavski kanton,Ž,61
2018,Broj,Posavski kanton,Oba spola,115
2018,Broj,Posavski kanton,M,50
2018,Broj,Posavski kanton,Ž,65
2019,Broj,Posavski kanton,Oba spola,114
2019,Broj,Posavski kanton,M,47
2019,Broj,Posavski kanton,Ž,67
2020,Broj,Posavski kanton,Oba spola,103
2020,Broj,Posavski kanton,M,39
2020,Broj,Posavski kanton,Ž,64
2021,Broj,Posavski kanton,Oba spola,96
2021,Broj,Posavski kanton,M,39
2021,Broj,Posavski kanton,Ž,57
2022,Broj,Posavski kanton,Oba spola,94
2022,Broj,Posavski kanton,M,36
2022,Broj,Posavski kanton,Ž,58
2023,Broj,Posavski kanton,Oba spola,97
2023,Broj,Posavski kanton,M,35
2023,Broj,Posavski kanton,Ž,62
2016,Broj,Tuzlanski kanton,Oba spola,1741
