Year,UNIT_MEASURE,Spol,Value
2011,Broj,Oba spola,27.7
2012,Broj,Oba spola,28.4
2013,Broj,Oba spola,25.8
2014,Broj,Oba spola,26.1
2015,Broj,Oba spola,27.7
2016,Broj,Oba spola,26.4
2017,Broj,Oba spola,24.3
2018,Broj,Oba spola,21.6
2019,Broj,Oba spola,21.0
2020,Broj,Oba spola,21.6
2011,Broj,M,29.2
2012,Broj,M,30.5
2013,Broj,M,27.4
2014,Broj,M,27.9
2015,Broj,M,29.2
2016,Broj,M,28.0
2017,Broj,M,24.5
2018,Broj,M,22.1
2019,Broj,M,20.7
2020,Broj,M,20.3
2011,Broj,Ž,26.1
2012,Broj,Ž,26.2
2013,Broj,Ž,24.1
2014,Broj,Ž,24.0
2015,Broj,Ž,26.0
2016,Broj,Ž,24.7
2017,Broj,Ž,24.0
2018,Broj,Ž,21.1
2019,Broj,Ž,21.4
2020,Broj,Ž,23.0
