Year,UNIT_MEASURE,Administrativna jedinica,Value
1996,Broj,Federacija Bosne i Hercegovine,352
1996,Broj,Unsko-sanski kanton,29
1996,Broj,Posavski kanton,4
1996,Broj,Tuzlanski kanton,139
1996,Broj,Zeničko-dobojski kanton,61
1996,Broj,Bosansko-podrinjski kanton,11
1996,Broj,Srednjobosanski kanton,14
1996,Broj,Hercegovačko-neretvanski kanton,23
1996,Broj,Zapadno-hercegovački kanton,0
1996,Broj,Kanton Sarajevo,71
1996,Broj,Kanton 10,0
1997,Broj,Federacija Bosne i Hercegovine,984
1997,Broj,Unsko-sanski kanton,240
1997,Broj,Posavski kanton,15
1997,Broj,Tuzlanski kanton,274
1997,Broj,Zeničko-dobojski kanton,191
1997,Broj,Bosansko-podrinjski kanton,44
1997,Broj,Srednjobosanski kanton,92
1997,Broj,Hercegovačko-neretvanski kanton,50
1997,Broj,Zapadno-hercegovački kanton,0
1997,Broj,Kanton Sarajevo,77
1997,Broj,Kanton 10,1
1998,Broj,Federacija Bosne i Hercegovine,1046
1998,Broj,Unsko-sanski kanton,257
1998,Broj,Posavski kanton,29
1998,Broj,Tuzlanski kanton,263
1998,Broj,Zeničko-dobojski kanton,263
1998,Broj,Bosansko-podrinjski kanton,35
1998,Broj,Srednjobosanski kanton,91
1998,Broj,Hercegovačko-neretvanski kanton,35
1998,Broj,Zapadno-hercegovački kanton,0
1998,Broj,Kanton Sarajevo,73
1998,Broj,Kanton 10,0
1999,Broj,Federacija Bosne i Hercegovine,1111
1999,Broj,Unsko-sanski kanton,210
1999,Broj,Posavski kanton,47
1999,Broj,Tuzlanski kanton,249
1999,Broj,Zeničko-dobojski kanton,307
1999,Broj,Bosansko-podrinjski kanton,27
1999,Broj,Srednjobosanski kanton,93
1999,Broj,Hercegovačko-neretvanski kanton,29
1999,Broj,Zapadno-hercegovački kanton,0
1999,Broj,Kanton Sarajevo,146
1999,Broj,Kanton 10,3
2000,Broj,Federacija Bosne i Hercegovine,1161
2000,Broj,Unsko-sanski kanton,183
2000,Broj,Posavski kanton,46
2000,Broj,Tuzlanski kanton,277
2000,Broj,Zeničko-dobojski kanton,197
2000,Broj,Bosansko-podrinjski kanton,24
2000,Broj,Srednjobosanski kanton,115
2000,Broj,Hercegovačko-neretvanski kanton,22
2000,Broj,Zapadno-hercegovački kanton,0
2000,Broj,Kanton Sarajevo,294
2000,Broj,Kanton 10,3
2001,Broj,Federacija Bosne i Hercegovine,1264
2001,Broj,Unsko-sanski kanton,254
