Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,10179
2010,Broj,Unsko-sanski kanton,Oba spola,996
2010,Broj,Posavski kanton,Oba spola,117
2010,Broj,Tuzlanski kanton,Oba spola,1865
2010,Broj,Zeničko-dobojski kanton,Oba spola,1032
2010,Broj,Bosansko-podrinjski kanton,Oba spola,158
2010,Broj,Srednjobosanski kanton,Oba spola,703
2010,Broj,Hercegovačko-neretvanski kanton,Oba spola,1445
2010,Broj,Zapadno-hercegovački kanton,Oba spola,679
2010,Broj,Kanton Sarajevo,Oba spola,2811
2010,Broj,Kanton 10,Oba spola,373
2010,Broj,Federacija Bosne i Hercegovine,M,5359
2010,Broj,Unsko-sanski kanton,M,534
2010,Broj,Posavski kanton,M,55
2010,Broj,Tuzlanski kanton,M,953
2010,Broj,Zeničko-dobojski kanton,M,563
2010,Broj,Bosansko-podrinjski kanton,M,82
2010,Broj,Srednjobosanski kanton,M,400
2010,Broj,Hercegovačko-neretvanski kanton,M,746
2010,Broj,Zapadno-hercegovački kanton,M,372
2010,Broj,Kanton Sarajevo,M,1456
2010,Broj,Kanton 10,M,198
2010,Broj,Federacija Bosne i Hercegovine,Ž,4820
2010,Broj,Unsko-sanski kanton,Ž,462
2010,Broj,Posavski kanton,Ž,62
2010,Broj,Tuzlanski kanton,Ž,912
2010,Broj,Zeničko-dobojski kanton,Ž,469
2010,Broj,Bosansko-podrinjski kanton,Ž,76
2010,Broj,Srednjobosanski kanton,Ž,303
2010,Broj,Hercegovačko-neretvanski kanton,Ž,699
2010,Broj,Zapadno-hercegovački kanton,Ž,307
2010,Broj,Kanton Sarajevo,Ž,1355
2010,Broj,Kanton 10,Ž,175
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,10179
2011,Broj,Unsko-sanski kanton,Oba spola,996
2011,Broj,Posavski kanton,Oba spola,117
2011,Broj,Tuzlanski kanton,Oba spola,1865
2011,Broj,Zeničko-dobojski kanton,Oba spola,1032
2011,Broj,Bosansko-podrinjski kanton,Oba spola,158
2011,Broj,Srednjobosanski kanton,Oba spola,703
2011,Broj,Hercegovačko-neretvanski kanton,Oba spola,1445
2011,Broj,Zapadno-hercegovački kanton,Oba spola,679
2011,Broj,Kanton Sarajevo,Oba spola,2811
2011,Broj,Kanton 10,Oba spola,373
2011,Broj,Federacija Bosne i Hercegovine,M,5359
2011,Broj,Unsko-sanski kanton,M,534
2011,Broj,Posavski kanton,M,55
2011,Broj,Tuzlanski kanton,M,953
2011,Broj,Zeničko-dobojski kanton,M,563
2011,Broj,Bosansko-podrinjski kanton,M,82
2011,Broj,Srednjobosanski kanton,M,400
2011,Broj,Hercegovačko-neretvanski kanton,M,746
2011,Broj,Zapadno-hercegovački kanton,M,372
2011,Broj,Kanton Sarajevo,M,1456
2011,Broj,Kanton 10,M,198
2011,Broj,Federacija Bosne i Hercegovine,Ž,4820
2011,Broj,Unsko-sanski kanton,Ž,462
2011,Broj,Posavski kanton,Ž,62
2011,Broj,Tuzlanski kanton,Ž,912
2011,Broj,Zeničko-dobojski kanton,Ž,469
2011,Broj,Bosansko-podrinjski kanton,Ž,76
2011,Broj,Srednjobosanski kanton,Ž,303
2011,Broj,Hercegovačko-neretvanski kanton,Ž,699
2011,Broj,Zapadno-hercegovački kanton,Ž,307
2011,Broj,Kanton Sarajevo,Ž,1355
2011,Broj,Kanton 10,Ž,175
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,10969
2012,Broj,Unsko-sanski kanton,Oba spola,1065
2012,Broj,Posavski kanton,Oba spola,141
2012,Broj,Tuzlanski kanton,Oba spola,2011
2012,Broj,Zeničko-dobojski kanton,Oba spola,1251
2012,Broj,Bosansko-podrinjski kanton,Oba spola,192
2012,Broj,Srednjobosanski kanton,Oba spola,656
2012,Broj,Hercegovačko-neretvanski kanton,Oba spola,1421
2012,Broj,Zapadno-hercegovački kanton,Oba spola,756
2012,Broj,Kanton Sarajevo,Oba spola,3101
2012,Broj,Kanton 10,Oba spola,375
2012,Broj,Federacija Bosne i Hercegovine,M,5700
2012,Broj,Unsko-sanski kanton,M,564
2012,Broj,Posavski kanton,M,91
2012,Broj,Tuzlanski kanton,M,1096
2012,Broj,Zeničko-dobojski kanton,M,651
2012,Broj,Bosansko-podrinjski kanton,M,92
2012,Broj,Srednjobosanski kanton,M,332
2012,Broj,Hercegovačko-neretvanski kanton,M,721
2012,Broj,Zapadno-hercegovački kanton,M,411
2012,Broj,Kanton Sarajevo,M,1550
2012,Broj,Kanton 10,M,192
2012,Broj,Federacija Bosne i Hercegovine,Ž,5269
2012,Broj,Unsko-sanski kanton,Ž,501
2012,Broj,Posavski kanton,Ž,50
2012,Broj,Tuzlanski kanton,Ž,915
2012,Broj,Zeničko-dobojski kanton,Ž,600
2012,Broj,Bosansko-podrinjski kanton,Ž,100
2012,Broj,Srednjobosanski kanton,Ž,324
2012,Broj,Hercegovačko-neretvanski kanton,Ž,700
2012,Broj,Zapadno-hercegovački kanton,Ž,345
2012,Broj,Kanton Sarajevo,Ž,1551
2012,Broj,Kanton 10,Ž,183
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,156
2013,Broj,Unsko-sanski kanton,Oba spola,14
2013,Broj,Posavski kanton,Oba spola,3
2013,Broj,Tuzlanski kanton,Oba spola,21
2013,Broj,Zeničko-dobojski kanton,Oba spola,24
2013,Broj,Bosansko-podrinjski kanton,Oba spola,2
2013,Broj,Srednjobosanski kanton,Oba spola,12
2013,Broj,Hercegovačko-neretvanski kanton,Oba spola,22
2013,Broj,Zapadno-hercegovački kanton,Oba spola,12
2013,Broj,Kanton Sarajevo,Oba spola,40
2013,Broj,Kanton 10,Oba spola,6
2013,Broj,Federacija Bosne i Hercegovine,M,6229
2013,Broj,Unsko-sanski kanton,M,587
2013,Broj,Posavski kanton,M,74
2013,Broj,Tuzlanski kanton,M,1054
2013,Broj,Zeničko-dobojski kanton,M,711
2013,Broj,Bosansko-podrinjski kanton,M,91
2013,Broj,Srednjobosanski kanton,M,290
2013,Broj,Hercegovačko-neretvanski kanton,M,780
2013,Broj,Zapadno-hercegovački kanton,M,424
2013,Broj,Kanton Sarajevo,M,2028
2013,Broj,Kanton 10,M,190
2013,Broj,Federacija Bosne i Hercegovine,Ž,5579
2013,Broj,Unsko-sanski kanton,Ž,533
2013,Broj,Posavski kanton,Ž,68
2013,Broj,Tuzlanski kanton,Ž,858
2013,Broj,Zeničko-dobojski kanton,Ž,687
2013,Broj,Bosansko-podrinjski kanton,Ž,80
2013,Broj,Srednjobosanski kanton,Ž,318
2013,Broj,Hercegovačko-neretvanski kanton,Ž,739
2013,Broj,Zapadno-hercegovački kanton,Ž,371
2013,Broj,Kanton Sarajevo,Ž,1745
2013,Broj,Kanton 10,Ž,180
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,12737
2014,Broj,Unsko-sanski kanton,Oba spola,1244
2014,Broj,Posavski kanton,Oba spola,149
2014,Broj,Tuzlanski kanton,Oba spola,2033
2014,Broj,Zeničko-dobojski kanton,Oba spola,1406
2014,Broj,Bosansko-podrinjski kanton,Oba spola,139
2014,Broj,Srednjobosanski kanton,Oba spola,821
2014,Broj,Hercegovačko-neretvanski kanton,Oba spola,1794
2014,Broj,Zapadno-hercegovački kanton,Oba spola,789
2014,Broj,Kanton Sarajevo,Oba spola,4003
2014,Broj,Kanton 10,Oba spola,359
2014,Broj,Federacija Bosne i Hercegovine,M,6632
2014,Broj,Unsko-sanski kanton,M,651
2014,Broj,Posavski kanton,M,74
2014,Broj,Tuzlanski kanton,M,1108
2014,Broj,Zeničko-dobojski kanton,M,731
2014,Broj,Bosansko-podrinjski kanton,M,64
2014,Broj,Srednjobosanski kanton,M,420
2014,Broj,Hercegovačko-neretvanski kanton,M,914
2014,Broj,Zapadno-hercegovački kanton,M,421
2014,Broj,Kanton Sarajevo,M,2070
2014,Broj,Kanton 10,M,179
2014,Broj,Federacija Bosne i Hercegovine,Ž,6105
2014,Broj,Unsko-sanski kanton,Ž,593
2014,Broj,Posavski kanton,Ž,75
2014,Broj,Tuzlanski kanton,Ž,925
2014,Broj,Zeničko-dobojski kanton,Ž,675
2014,Broj,Bosansko-podrinjski kanton,Ž,75
2014,Broj,Srednjobosanski kanton,Ž,401
2014,Broj,Hercegovačko-neretvanski kanton,Ž,880
2014,Broj,Zapadno-hercegovački kanton,Ž,368
2014,Broj,Kanton Sarajevo,Ž,1933
2014,Broj,Kanton 10,Ž,180
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,13268
2015,Broj,Unsko-sanski kanton,Oba spola,1311
2015,Broj,Posavski kanton,Oba spola,161
2015,Broj,Tuzlanski kanton,Oba spola,2213
2015,Broj,Zeničko-dobojski kanton,Oba spola,1594
2015,Broj,Bosansko-podrinjski kanton,Oba spola,141
2015,Broj,Srednjobosanski kanton,Oba spola,889
2015,Broj,Hercegovačko-neretvanski kanton,Oba spola,1975
2015,Broj,Zapadno-hercegovački kanton,Oba spola,738
2015,Broj,Kanton Sarajevo,Oba spola,3856
2015,Broj,Kanton 10,Oba spola,390
2015,Broj,Federacija Bosne i Hercegovine,M,6906
2015,Broj,Unsko-sanski kanton,M,695
2015,Broj,Posavski kanton,M,81
2015,Broj,Tuzlanski kanton,M,1187
2015,Broj,Zeničko-dobojski kanton,M,835
2015,Broj,Bosansko-podrinjski kanton,M,67
2015,Broj,Srednjobosanski kanton,M,447
2015,Broj,Hercegovačko-neretvanski kanton,M,999
2015,Broj,Zapadno-hercegovački kanton,M,365
2015,Broj,Kanton Sarajevo,M,2037
2015,Broj,Kanton 10,M,193
2015,Broj,Federacija Bosne i Hercegovine,Ž,6362
2015,Broj,Unsko-sanski kanton,Ž,616
2015,Broj,Posavski kanton,Ž,80
2015,Broj,Tuzlanski kanton,Ž,1026
2015,Broj,Zeničko-dobojski kanton,Ž,759
2015,Broj,Bosansko-podrinjski kanton,Ž,74
2015,Broj,Srednjobosanski kanton,Ž,442
2015,Broj,Hercegovačko-neretvanski kanton,Ž,976
2015,Broj,Zapadno-hercegovački kanton,Ž,373
2015,Broj,Kanton Sarajevo,Ž,1819
2015,Broj,Kanton 10,Ž,197
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,14405
2016,Broj,Unsko-sanski kanton,Oba spola,1351
2016,Broj,Posavski kanton,Oba spola,160
2016,Broj,Tuzlanski kanton,Oba spola,2337
2016,Broj,Zeničko-dobojski kanton,Oba spola,1893
2016,Broj,Bosansko-podrinjski kanton,Oba spola,146
