Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2020,Broj,Tuzlanski kanton,Umjetničke škole,Oba spola,
2020,Broj,Tuzlanski kanton,religious_schools,Oba spola,
2020,Broj,Tuzlanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2016,Broj,Zeničko-dobojski kanton,technical_high_schools,Oba spola,
2016,Broj,Zeničko-dobojski kanton,vocational_high_schools,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2016,Broj,Zeničko-dobojski kanton,religious_schools,Oba spola,
2016,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2017,Broj,Zeničko-dobojski kanton,technical_high_schools,Oba spola,
2017,Broj,Zeničko-dobojski kanton,vocational_high_schools,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2017,Broj,Zeničko-dobojski kanton,religious_schools,Oba spola,
2017,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2018,Broj,Zeničko-dobojski kanton,technical_high_schools,Oba spola,
2018,Broj,Zeničko-dobojski kanton,vocational_high_schools,Oba spola,
2018,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2018,Broj,Zeničko-dobojski kanton,religious_schools,Oba spola,
2018,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2019,Broj,Zeničko-dobojski kanton,technical_high_schools,Oba spola,
2019,Broj,Zeničko-dobojski kanton,vocational_high_schools,Oba spola,
2019,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2019,Broj,Zeničko-dobojski kanton,religious_schools,Oba spola,
2019,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2020,Broj,Zeničko-dobojski kanton,technical_high_schools,Oba spola,
2020,Broj,Zeničko-dobojski kanton,vocational_high_schools,Oba spola,
2020,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2020,Broj,Zeničko-dobojski kanton,religious_schools,Oba spola,
2020,Broj,Zeničko-dobojski kanton,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,technical_high_schools,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,vocational_high_schools,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,religious_schools,Oba spola,
2016,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,technical_high_schools,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,vocational_high_schools,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,religious_schools,Oba spola,
2017,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,technical_high_schools,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,vocational_high_schools,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,religious_schools,Oba spola,
2018,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,technical_high_schools,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,vocational_high_schools,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,religious_schools,Oba spola,
2019,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Gimnazija,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,technical_high_schools,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,vocational_high_schools,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,Umjetničke škole,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,religious_schools,Oba spola,
2020,Broj,Bosansko-podrinjski kanton,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2016,Broj,Srednjobosanski kanton,technical_high_schools,Oba spola,
2016,Broj,Srednjobosanski kanton,vocational_high_schools,Oba spola,
2016,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2016,Broj,Srednjobosanski kanton,religious_schools,Oba spola,
2016,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2017,Broj,Srednjobosanski kanton,technical_high_schools,Oba spola,
2017,Broj,Srednjobosanski kanton,vocational_high_schools,Oba spola,
2017,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2017,Broj,Srednjobosanski kanton,religious_schools,Oba spola,
2017,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2018,Broj,Srednjobosanski kanton,technical_high_schools,Oba spola,
2018,Broj,Srednjobosanski kanton,vocational_high_schools,Oba spola,
2018,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2018,Broj,Srednjobosanski kanton,religious_schools,Oba spola,
2018,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2019,Broj,Srednjobosanski kanton,technical_high_schools,Oba spola,
2019,Broj,Srednjobosanski kanton,vocational_high_schools,Oba spola,
2019,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2019,Broj,Srednjobosanski kanton,religious_schools,Oba spola,
2019,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Srednjobosanski kanton,Gimnazija,Oba spola,
2020,Broj,Srednjobosanski kanton,technical_high_schools,Oba spola,
2020,Broj,Srednjobosanski kanton,vocational_high_schools,Oba spola,
2020,Broj,Srednjobosanski kanton,Umjetničke škole,Oba spola,
2020,Broj,Srednjobosanski kanton,religious_schools,Oba spola,
2020,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,religious_schools,Oba spola,
2016,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,religious_schools,Oba spola,
2017,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,religious_schools,Oba spola,
2018,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,religious_schools,Oba spola,
2019,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Gimnazija,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,Oba spola,
2020,Broj,Hercegovačko-neretvanski kanton,religious_schools,Oba spola,
