Year,UNIT_MEASURE,Spol,Starosna dob,Value
1996,Broj,Oba spola,Ukupno,2141341
1996,Broj,Oba spola,0-4,153195
1996,Broj,Oba spola, 5-9,165916
1996,Broj,Oba spola, 10-14,168460
1996,Broj,Oba spola, 15-19,164069
1996,Broj,Oba spola,20-24,161959
1996,Broj,Oba spola,25-29,163395
1996,Broj,Oba spola,30-34,180071
1996,Broj,Oba spola,35-39,179869
1996,Broj,Oba spola,40-44,166729
1996,Broj,Oba spola,45-49,136173
1996,Broj,Oba spola,50-54,103164
1996,Broj,Oba spola,55-59,125739
1996,Broj,Oba spola,60-64,111760
1996,Broj,Oba spola,65-69,81445
1996,Broj,Oba spola,70-74,44617
1996,Broj,Oba spola,75-79,18205
1996,Broj,Oba spola,80-84,10765
1996,Broj,Oba spola,85+,5810
1996,Broj,M,Ukupno,1047552
1996,Broj,M,0-4,78553
1996,Broj,M, 5-9,85278
1996,Broj,M, 10-14,86144
1996,Broj,M, 15-19,83177
1996,Broj,M,20-24,80946
1996,Broj,M,25-29,81826
1996,Broj,M,30-34,89597
1996,Broj,M,35-39,89379
1996,Broj,M,40-44,82674
1996,Broj,M,45-49,65403
1996,Broj,M,50-54,49106
1996,Broj,M,55-59,59148
1996,Broj,M,60-64,52079
1996,Broj,M,65-69,36331
1996,Broj,M,70-74,15933
1996,Broj,M,75-79,6152
1996,Broj,M,80-84,3756
1996,Broj,M,85+,2070
1996,Broj,Ž,Ukupno,1093789
1996,Broj,Ž,0-4,74642
1996,Broj,Ž, 5-9,80638
1996,Broj,Ž, 10-14,82316
1996,Broj,Ž, 15-19,80892
1996,Broj,Ž,20-24,81013
1996,Broj,Ž,25-29,81569
1996,Broj,Ž,30-34,90474
1996,Broj,Ž,35-39,90490
1996,Broj,Ž,40-44,84055
1996,Broj,Ž,45-49,70770
1996,Broj,Ž,50-54,54058
1996,Broj,Ž,55-59,66591
1996,Broj,Ž,60-64,59681
1996,Broj,Ž,65-69,45114
1996,Broj,Ž,70-74,28684
1996,Broj,Ž,75-79,12053
1996,Broj,Ž,80-84,7009
1996,Broj,Ž,85+,3740
1997,Broj,Oba spola,Ukupno,2161442
1997,Broj,Oba spola,0-4,158155
1997,Broj,Oba spola, 5-9,162541
1997,Broj,Oba spola, 10-14,168728
1997,Broj,Oba spola, 15-19,164823
1997,Broj,Oba spola,20-24,161492
1997,Broj,Oba spola,25-29,161729
1997,Broj,Oba spola,30-34,176756
1997,Broj,Oba spola,35-39,183333
1997,Broj,Oba spola,40-44,169633
1997,Broj,Oba spola,45-49,139816
1997,Broj,Oba spola,50-54,105754
1997,Broj,Oba spola,55-59,122947
1997,Broj,Oba spola,60-64,114166
1997,Broj,Oba spola,65-69,86359
1997,Broj,Oba spola,70-74,48280
1997,Broj,Oba spola,75-79,20970
1997,Broj,Oba spola,80-84,10029
1997,Broj,Oba spola,85+,5931
1997,Broj,M,Ukupno,1057745
1997,Broj,M,0-4,81585
1997,Broj,M, 5-9,83036
1997,Broj,M, 10-14,86474
1997,Broj,M, 15-19,83872
1997,Broj,M,20-24,80721
1997,Broj,M,25-29,81025
1997,Broj,M,30-34,88111
