Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
1998,Broj,Federacija Bosne i Hercegovine,Oba spola,483426.0
1998,Broj,Unsko-sanski kanton,Oba spola,19062.0
1998,Broj,Posavski kanton,Oba spola,400.0
1998,Broj,Tuzlanski kanton,Oba spola,52338.0
1998,Broj,Zeničko-dobojski kanton,Oba spola,166900.0
1998,Broj,Bosansko-podrinjski kanton,Oba spola,
1998,Broj,Srednjobosanski kanton,Oba spola,19686.0
1998,Broj,Hercegovačko-neretvanski kanton,Oba spola,18032.0
1998,Broj,Zapadno-hercegovački kanton,Oba spola,
1998,Broj,Kanton Sarajevo,Oba spola,205599.0
1998,Broj,Kanton 10,Oba spola,1409.0
1998,Broj,Federacija Bosne i Hercegovine,M,256508.0
1998,Broj,Unsko-sanski kanton,M,8518.0
1998,Broj,Posavski kanton,M,167.0
1998,Broj,Tuzlanski kanton,M,25383.0
1998,Broj,Zeničko-dobojski kanton,M,93367.0
1998,Broj,Bosansko-podrinjski kanton,M,
1998,Broj,Srednjobosanski kanton,M,8634.0
1998,Broj,Hercegovačko-neretvanski kanton,M,7469.0
1998,Broj,Zapadno-hercegovački kanton,M,
1998,Broj,Kanton Sarajevo,M,112504.0
1998,Broj,Kanton 10,M,466.0
1998,Broj,Federacija Bosne i Hercegovine,Ž,226918.0
1998,Broj,Unsko-sanski kanton,Ž,10544.0
1998,Broj,Posavski kanton,Ž,233.0
1998,Broj,Tuzlanski kanton,Ž,26955.0
1998,Broj,Zeničko-dobojski kanton,Ž,73533.0
1998,Broj,Bosansko-podrinjski kanton,Ž,
1998,Broj,Srednjobosanski kanton,Ž,11052.0
1998,Broj,Hercegovačko-neretvanski kanton,Ž,10563.0
1998,Broj,Zapadno-hercegovački kanton,Ž,
1998,Broj,Kanton Sarajevo,Ž,93095.0
1998,Broj,Kanton 10,Ž,943.0
1999,Broj,Federacija Bosne i Hercegovine,Oba spola,316644.0
1999,Broj,Unsko-sanski kanton,Oba spola,8787.0
1999,Broj,Posavski kanton,Oba spola,911.0
1999,Broj,Tuzlanski kanton,Oba spola,49938.0
1999,Broj,Zeničko-dobojski kanton,Oba spola,122126.0
1999,Broj,Bosansko-podrinjski kanton,Oba spola,
1999,Broj,Srednjobosanski kanton,Oba spola,25288.0
1999,Broj,Hercegovačko-neretvanski kanton,Oba spola,33768.0
1999,Broj,Zapadno-hercegovački kanton,Oba spola,1198.0
1999,Broj,Kanton Sarajevo,Oba spola,71624.0
1999,Broj,Kanton 10,Oba spola,3004.0
1999,Broj,Federacija Bosne i Hercegovine,M,158297.0
1999,Broj,Unsko-sanski kanton,M,4056.0
1999,Broj,Posavski kanton,M,459.0
1999,Broj,Tuzlanski kanton,M,24031.0
1999,Broj,Zeničko-dobojski kanton,M,52694.0
1999,Broj,Bosansko-podrinjski kanton,M,
1999,Broj,Srednjobosanski kanton,M,11153.0
1999,Broj,Hercegovačko-neretvanski kanton,M,18834.0
1999,Broj,Zapadno-hercegovački kanton,M,830.0
1999,Broj,Kanton Sarajevo,M,45340.0
1999,Broj,Kanton 10,M,901.0
1999,Broj,Federacija Bosne i Hercegovine,Ž,158347.0
1999,Broj,Unsko-sanski kanton,Ž,4731.0
1999,Broj,Posavski kanton,Ž,452.0
1999,Broj,Tuzlanski kanton,Ž,25907.0
1999,Broj,Zeničko-dobojski kanton,Ž,69432.0
1999,Broj,Bosansko-podrinjski kanton,Ž,
1999,Broj,Srednjobosanski kanton,Ž,14135.0
1999,Broj,Hercegovačko-neretvanski kanton,Ž,14934.0
1999,Broj,Zapadno-hercegovački kanton,Ž,368.0
1999,Broj,Kanton Sarajevo,Ž,26284.0
1999,Broj,Kanton 10,Ž,2103.0
2000,Broj,Federacija Bosne i Hercegovine,Oba spola,283785.0
2000,Broj,Unsko-sanski kanton,Oba spola,11514.0
2000,Broj,Posavski kanton,Oba spola,1759.0
2000,Broj,Tuzlanski kanton,Oba spola,51918.0
2000,Broj,Zeničko-dobojski kanton,Oba spola,84090.0
2000,Broj,Bosansko-podrinjski kanton,Oba spola,
2000,Broj,Srednjobosanski kanton,Oba spola,28632.0
2000,Broj,Hercegovačko-neretvanski kanton,Oba spola,25754.0
2000,Broj,Zapadno-hercegovački kanton,Oba spola,1198.0
2000,Broj,Kanton Sarajevo,Oba spola,76363.0
2000,Broj,Kanton 10,Oba spola,2557.0
2000,Broj,Federacija Bosne i Hercegovine,M,150741.0
2000,Broj,Unsko-sanski kanton,M,3628.0
2000,Broj,Posavski kanton,M,900.0
2000,Broj,Tuzlanski kanton,M,25809.0
2000,Broj,Zeničko-dobojski kanton,M,45290.0
2000,Broj,Bosansko-podrinjski kanton,M,
2000,Broj,Srednjobosanski kanton,M,11909.0
2000,Broj,Hercegovačko-neretvanski kanton,M,10760.0
2000,Broj,Zapadno-hercegovački kanton,M,830.0
2000,Broj,Kanton Sarajevo,M,50388.0
2000,Broj,Kanton 10,M,1227.0
2000,Broj,Federacija Bosne i Hercegovine,Ž,133044.0
2000,Broj,Unsko-sanski kanton,Ž,7886.0
2000,Broj,Posavski kanton,Ž,859.0
2000,Broj,Tuzlanski kanton,Ž,26109.0
2000,Broj,Zeničko-dobojski kanton,Ž,38800.0
2000,Broj,Bosansko-podrinjski kanton,Ž,
2000,Broj,Srednjobosanski kanton,Ž,16723.0
2000,Broj,Hercegovačko-neretvanski kanton,Ž,14994.0
2000,Broj,Zapadno-hercegovački kanton,Ž,368.0
2000,Broj,Kanton Sarajevo,Ž,25975.0
2000,Broj,Kanton 10,Ž,1330.0
2001,Broj,Federacija Bosne i Hercegovine,Oba spola,290612.0
2001,Broj,Unsko-sanski kanton,Oba spola,11912.0
2001,Broj,Posavski kanton,Oba spola,1156.0
2001,Broj,Tuzlanski kanton,Oba spola,28365.0
2001,Broj,Zeničko-dobojski kanton,Oba spola,94505.0
2001,Broj,Bosansko-podrinjski kanton,Oba spola,
2001,Broj,Srednjobosanski kanton,Oba spola,21221.0
2001,Broj,Hercegovačko-neretvanski kanton,Oba spola,27091.0
2001,Broj,Zapadno-hercegovački kanton,Oba spola,627.0
2001,Broj,Kanton Sarajevo,Oba spola,103226.0
2001,Broj,Kanton 10,Oba spola,2509.0
2001,Broj,Federacija Bosne i Hercegovine,M,174528.0
2001,Broj,Unsko-sanski kanton,M,6205.0
2001,Broj,Posavski kanton,M,481.0
2001,Broj,Tuzlanski kanton,M,11941.0
2001,Broj,Zeničko-dobojski kanton,M,51720.0
2001,Broj,Bosansko-podrinjski kanton,M,
2001,Broj,Srednjobosanski kanton,M,9183.0
2001,Broj,Hercegovačko-neretvanski kanton,M,12154.0
2001,Broj,Zapadno-hercegovački kanton,M,304.0
2001,Broj,Kanton Sarajevo,M,81369.0
2001,Broj,Kanton 10,M,1171.0
2001,Broj,Federacija Bosne i Hercegovine,Ž,116084.0
2001,Broj,Unsko-sanski kanton,Ž,5707.0
2001,Broj,Posavski kanton,Ž,675.0
2001,Broj,Tuzlanski kanton,Ž,16424.0
2001,Broj,Zeničko-dobojski kanton,Ž,42785.0
2001,Broj,Bosansko-podrinjski kanton,Ž,
2001,Broj,Srednjobosanski kanton,Ž,12038.0
2001,Broj,Hercegovačko-neretvanski kanton,Ž,14937.0
2001,Broj,Zapadno-hercegovački kanton,Ž,323.0
