Year,UNIT_MEASURE,Spol,Value
2003,Starosna dob,Oba spola,
2003,Starosna dob,M,
2003,Starosna dob,Ž,
2004,Starosna dob,Oba spola,
2004,Starosna dob,M,
2004,Starosna dob,Ž,
2005,Starosna dob,Oba spola,
2005,Starosna dob,M,
2005,Starosna dob,Ž,
2006,Starosna dob,Oba spola,
2006,Starosna dob,M,
2006,Starosna dob,Ž,
2007,Starosna dob,Oba spola,
2007,Starosna dob,M,
2007,Starosna dob,Ž,
2008,Starosna dob,Oba spola,
2008,Starosna dob,M,
2008,Starosna dob,Ž,
2009,Starosna dob,Oba spola,
2009,Starosna dob,M,
2009,Starosna dob,Ž,
2010,Starosna dob,Oba spola,
2010,Starosna dob,M,
2010,Starosna dob,Ž,
2011,Starosna dob,Oba spola,
2011,Starosna dob,M,
2011,Starosna dob,Ž,
2012,Starosna dob,Oba spola,
2012,Starosna dob,M,
2012,Starosna dob,Ž,
2013,Starosna dob,Oba spola,
2013,Starosna dob,M,
2013,Starosna dob,Ž,
2014,Starosna dob,Oba spola,
2014,Starosna dob,M,
2014,Starosna dob,Ž,
2015,Starosna dob,Oba spola,
2015,Starosna dob,M,
2015,Starosna dob,Ž,
2016,Starosna dob,Oba spola,
2016,Starosna dob,M,
2016,Starosna dob,Ž,
2017,Starosna dob,Oba spola,
2017,Starosna dob,M,
2017,Starosna dob,Ž,
2018,Starosna dob,Oba spola,
2018,Starosna dob,M,
2018,Starosna dob,Ž,
2019,Starosna dob,Oba spola,
2019,Starosna dob,M,
2019,Starosna dob,Ž,
2020,Starosna dob,Oba spola,
2020,Starosna dob,M,
2020,Starosna dob,Ž,
