Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Value
2016,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Srednjobosanski kanton,Gimnazija,
2017,Broj,Srednjobosanski kanton,technical_high_schools,
2017,Broj,Srednjobosanski kanton,vocational_high_schools,
2017,Broj,Srednjobosanski kanton,Umjetničke škole,
2017,Broj,Srednjobosanski kanton,religious_schools,
2017,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Srednjobosanski kanton,Gimnazija,
2018,Broj,Srednjobosanski kanton,technical_high_schools,
2018,Broj,Srednjobosanski kanton,vocational_high_schools,
2018,Broj,Srednjobosanski kanton,Umjetničke škole,
2018,Broj,Srednjobosanski kanton,religious_schools,
2018,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Srednjobosanski kanton,Gimnazija,
2019,Broj,Srednjobosanski kanton,technical_high_schools,
2019,Broj,Srednjobosanski kanton,vocational_high_schools,
2019,Broj,Srednjobosanski kanton,Umjetničke škole,
2019,Broj,Srednjobosanski kanton,religious_schools,
2019,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Srednjobosanski kanton,Gimnazija,
2020,Broj,Srednjobosanski kanton,technical_high_schools,
2020,Broj,Srednjobosanski kanton,vocational_high_schools,
2020,Broj,Srednjobosanski kanton,Umjetničke škole,
2020,Broj,Srednjobosanski kanton,religious_schools,
2020,Broj,Srednjobosanski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Hercegovačko-neretvanski kanton,Gimnazija,
2016,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,
2016,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,
2016,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,
2016,Broj,Hercegovačko-neretvanski kanton,religious_schools,
2016,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,
2017,Broj,Hercegovačko-neretvanski kanton,Gimnazija,
2017,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,
2017,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,
2017,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,
2017,Broj,Hercegovačko-neretvanski kanton,religious_schools,
2017,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,
2018,Broj,Hercegovačko-neretvanski kanton,Gimnazija,
2018,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,
2018,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,
2018,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,
2018,Broj,Hercegovačko-neretvanski kanton,religious_schools,
2018,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,
2019,Broj,Hercegovačko-neretvanski kanton,Gimnazija,
2019,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,
2019,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,
2019,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,
2019,Broj,Hercegovačko-neretvanski kanton,religious_schools,
2019,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,
2020,Broj,Hercegovačko-neretvanski kanton,Gimnazija,
2020,Broj,Hercegovačko-neretvanski kanton,technical_high_schools,
2020,Broj,Hercegovačko-neretvanski kanton,vocational_high_schools,
2020,Broj,Hercegovačko-neretvanski kanton,Umjetničke škole,
2020,Broj,Hercegovačko-neretvanski kanton,religious_schools,
2020,Broj,Hercegovačko-neretvanski kanton,high_schools_for_students_with_disabilities,
2016,Broj,Zapadno-hercegovački kanton,Gimnazija,
2016,Broj,Zapadno-hercegovački kanton,technical_high_schools,
2016,Broj,Zapadno-hercegovački kanton,vocational_high_schools,
2016,Broj,Zapadno-hercegovački kanton,Umjetničke škole,
2016,Broj,Zapadno-hercegovački kanton,religious_schools,
2016,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,
2017,Broj,Zapadno-hercegovački kanton,Gimnazija,
2017,Broj,Zapadno-hercegovački kanton,technical_high_schools,
2017,Broj,Zapadno-hercegovački kanton,vocational_high_schools,
2017,Broj,Zapadno-hercegovački kanton,Umjetničke škole,
2017,Broj,Zapadno-hercegovački kanton,religious_schools,
2017,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,
2018,Broj,Zapadno-hercegovački kanton,Gimnazija,
2018,Broj,Zapadno-hercegovački kanton,technical_high_schools,
2018,Broj,Zapadno-hercegovački kanton,vocational_high_schools,
2018,Broj,Zapadno-hercegovački kanton,Umjetničke škole,
2018,Broj,Zapadno-hercegovački kanton,religious_schools,
2018,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,
2019,Broj,Zapadno-hercegovački kanton,Gimnazija,
2019,Broj,Zapadno-hercegovački kanton,technical_high_schools,
2019,Broj,Zapadno-hercegovački kanton,vocational_high_schools,
2019,Broj,Zapadno-hercegovački kanton,Umjetničke škole,
2019,Broj,Zapadno-hercegovački kanton,religious_schools,
2019,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,
2020,Broj,Zapadno-hercegovački kanton,Gimnazija,
2020,Broj,Zapadno-hercegovački kanton,technical_high_schools,
2020,Broj,Zapadno-hercegovački kanton,vocational_high_schools,
2020,Broj,Zapadno-hercegovački kanton,Umjetničke škole,
2020,Broj,Zapadno-hercegovački kanton,religious_schools,
2020,Broj,Zapadno-hercegovački kanton,high_schools_for_students_with_disabilities,
2016,Broj,Kanton Sarajevo,Gimnazija,
2016,Broj,Kanton Sarajevo,technical_high_schools,
2016,Broj,Kanton Sarajevo,vocational_high_schools,
2016,Broj,Kanton Sarajevo,Umjetničke škole,
2016,Broj,Kanton Sarajevo,religious_schools,
2016,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,
2017,Broj,Kanton Sarajevo,Gimnazija,
2017,Broj,Kanton Sarajevo,technical_high_schools,
2017,Broj,Kanton Sarajevo,vocational_high_schools,
2017,Broj,Kanton Sarajevo,Umjetničke škole,
2017,Broj,Kanton Sarajevo,religious_schools,
2017,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,
2018,Broj,Kanton Sarajevo,Gimnazija,
2018,Broj,Kanton Sarajevo,technical_high_schools,
2018,Broj,Kanton Sarajevo,vocational_high_schools,
2018,Broj,Kanton Sarajevo,Umjetničke škole,
2018,Broj,Kanton Sarajevo,religious_schools,
2018,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,
2019,Broj,Kanton Sarajevo,Gimnazija,
2019,Broj,Kanton Sarajevo,technical_high_schools,
2019,Broj,Kanton Sarajevo,vocational_high_schools,
2019,Broj,Kanton Sarajevo,Umjetničke škole,
2019,Broj,Kanton Sarajevo,religious_schools,
2019,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,
2020,Broj,Kanton Sarajevo,Gimnazija,
2020,Broj,Kanton Sarajevo,technical_high_schools,
2020,Broj,Kanton Sarajevo,vocational_high_schools,
2020,Broj,Kanton Sarajevo,Umjetničke škole,
2020,Broj,Kanton Sarajevo,religious_schools,
2020,Broj,Kanton Sarajevo,high_schools_for_students_with_disabilities,
2016,Broj,Kanton 10,Gimnazija,
2016,Broj,Kanton 10,technical_high_schools,
2016,Broj,Kanton 10,vocational_high_schools,
2016,Broj,Kanton 10,Umjetničke škole,
2016,Broj,Kanton 10,religious_schools,
2016,Broj,Kanton 10,high_schools_for_students_with_disabilities,
2017,Broj,Kanton 10,Gimnazija,
2017,Broj,Kanton 10,technical_high_schools,
2017,Broj,Kanton 10,vocational_high_schools,
2017,Broj,Kanton 10,Umjetničke škole,
2017,Broj,Kanton 10,religious_schools,
2017,Broj,Kanton 10,high_schools_for_students_with_disabilities,
2018,Broj,Kanton 10,Gimnazija,
2018,Broj,Kanton 10,technical_high_schools,
2018,Broj,Kanton 10,vocational_high_schools,
2018,Broj,Kanton 10,Umjetničke škole,
2018,Broj,Kanton 10,religious_schools,
2018,Broj,Kanton 10,high_schools_for_students_with_disabilities,
2019,Broj,Kanton 10,Gimnazija,
2019,Broj,Kanton 10,technical_high_schools,
2019,Broj,Kanton 10,vocational_high_schools,
2019,Broj,Kanton 10,Umjetničke škole,
2019,Broj,Kanton 10,religious_schools,
2019,Broj,Kanton 10,high_schools_for_students_with_disabilities,
2020,Broj,Kanton 10,Gimnazija,
2020,Broj,Kanton 10,technical_high_schools,
2020,Broj,Kanton 10,vocational_high_schools,
2020,Broj,Kanton 10,Umjetničke škole,
2020,Broj,Kanton 10,religious_schools,
2020,Broj,Kanton 10,high_schools_for_students_with_disabilities,
