Year,UNIT_MEASURE,Age,Value
2014,Number,1,
2014,Number,2,
2014,Number,3,
2014,Number,4,
2014,Number,5,
2014,Number,6,
2014,Number,7,
2014,Number,8,
2014,Number,9,
2014,Number,10,
2014,Number,11,
2014,Number,12,
2014,Number,13,
2014,Number,14,
2014,Number,15,
2014,Number,16,
2014,Number,17,
2014,Number,18,
2014,Number,19,
2014,Number,20,
2014,Number,21,
2014,Number,22,
2014,Number,23,
2014,Number,24,
2014,Number,25,
2014,Number,26,
2014,Number,27,
2014,Number,28,
2014,Number,29,
2014,Number,30,
2014,Number,31,
2014,Number,32,
2014,Number,33,
2014,Number,34,
2014,Number,35,
2014,Number,36,
2014,Number,37,
2014,Number,38,
2014,Number,39,
2014,Number,40,
2014,Number,41,
2014,Number,42,
2014,Number,43,
2014,Number,44,
2014,Number,45,
2014,Number,46,
2014,Number,47,
2014,Number,48,
2014,Number,49,
2014,Number,50,
2014,Number,51,
2014,Number,52,
2014,Number,53,
2014,Number,54,
2014,Number,55,
2014,Number,56,
2014,Number,57,
2014,Number,58,
2014,Number,59,
2014,Number,60,
2014,Number,61,
2014,Number,62,
2014,Number,63,
2014,Number,64,
2014,Number,65,
2014,Number,66,
2014,Number,67,
2014,Number,68,
2014,Number,69,
2014,Number,70,
2014,Number,71,
2014,Number,72,
2014,Number,73,
2014,Number,74,
2014,Number,75,
2014,Number,76,
2014,Number,77,
2014,Number,78,
2014,Number,79,
2014,Number,80,
2014,Number,81,
2014,Number,82,
2014,Number,83,
2014,Number,84,
2014,Number,85,
2014,Number,86,
2014,Number,87,
2014,Number,88,
2014,Number,89,
2014,Number,90,
2014,Number,91,
2014,Number,92,
2014,Number,93,
2014,Number,94,
2014,Number,95,
2014,Number,96,
2014,Number,97,
2014,Number,98,
2014,Number,99,
2014,Number,100,
2015,Number,1,
2015,Number,2,
2015,Number,3,
2015,Number,4,
2015,Number,5,
2015,Number,6,
2015,Number,7,
2015,Number,8,
2015,Number,9,
2015,Number,10,
2015,Number,11,
2015,Number,12,
2015,Number,13,
2015,Number,14,
2015,Number,15,
2015,Number,16,
2015,Number,17,
2015,Number,18,
2015,Number,19,
2015,Number,20,
2015,Number,21,
2015,Number,22,
2015,Number,23,
2015,Number,24,
2015,Number,25,
2015,Number,26,
2015,Number,27,
2015,Number,28,
2015,Number,29,
2015,Number,30,
2015,Number,31,
2015,Number,32,
2015,Number,33,
2015,Number,34,
2015,Number,35,
2015,Number,36,
2015,Number,37,
2015,Number,38,
2015,Number,39,
2015,Number,40,
2015,Number,41,
2015,Number,42,
2015,Number,43,
2015,Number,44,
2015,Number,45,
2015,Number,46,
2015,Number,47,
2015,Number,48,
2015,Number,49,
2015,Number,50,
2015,Number,51,
2015,Number,52,
2015,Number,53,
2015,Number,54,
2015,Number,55,
2015,Number,56,
2015,Number,57,
2015,Number,58,
2015,Number,59,
2015,Number,60,
2015,Number,61,
2015,Number,62,
2015,Number,63,
2015,Number,64,
2015,Number,65,
2015,Number,66,
2015,Number,67,
2015,Number,68,
2015,Number,69,
2015,Number,70,
2015,Number,71,
2015,Number,72,
2015,Number,73,
2015,Number,74,
2015,Number,75,
2015,Number,76,
2015,Number,77,
2015,Number,78,
2015,Number,79,
2015,Number,80,
2015,Number,81,
2015,Number,82,
2015,Number,83,
2015,Number,84,
2015,Number,85,
2015,Number,86,
2015,Number,87,
2015,Number,88,
2015,Number,89,
2015,Number,90,
2015,Number,91,
2015,Number,92,
2015,Number,93,
2015,Number,94,
2015,Number,95,
2015,Number,96,
2015,Number,97,
2015,Number,98,
2015,Number,99,
2015,Number,100,
2016,Number,1,
2016,Number,2,
2016,Number,3,
2016,Number,4,
2016,Number,5,
2016,Number,6,
2016,Number,7,
2016,Number,8,
2016,Number,9,
2016,Number,10,
2016,Number,11,
2016,Number,12,
2016,Number,13,
2016,Number,14,
2016,Number,15,
2016,Number,16,
2016,Number,17,
2016,Number,18,
2016,Number,19,
2016,Number,20,
2016,Number,21,
2016,Number,22,
2016,Number,23,
2016,Number,24,
2016,Number,25,
2016,Number,26,
2016,Number,27,
2016,Number,28,
2016,Number,29,
2016,Number,30,
2016,Number,31,
2016,Number,32,
2016,Number,33,
2016,Number,34,
2016,Number,35,
2016,Number,36,
2016,Number,37,
2016,Number,38,
2016,Number,39,
2016,Number,40,
2016,Number,41,
2016,Number,42,
2016,Number,43,
2016,Number,44,
2016,Number,45,
2016,Number,46,
2016,Number,47,
2016,Number,48,
2016,Number,49,
2016,Number,50,
2016,Number,51,
2016,Number,52,
2016,Number,53,
2016,Number,54,
2016,Number,55,
2016,Number,56,
2016,Number,57,
2016,Number,58,
2016,Number,59,
2016,Number,60,
2016,Number,61,
2016,Number,62,
