Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,1230
2010,Number,Una-Sana Canton,Both sexes,168
2010,Number,Posavina Canton,Both sexes,18
2010,Number,Tuzla Canton,Both sexes,246
2010,Number,Zenica-Doboj Canton,Both sexes,144
2010,Number,Bosnian-Podrinje Canton,Both sexes,30
2010,Number,Central Bosnia Canton,Both sexes,78
2010,Number,Herzegovina-Neretva Canton,Both sexes,162
2010,Number,West Herzegovina Canton,Both sexes,72
2010,Number,Sarajevo Canton,Both sexes,251
2010,Number,Canton 10,Both sexes,61
2010,Number,Federation of Bosnia and Herzegovina,M,76
2010,Number,Una-Sana Canton,M,14
2010,Number,Posavina Canton,M,2
2010,Number,Tuzla Canton,M,31
2010,Number,Zenica-Doboj Canton,M,9
2010,Number,Bosnian-Podrinje Canton,M,2
2010,Number,Central Bosnia Canton,M,4
2010,Number,Herzegovina-Neretva Canton,M,2
2010,Number,West Herzegovina Canton,M,3
2010,Number,Sarajevo Canton,M,6
2010,Number,Canton 10,M,3
2010,Number,Federation of Bosnia and Herzegovina,F,1154
2010,Number,Una-Sana Canton,F,154
2010,Number,Posavina Canton,F,16
2010,Number,Tuzla Canton,F,215
2010,Number,Zenica-Doboj Canton,F,135
2010,Number,Bosnian-Podrinje Canton,F,28
2010,Number,Central Bosnia Canton,F,74
2010,Number,Herzegovina-Neretva Canton,F,160
2010,Number,West Herzegovina Canton,F,69
2010,Number,Sarajevo Canton,F,245
2010,Number,Canton 10,F,58
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,1441
2011,Number,Una-Sana Canton,Both sexes,170
2011,Number,Posavina Canton,Both sexes,18
2011,Number,Tuzla Canton,Both sexes,260
2011,Number,Zenica-Doboj Canton,Both sexes,189
2011,Number,Bosnian-Podrinje Canton,Both sexes,37
2011,Number,Central Bosnia Canton,Both sexes,78
2011,Number,Herzegovina-Neretva Canton,Both sexes,198
2011,Number,West Herzegovina Canton,Both sexes,86
2011,Number,Sarajevo Canton,Both sexes,342
2011,Number,Canton 10,Both sexes,63
2011,Number,Federation of Bosnia and Herzegovina,M,96
2011,Number,Una-Sana Canton,M,14
2011,Number,Posavina Canton,M,2
2011,Number,Tuzla Canton,M,32
2011,Number,Zenica-Doboj Canton,M,17
2011,Number,Bosnian-Podrinje Canton,M,2
2011,Number,Central Bosnia Canton,M,4
2011,Number,Herzegovina-Neretva Canton,M,7
2011,Number,West Herzegovina Canton,M,4
2011,Number,Sarajevo Canton,M,11
