Year,UNIT_MEASURE,Value
2007,Number,43.8
2008,Number,35.8
2009,Number,47.1
2010,Number,39.0
2011,Number,35.1
2012,Number,41.4
2013,Number,26.1
2014,Number,17.7
2015,Number,45.7
2016,Number,51.1
2017,Number,49.6
