Year,Value,UNIT_MEASURE
1996,25.7,Број на 1.000 бракова
1997,68.4,Број на 1.000 бракова
1998,77.9,Број на 1.000 бракова
1999,84.1,Број на 1.000 бракова
2000,84.9,Број на 1.000 бракова
2001,100.8,Број на 1.000 бракова
2002,110.5,Број на 1.000 бракова
2003,89.6,Број на 1.000 бракова
2004,62.6,Број на 1.000 бракова
2005,70.9,Број на 1.000 бракова
2006,71.7,Број на 1.000 бракова
2007,69.6,Број на 1.000 бракова
2008,62.9,Број на 1.000 бракова
2009,58.9,Број на 1.000 бракова
2010,76.5,Број на 1.000 бракова
2011,97.0,Број на 1.000 бракова
2012,97.5,Број на 1.000 бракова
2013,119.8,Број на 1.000 бракова
2014,110.2,Број на 1.000 бракова
2015,115.8,Број на 1.000 бракова
2016,113.0,Број на 1.000 бракова
2017,132.8,Број на 1.000 бракова
2018,139.6,Број на 1.000 бракова
2019,136.4,Број на 1.000 бракова
