Year,Value,UNIT_MEASURE
2005,5152,БАМ
2006,5840,БАМ
2007,6556,БАМ
2008,7367,БАМ
2009,7172,БАМ
2010,7388,БАМ
2011,7604,БАМ
2012,7655,БАМ
2013,7831,БАМ
2014,8045,БАМ
2015,8452,БАМ
2016,8857,БАМ
2017,9331,БАМ
2018,10010,БАМ
2019,10584,БАМ
2005,2634,ЕУР
2006,2986,ЕУР
2007,3352,ЕУР
2008,3767,ЕУР
2009,3667,ЕУР
2010,3777,ЕУР
2011,3888,ЕУР
2012,3914,ЕУР
2013,4004,ЕУР
2014,4113,ЕУР
2015,4322,ЕУР
2016,4528,ЕУР
2017,4771,ЕУР
2018,5118,ЕУР
2019,5411,ЕУР
2005,3276,УСД
2006,3745,УСД
2007,4586,УСД
2008,5512,УСД
2009,5098,УСД
2010,5002,УСД
2011,5408,УСД
2012,5027,УСД
2013,5314,УСД
2014,5458,УСД
2015,4795,УСД
2016,5009,УСД
2017,5377,УСД
2018,6039,УСД
2019,6057,УСД
