Year,Value,UNIT_MEASURE
1997,109.9,Број дјечака на 100 дјевојчица
1998,108.0,Број дјечака на 100 дјевојчица
1999,103.8,Број дјечака на 100 дјевојчица
2000,106.5,Број дјечака на 100 дјевојчица
2001,105.8,Број дјечака на 100 дјевојчица
2002,105.4,Број дјечака на 100 дјевојчица
2003,109.0,Број дјечака на 100 дјевојчица
2004,106.5,Број дјечака на 100 дјевојчица
2005,106.0,Број дјечака на 100 дјевојчица
2006,107.8,Број дјечака на 100 дјевојчица
2007,108.4,Број дјечака на 100 дјевојчица
2008,104.8,Број дјечака на 100 дјевојчица
2009,107.6,Број дјечака на 100 дјевојчица
2010,106.8,Број дјечака на 100 дјевојчица
2011,107.9,Број дјечака на 100 дјевојчица
2012,108.1,Број дјечака на 100 дјевојчица
2013,106.5,Број дјечака на 100 дјевојчица
2014,105.1,Број дјечака на 100 дјевојчица
2015,104.4,Број дјечака на 100 дјевојчица
2016,108.2,Број дјечака на 100 дјевојчица
2017,107.0,Број дјечака на 100 дјевојчица
2018,106.4,Број дјечака на 100 дјевојчица
2019,107.7,Број дјечака на 100 дјевојчица
2020,107.1,Број дјечака на 100 дјевојчица
