Year,Value,UNIT_MEASURE
1996,15.2,Стопа наталитета на 1.000 становника
1997,14.6,Стопа наталитета на 1.000 становника
1998,14.1,Стопа наталитета на 1.000 становника
1999,12.3,Стопа наталитета на 1.000 становника
2000,11.0,Стопа наталитета на 1.000 становника
2001,10.4,Стопа наталитета на 1.000 становника
2002,10.0,Стопа наталитета на 1.000 становника
2003,10.0,Стопа наталитета на 1.000 становника
2004,9.6,Стопа наталитета на 1.000 становника
2005,9.4,Стопа наталитета на 1.000 становника
2006,9.3,Стопа наталитета на 1.000 становника
2007,9.3,Стопа наталитета на 1.000 становника
2008,9.8,Стопа наталитета на 1.000 становника
2009,9.8,Стопа наталитета на 1.000 становника
2010,9.6,Стопа наталитета на 1.000 становника
2011,9.1,Стопа наталитета на 1.000 становника
2012,9.2,Стопа наталитета на 1.000 становника
2013,8.6,Стопа наталитета на 1.000 становника
2014,9.0,Стопа наталитета на 1.000 становника
2015,8.8,Стопа наталитета на 1.000 становника
2016,8.9,Стопа наталитета на 1.000 становника
2017,9.0,Стопа наталитета на 1.000 становника
2018,8.6,Стопа наталитета на 1.000 становника
2019,8.2,Стопа наталитета на 1.000 становника
