Year,Value,UNIT_MEASURE
2020,8.8,Стопа наталитета на 1.000 становника
2025,8.2,Стопа наталитета на 1.000 становника
2030,7.6,Стопа наталитета на 1.000 становника
2035,7.0,Стопа наталитета на 1.000 становника
2040,6.7,Стопа наталитета на 1.000 становника
2045,6.5,Стопа наталитета на 1.000 становника
2050,6.4,Стопа наталитета на 1.000 становника
2055,6.3,Стопа наталитета на 1.000 становника
2060,6.2,Стопа наталитета на 1.000 становника
2065,6.1,Стопа наталитета на 1.000 становника
2070,6.1,Стопа наталитета на 1.000 становника
