Year,Value,UNIT_MEASURE
1997,4.9,Број на 1000 живорођених
1998,4.6,Број на 1000 живорођених
1999,5.5,Број на 1000 живорођених
2000,4.2,Број на 1000 живорођених
2001,4.8,Број на 1000 живорођених
2002,4.2,Број на 1000 живорођених
2003,4.7,Број на 1000 живорођених
2004,5.5,Број на 1000 живорођених
2005,5.0,Број на 1000 живорођених
2006,4.9,Број на 1000 живорођених
2007,6.0,Број на 1000 живорођених
2008,5.6,Број на 1000 живорођених
2009,3.9,Број на 1000 живорођених
2010,3.8,Број на 1000 живорођених
2011,3.6,Број на 1000 живорођених
2012,3.2,Број на 1000 живорођених
2013,3.0,Број на 1000 живорођених
2014,2.7,Број на 1000 живорођених
2015,5.0,Број на 1000 живорођених
2016,4.8,Број на 1000 живорођених
2017,4.2,Број на 1000 живорођених
2018,3.6,Број на 1000 живорођених
2019,3.8,Број на 1000 живорођених
