Year,Value,UNIT_MEASURE
1996,23.6,Старосна доб
1997,23.5,Старосна доб
1998,23.9,Старосна доб
1999,24.2,Старосна доб
2000,24.2,Старосна доб
2001,24.2,Старосна доб
2002,24.2,Старосна доб
2003,24.3,Старосна доб
2004,24.5,Старосна доб
2005,24.5,Старосна доб
2006,24.6,Старосна доб
2007,24.8,Старосна доб
2008,24.9,Старосна доб
2009,25.1,Старосна доб
2010,25.4,Старосна доб
2011,25.6,Старосна доб
2012,25.7,Старосна доб
2013,26.1,Старосна доб
2014,26.2,Старосна доб
2015,26.4,Старосна доб
2016,26.3,Старосна доб
2017,26.7,Старосна доб
2018,26.7,Старосна доб
2019,26.8,Старосна доб
2020,26.9,Старосна доб
