Year,Value,UNIT_MEASURE
2005,11506.25,БАМ
2006,13036.63,БАМ
2007,14629.12,БАМ
2008,16426.24,БАМ
2009,15986.73,БАМ
2010,16460.55,БАМ
2011,16927.41,БАМ
2012,17012.8,БАМ
2013,17378.78,БАМ
2014,17827.46,БАМ
2015,18688.3,БАМ
2016,19540.12,БАМ
2017,20539.7,БАМ
2018,21983.51,БАМ
2019,23179.13,БАМ
2005,5883.14,ЕУР
2006,6665.63,ЕУР
2007,7479.87,ЕУР
2008,8398.73,ЕУР
2009,8174.01,ЕУР
2010,8416.28,ЕУР
2011,8654.98,ЕУР
2012,8698.64,ЕУР
2013,8885.77,ЕУР
2014,9115.17,ЕУР
2015,9555.32,ЕУР
2016,9990.86,ЕУР
2017,10501.94,ЕУР
2018,11240.16,ЕУР
2019,11851.48,ЕУР
2005,7315.78,УСД
2006,8360.03,УСД
2007,10233.73,УСД
2008,12289.57,УСД
2009,11363.9,УСД
2010,11145.34,УСД
2011,12038.55,УСД
2012,11172.78,УСД
2013,11793.42,УСД
2014,12094.61,УСД
2015,10602.69,УСД
2016,11052.1,УСД
2017,11835.03,УСД
2018,13263.05,УСД
2019,13266.44,УСД
