Year,Value,UNIT_MEASURE
2003,,Број дјеце по жени од 15-49 старости
2004,,Број дјеце по жени од 15-49 старости
2005,,Број дјеце по жени од 15-49 старости
2006,,Број дјеце по жени од 15-49 старости
2007,,Број дјеце по жени од 15-49 старости
2008,,Број дјеце по жени од 15-49 старости
2009,,Број дјеце по жени од 15-49 старости
2010,,Број дјеце по жени од 15-49 старости
2011,,Број дјеце по жени од 15-49 старости
2012,,Број дјеце по жени од 15-49 старости
2013,,Број дјеце по жени од 15-49 старости
2014,,Број дјеце по жени од 15-49 старости
2015,,Број дјеце по жени од 15-49 старости
2016,,Број дјеце по жени од 15-49 старости
2017,,Број дјеце по жени од 15-49 старости
2018,,Број дјеце по жени од 15-49 старости
2019,,Број дјеце по жени од 15-49 старости
2020,,Број дјеце по жени од 15-49 старости
