Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Федерација Босне и Херцеговине,Оба пола,99228
2011,Број,Федерација Босне и Херцеговине,Оба пола,108957
2012,Број,Федерација Босне и Херцеговине,Оба пола,113214
2013,Број,Федерација Босне и Херцеговине,Оба пола,106056
2014,Број,Федерација Босне и Херцеговине,Оба пола,96331
2015,Број,Федерација Босне и Херцеговине,Оба пола,87813
2016,Број,Федерација Босне и Херцеговине,Оба пола,82675
2017,Број,Федерација Босне и Херцеговине,Оба пола,81454
2018,Број,Федерација Босне и Херцеговине,Оба пола,76164
2019,Број,Федерација Босне и Херцеговине,Оба пола,72892
2020,Број,Федерација Босне и Херцеговине,Оба пола,71328
2021,Број,Федерација Босне и Херцеговине,Оба пола,70024
2022,Број,Федерација Босне и Херцеговине,Оба пола,70325
2023,Број,Федерација Босне и Херцеговине,Оба пола,70356
2010,Број,Федерација Босне и Херцеговине,M,50211
2011,Број,Федерација Босне и Херцеговине,M,55366
2012,Број,Федерација Босне и Херцеговине,M,57539
2013,Број,Федерација Босне и Херцеговине,M,53616
2014,Број,Федерација Босне и Херцеговине,M,48240
2015,Број,Федерација Босне и Херцеговине,M,43953
2016,Број,Федерација Босне и Херцеговине,M,41231
2017,Број,Федерација Босне и Херцеговине,M,40710
2018,Број,Федерација Босне и Херцеговине,M,38140
2019,Број,Федерација Босне и Херцеговине,M,36506
2020,Број,Федерација Босне и Херцеговине,M,35711
2021,Број,Федерација Босне и Херцеговине,M,35018
2022,Број,Федерација Босне и Херцеговине,M,35016
2023,Број,Федерација Босне и Херцеговине,M,35053
2010,Број,Федерација Босне и Херцеговине,Ж,49017
2011,Број,Федерација Босне и Херцеговине,Ж,53591
2012,Број,Федерација Босне и Херцеговине,Ж,55675
2013,Број,Федерација Босне и Херцеговине,Ж,52440
2014,Број,Федерација Босне и Херцеговине,Ж,48091
2015,Број,Федерација Босне и Херцеговине,Ж,43860
2016,Број,Федерација Босне и Херцеговине,Ж,41444
2017,Број,Федерација Босне и Херцеговине,Ж,40744
2018,Број,Федерација Босне и Херцеговине,Ж,38024
2019,Број,Федерација Босне и Херцеговине,Ж,36386
2020,Број,Федерација Босне и Херцеговине,Ж,35617
2021,Број,Федерација Босне и Херцеговине,Ж,35006
2022,Број,Федерација Босне и Херцеговине,Ж,35309
2023,Број,Федерација Босне и Херцеговине,Ж,35303
