Year,UNIT_MEASURE,Value
2005,Number,3683
2006,Number,3767
2007,Number,3979
2008,Number,4117
2009,Number,4268
2010,Number,4355
2011,Number,4443
2012,Number,4519
2013,Number,4625
2014,Number,4801
2015,Number,4764
2016,Number,4755
2017,Number,4810
2018,Number,4922
2019,Number,5092
