Year,UNIT_MEASURE,Value
2007,Number,178
2008,Number,131
2009,Number,177
2010,Number,151
2011,Number,123
2012,Number,174
2013,Number,99
2014,Number,169
2015,Number,158
2016,Number,215
2017,Number,115
