Year,UNIT_MEASURE,Административна јединица,Бројност домаћинства,Value
2023,Број,Унско-сански кантон,7,2332
2023,Број,Бихаћ,7,266
2023,Број,Босанска Крупа,7,204
2023,Број,Босански Петровац,7,20
2023,Број,Бужим,7,268
2023,Број,Цазин,7,766
2023,Број,Кључ,7,123
2023,Број,Сански Мост,7,347
2023,Број,Велика Кладуша,7,338
2023,Број,Посавски кантон,7,321
2023,Број,Домаљевац-Шамац,7,36
2023,Број,Оџак,7,137
2023,Број,Орашје,7,148
2023,Број,Тузлански кантон,7,1427
2023,Број,Бановићи,7,51
2023,Број,Челић,7,61
2023,Број,Добој-Исток,7,37
2023,Број,Грачаница,7,135
2023,Број,Градачац,7,250
2023,Број,Калесија,7,163
2023,Број,Кладањ,7,37
2023,Број,Лукавац,7,59
2023,Број,Сапна,7,91
2023,Број,Сребреник,7,152
2023,Број,Теочак,7,57
2023,Број,Тузла,7,142
2023,Број,Живинице,7,192
2023,Број,Зеничко-добојски кантон,7,1245
2023,Број,Бреза,7,24
2023,Број,Добој-Југ,7,15
2023,Број,Какањ,7,119
2023,Број,Маглај,7,82
2023,Број,Олово,7,27
2023,Број,Тешањ,7,194
2023,Број,Усора,7,50
2023,Број,Вареш,7,7
2023,Број,Високо,7,135
2023,Број,Завидовићи,7,102
2023,Број,Зеница,7,275
2023,Број,Жепче,7,215
2023,Број,Босанско-подрињски кантон,7,71
2023,Број,Фоча-ФБиХ,7,9
2023,Број,Горажде,7,56
2023,Број,Пале-ФБиХ,7,6
2023,Број,Средњобосански кантон,7,1496
2023,Број,Бугојно,7,226
2023,Број,Бусовача,7,78
2023,Број,Добретићи,7,19
2023,Број,Доњи Вакуф,7,74
2023,Број,Фојница,7,43
2023,Број,Горњи Вакуф-Ускопље,7,177
2023,Број,Јајце,7,219
2023,Број,Кисељак,7,77
2023,Број,Крешево,7,18
2023,Број,Нови Травник,7,127
2023,Број,Травник,7,337
2023,Број,Витез,7,101
2023,Број,Херцеговачко-неретвански кантон,7,1576
2023,Број,Чапљина,7,225
2023,Број,Читлук,7,260
2023,Број,Мостар,7,547
2023,Број,Јабланица,7,43
2023,Број,Коњиц,7,101
2023,Број,Неум,7,28
2023,Број,Прозор,7,182
2023,Број,Равно,7,28
2023,Број,Столац,7,162
2023,Број,Западнохерцеговчки кантон,7,1193
2023,Број,Груде,7,237
2023,Број,Љубушки,7,377
2023,Број,Посушје,7,248
2023,Број,Широки Бријег,7,331
2023,Број,Кантон Сарајево,7,988
2023,Број,Сарајево-Центар,7,99
2023,Број,Сарајево-Хаџићи,7,79
2023,Број,Сарајево-Илиџа,7,222
2023,Број,Сарајево-Илијаш,7,69
2023,Број,Сарајево-Нови Град,7,281
2023,Број,Сарајево-Ново Сарајево,7,79
2023,Број,Сарајево-Стари Град,7,88
2023,Број,Трново-ФБиХ,7,2
2023,Број,Сарајево-Вогошћа,7,69
2023,Број,Кантон 10,7,884
2023,Број,Босанско Грахово,7,10
2023,Број,Дрвар,7,14
2023,Број,Гламоч,7,22
2023,Број,kupres,7,44
2023,Број,Ливно,7,368
2023,Број,Томиславград,7,426
2023,Број,Федерација Босне и Херцеговине,8+,9278
2023,Број,Унско-сански кантон,8+,2253
2023,Број,Бихаћ,8+,181
2023,Број,Босанска Крупа,8+,136
2023,Број,Босански Петровац,8+,15
2023,Број,Бужим,8+,317
2023,Број,Цазин,8+,780
2023,Број,Кључ,8+,120
2023,Број,Сански Мост,8+,407
2023,Број,Велика Кладуша,8+,297
2023,Број,Посавски кантон,8+,283
2023,Број,Домаљевац-Шамац,8+,48
2023,Број,Оџак,8+,140
2023,Број,Орашје,8+,95
2023,Број,Тузлански кантон,8+,872
2023,Број,Бановићи,8+,20
2023,Број,Челић,8+,59
2023,Број,Добој-Исток,8+,13
2023,Број,Грачаница,8+,56
2023,Број,Градачац,8+,129
2023,Број,Калесија,8+,108
2023,Број,Кладањ,8+,30
2023,Број,Лукавац,8+,42
2023,Број,Сапна,8+,76
2023,Број,Сребреник,8+,86
2023,Број,Теочак,8+,49
2023,Број,Тузла,8+,97
2023,Број,Живинице,8+,107
2023,Број,Зеничко-добојски кантон,8+,769
2023,Број,Бреза,8+,9
2023,Број,Добој-Југ,8+,5
2023,Број,Какањ,8+,61
2023,Број,Маглај,8+,74
2023,Број,Олово,8+,8
2023,Број,Тешањ,8+,75
2023,Број,Усора,8+,49
2023,Број,Вареш,8+,7
2023,Број,Високо,8+,84
2023,Број,Завидовићи,8+,60
2023,Број,Зеница,8+,165
2023,Број,Жепче,8+,172
2023,Број,Босанско-подрињски кантон,8+,27
2023,Број,Фоча-ФБиХ,8+,3
2023,Број,Горажде,8+,22
2023,Број,Пале-ФБиХ,8+,2
2023,Број,Средњобосански кантон,8+,1074
2023,Број,Бугојно,8+,194
2023,Број,Бусовача,8+,38
2023,Број,Добретићи,8+,16
2023,Број,Доњи Вакуф,8+,46
2023,Број,Фојница,8+,12
2023,Број,Горњи Вакуф-Ускопље,8+,179
2023,Број,Јајце,8+,206
2023,Број,Кисељак,8+,36
2023,Број,Крешево,8+,4
2023,Број,Нови Травник,8+,93
2023,Број,Травник,8+,202
2023,Број,Витез,8+,48
2023,Број,Херцеговачко-неретвански кантон,8+,1150
2023,Број,Чапљина,8+,132
2023,Број,Читлук,8+,199
2023,Број,Мостар,8+,342
2023,Број,Јабланица,8+,29
2023,Број,Коњиц,8+,45
2023,Број,Неум,8+,38
2023,Број,Прозор,8+,188
2023,Број,Равно,8+,23
2023,Број,Столац,8+,154
2023,Број,Западнохерцеговчки кантон,8+,1138
2023,Број,Груде,8+,262
2023,Број,Љубушки,8+,363
2023,Број,Посушје,8+,266
2023,Број,Широки Бријег,8+,247
2023,Број,Кантон Сарајево,8+,752
2023,Број,Сарајево-Центар,8+,69
2023,Број,Сарајево-Хаџићи,8+,53
2023,Број,Сарајево-Илиџа,8+,186
2023,Број,Сарајево-Илијаш,8+,50
2023,Број,Сарајево-Нови Град,8+,215
2023,Број,Сарајево-Ново Сарајево,8+,72
2023,Број,Сарајево-Стари Град,8+,55
2023,Број,Трново-ФБиХ,8+,4
2023,Број,Сарајево-Вогошћа,8+,48
2023,Број,Кантон 10,8+,960
2023,Број,Босанско Грахово,8+,8
2023,Број,Дрвар,8+,3
2023,Број,Гламоч,8+,18
2023,Број,kupres,8+,24
2023,Број,Ливно,8+,468
2023,Број,Томиславград,8+,439
