Year,UNIT_MEASURE,Административна јединица,Бројност домаћинства,Value
2023,Број,Сребреник,Укупно,13187
2023,Број,Теочак,Укупно,2020
2023,Број,Тузла,Укупно,42625
2023,Број,Живинице,Укупно,18431
2023,Број,Зеничко-добојски кантон,Укупно,121139
2023,Број,Бреза,Укупно,5058
2023,Број,Добој-Југ,Укупно,1307
2023,Број,Какањ,Укупно,12237
2023,Број,Маглај,Укупно,7687
2023,Број,Олово,Укупно,3492
2023,Број,Тешањ,Укупно,13425
2023,Број,Усора,Укупно,1936
2023,Број,Вареш,Укупно,3580
2023,Број,Високо,Укупно,12900
2023,Број,Завидовићи,Укупно,12088
2023,Број,Зеница,Укупно,38601
2023,Број,Жепче,Укупно,8828
2023,Број,Босанско-подрињски кантон,Укупно,8670
2023,Број,Фоча-ФБиХ,Укупно,747
2023,Број,Горажде,Укупно,7573
2023,Број,Пале-ФБиХ,Укупно,350
2023,Број,Средњобосански кантон,Укупно,77881
2023,Број,Бугојно,Укупно,9429
2023,Број,Бусовача,Укупно,5620
2023,Број,Добретићи,Укупно,473
2023,Број,Доњи Вакуф,Укупно,4182
2023,Број,Фојница,Укупно,3908
2023,Број,Горњи Вакуф-Ускопље,Укупно,5685
2023,Број,Јајце,Укупно,8040
2023,Број,Кисељак,Укупно,6800
2023,Број,Крешево,Укупно,1845
2023,Број,Нови Травник,Укупно,7265
2023,Број,Травник,Укупно,16444
2023,Број,Витез,Укупно,8190
2023,Број,Херцеговачко-неретвански кантон,Укупно,68117
2023,Број,Чапљина,Укупно,7916
2023,Број,Читлук,Укупно,4666
2023,Број,Мостар,Укупно,34128
2023,Број,Јабланица,Укупно,3167
2023,Број,Коњиц,Укупно,8380
2023,Број,Неум,Укупно,1394
2023,Број,Прозор,Укупно,3653
2023,Број,Равно,Укупно,929
2023,Број,Столац,Укупно,3884
2023,Број,Западнохерцеговчки кантон,Укупно,25078
2023,Број,Груде,Укупно,4502
2023,Број,Љубушки,Укупно,7444
2023,Број,Посушје,Укупно,5153
2023,Број,Широки Бријег,Укупно,7979
2023,Број,Кантон Сарајево,Укупно,148860
2023,Број,Сарајево-Центар,Укупно,21482
2023,Број,Сарајево-Хаџићи,Укупно,7530
2023,Број,Сарајево-Илиџа,Укупно,22295
2023,Број,Сарајево-Илијаш,Укупно,6383
2023,Број,Сарајево-Нови Град,Укупно,42274
2023,Број,Сарајево-Ново Сарајево,Укупно,25688
2023,Број,Сарајево-Стари Град,Укупно,13750
2023,Број,Трново-ФБиХ,Укупно,647
2023,Број,Сарајево-Вогошћа,Укупно,8811
2023,Број,Кантон 10,Укупно,23755
2023,Број,Босанско Грахово,Укупно,1038
2023,Број,Дрвар,Укупно,3033
2023,Број,Гламоч,Укупно,1437
2023,Број,kupres,Укупно,1488
2023,Број,Ливно,Укупно,9028
2023,Број,Томиславград,Укупно,7731
2023,Број,Федерација Босне и Херцеговине,1,125942
2023,Број,Унско-сански кантон,1,11192
2023,Број,Бихаћ,1,3136
2023,Број,Босанска Крупа,1,1176
2023,Број,Босански Петровац,1,759
2023,Број,Бужим,1,290
2023,Број,Цазин,1,1558
2023,Број,Кључ,1,788
2023,Број,Сански Мост,1,1809
2023,Број,Велика Кладуша,1,1676
2023,Број,Посавски кантон,1,2537
2023,Број,Домаљевац-Шамац,1,207
2023,Број,Оџак,1,1124
2023,Број,Орашје,1,1206
2023,Број,Тузлански кантон,1,25880
2023,Број,Бановићи,1,1063
2023,Број,Челић,1,517
2023,Број,Добој-Исток,1,410
2023,Број,Грачаница,1,2276
2023,Број,Градачац,1,1672
2023,Број,Калесија,1,1146
2023,Број,Кладањ,1,528
2023,Број,Лукавац,1,3319
2023,Број,Сапна,1,366
2023,Број,Сребреник,1,2075
2023,Број,Теочак,1,251
2023,Број,Тузла,1,9810
2023,Број,Живинице,1,2447
2023,Број,Зеничко-добојски кантон,1,20383
2023,Број,Бреза,1,937
2023,Број,Добој-Југ,1,166
2023,Број,Какањ,1,1922
2023,Број,Маглај,1,1351
2023,Број,Олово,1,584
2023,Број,Тешањ,1,1819
2023,Број,Усора,1,298
2023,Број,Вареш,1,1016
2023,Број,Високо,1,1952
2023,Број,Завидовићи,1,1917
2023,Број,Зеница,1,7253
2023,Број,Жепче,1,1168
2023,Број,Босанско-подрињски кантон,1,1937
2023,Број,Фоча-ФБиХ,1,225
2023,Број,Горажде,1,1599
2023,Број,Пале-ФБиХ,1,113
2023,Број,Средњобосански кантон,1,12274
2023,Број,Бугојно,1,1438
2023,Број,Бусовача,1,885
2023,Број,Добретићи,1,73
2023,Број,Доњи Вакуф,1,569
2023,Број,Фојница,1,721
2023,Број,Горњи Вакуф-Ускопље,1,675
2023,Број,Јајце,1,1281
2023,Број,Кисељак,1,1199
2023,Број,Крешево,1,439
2023,Број,Нови Травник,1,1080
2023,Број,Травник,1,2579
2023,Број,Витез,1,1335
2023,Број,Херцеговачко-неретвански кантон,1,11555
2023,Број,Чапљина,1,1420
2023,Број,Читлук,1,591
2023,Број,Мостар,1,6277
2023,Број,Јабланица,1,448
2023,Број,Коњиц,1,1518
2023,Број,Неум,1,242
2023,Број,Прозор,1,434
2023,Број,Равно,1,137
2023,Број,Столац,1,488
2023,Број,Западнохерцеговчки кантон,1,3477
2023,Број,Груде,1,668
2023,Број,Љубушки,1,1127
2023,Број,Посушје,1,581
2023,Број,Широки Бријег,1,1101
2023,Број,Кантон Сарајево,1,32661
2023,Број,Сарајево-Центар,1,5731
2023,Број,Сарајево-Хаџићи,1,1198
2023,Број,Сарајево-Илиџа,1,4040
2023,Број,Сарајево-Илијаш,1,1017
2023,Број,Сарајево-Нови Град,1,8666
2023,Број,Сарајево-Ново Сарајево,1,6987
2023,Број,Сарајево-Стари Град,1,3401
2023,Број,Трново-ФБиХ,1,196
2023,Број,Сарајево-Вогошћа,1,1425
2023,Број,Кантон 10,1,4046
2023,Број,Босанско Грахово,1,352
2023,Број,Дрвар,1,1018
2023,Број,Гламоч,1,404
2023,Број,kupres,1,223
2023,Број,Ливно,1,1215
2023,Број,Томиславград,1,834
2023,Број,Федерација Босне и Херцеговине,2,167372
2023,Број,Унско-сански кантон,2,15317
2023,Број,Бихаћ,2,4422
2023,Број,Босанска Крупа,2,1645
2023,Број,Босански Петровац,2,794
2023,Број,Бужим,2,469
2023,Број,Цазин,2,2366
2023,Број,Кључ,2,1032
2023,Број,Сански Мост,2,2315
2023,Број,Велика Кладуша,2,2274
2023,Број,Посавски кантон,2,2808
2023,Број,Домаљевац-Шамац,2,230
2023,Број,Оџак,2,1281
2023,Број,Орашје,2,1297
2023,Број,Тузлански кантон,2,37907
2023,Број,Бановићи,2,1878
2023,Број,Челић,2,718
2023,Број,Добој-Исток,2,746
2023,Број,Грачаница,2,3828
2023,Број,Градачац,2,2571
2023,Број,Калесија,2,1939
2023,Број,Кладањ,2,816
2023,Број,Лукавац,2,4793
2023,Број,Сапна,2,559
2023,Број,Сребреник,2,3340
2023,Број,Теочак,2,325
2023,Број,Тузла,2,12230
2023,Број,Живинице,2,4164
2023,Број,Зеничко-добојски кантон,2,29234
2023,Број,Бреза,2,1337
2023,Број,Добој-Југ,2,281
2023,Број,Какањ,2,2844
2023,Број,Маглај,2,1858
2023,Број,Олово,2,919
2023,Број,Тешањ,2,2857
2023,Број,Усора,2,397
2023,Број,Вареш,2,996
2023,Број,Високо,2,2945
2023,Број,Завидовићи,2,3024
2023,Број,Зеница,2,9980
2023,Број,Жепче,2,1796
2023,Број,Босанско-подрињски кантон,2,2413
2023,Број,Фоча-ФБиХ,2,211
2023,Број,Горажде,2,2101
2023,Број,Пале-ФБиХ,2,101
2023,Број,Средњобосански кантон,2,16738
2023,Број,Бугојно,2,1991
2023,Број,Бусовача,2,1156
2023,Број,Добретићи,2,112
2023,Број,Доњи Вакуф,2,843
2023,Број,Фојница,2,954
2023,Број,Горњи Вакуф-Ускопље,2,1030
2023,Број,Јајце,2,1683
2023,Број,Кисељак,2,1636
2023,Број,Крешево,2,426
2023,Број,Нови Травник,2,1518
2023,Број,Травник,2,3618
2023,Број,Витез,2,1771
2023,Број,Херцеговачко-неретвански кантон,2,14958
2023,Број,Чапљина,2,1653
2023,Број,Читлук,2,846
2023,Број,Мостар,2,7817
2023,Број,Јабланица,2,718
2023,Број,Коњиц,2,2047
2023,Број,Неум,2,312
2023,Број,Прозор,2,640
2023,Број,Равно,2,197
2023,Број,Столац,2,728
2023,Број,Западнохерцеговчки кантон,2,4584
2023,Број,Груде,2,843
2023,Број,Љубушки,2,1323
2023,Број,Посушје,2,832
2023,Број,Широки Бријег,2,1586
2023,Број,Кантон Сарајево,2,38480
2023,Број,Сарајево-Центар,2,5977
2023,Број,Сарајево-Хаџићи,2,1673
2023,Број,Сарајево-Илиџа,2,5455
2023,Број,Сарајево-Илијаш,2,1516
2023,Број,Сарајево-Нови Град,2,10926
2023,Број,Сарајево-Ново Сарајево,2,7065
2023,Број,Сарајево-Стари Град,2,3523
2023,Број,Трново-ФБиХ,2,246
2023,Број,Сарајево-Вогошћа,2,2099
2023,Број,Кантон 10,2,4933
2023,Број,Босанско Грахово,2,335
2023,Број,Дрвар,2,940
2023,Број,Гламоч,2,439
2023,Број,kupres,2,311
2023,Број,Ливно,2,1728
2023,Број,Томиславград,2,1180
2023,Број,Федерација Босне и Херцеговине,3,148905
2023,Број,Унско-сански кантон,3,14714
2023,Број,Бихаћ,3,3833
2023,Број,Босанска Крупа,3,1460
2023,Број,Босански Петровац,3,485
2023,Број,Бужим,3,615
2023,Број,Цазин,3,3075
2023,Број,Кључ,3,929
2023,Број,Сански Мост,3,2089
2023,Број,Велика Кладуша,3,2228
2023,Број,Посавски кантон,3,2366
2023,Број,Домаљевац-Шамац,3,202
2023,Број,Оџак,3,1016
2023,Број,Орашје,3,1148
2023,Број,Тузлански кантон,3,34556
2023,Број,Бановићи,3,1978
2023,Број,Челић,3,573
2023,Број,Добој-Исток,3,750
2023,Број,Грачаница,3,3624
2023,Број,Градачац,3,2382
2023,Број,Калесија,3,2034
2023,Број,Кладањ,3,822
2023,Број,Лукавац,3,4194
2023,Број,Сапна,3,497
2023,Број,Сребреник,3,2980
2023,Број,Теочак,3,348
2023,Број,Тузла,3,9991
2023,Број,Живинице,3,4383
2023,Број,Зеничко-добојски кантон,3,27207
2023,Број,Бреза,3,1221
2023,Број,Добој-Југ,3,322
2023,Број,Какањ,3,2667
2023,Број,Маглај,3,1671
2023,Број,Олово,3,789
2023,Број,Тешањ,3,2991
2023,Број,Усора,3,318
2023,Број,Вареш,3,739
2023,Број,Високо,3,2933
2023,Број,Завидовићи,3,2792
2023,Број,Зеница,3,9052
2023,Број,Жепче,3,1712
2023,Број,Босанско-подрињски кантон,3,1732
2023,Број,Фоча-ФБиХ,3,108
2023,Број,Горажде,3,1590
2023,Број,Пале-ФБиХ,3,34
2023,Број,Средњобосански кантон,3,15345
2023,Број,Бугојно,3,1770
2023,Број,Бусовача,3,1209
2023,Број,Добретићи,3,73
2023,Број,Доњи Вакуф,3,829
2023,Број,Фојница,3,814
2023,Број,Горњи Вакуф-Ускопље,3,994
2023,Број,Јајце,3,1438
2023,Број,Кисељак,3,1355
2023,Број,Крешево,3,330
2023,Број,Нови Травник,3,1526
2023,Број,Травник,3,3355
2023,Број,Витез,3,1652
2023,Број,Херцеговачко-неретвански кантон,3,13109
2023,Број,Чапљина,3,1426
2023,Број,Читлук,3,760
2023,Број,Мостар,3,6904
2023,Број,Јабланица,3,679
2023,Број,Коњиц,3,1676
2023,Број,Неум,3,230
2023,Број,Прозор,3,569
2023,Број,Равно,3,165
2023,Број,Столац,3,700
2023,Број,Западнохерцеговчки кантон,3,3831
2023,Број,Груде,3,630
2023,Број,Љубушки,3,1126
2023,Број,Посушје,3,810
2023,Број,Широки Бријег,3,1265
2023,Број,Кантон Сарајево,3,32297
2023,Број,Сарајево-Центар,3,4414
2023,Број,Сарајево-Хаџићи,3,1608
2023,Број,Сарајево-Илиџа,3,4784
2023,Број,Сарајево-Илијаш,3,1399
2023,Број,Сарајево-Нови Град,3,9682
2023,Број,Сарајево-Ново Сарајево,3,5402
2023,Број,Сарајево-Стари Град,3,2857
2023,Број,Трново-ФБиХ,3,90
2023,Број,Сарајево-Вогошћа,3,2061
2023,Број,Кантон 10,3,3748
2023,Број,Босанско Грахово,3,162
2023,Број,Дрвар,3,470
2023,Број,Гламоч,3,198
2023,Број,kupres,3,281
2023,Број,Ливно,3,1463
2023,Број,Томиславград,3,1174
2023,Број,Федерација Босне и Херцеговине,4,154944
2023,Број,Унско-сански кантон,4,17510
2023,Број,Бихаћ,4,3933
