Year,UNIT_MEASURE,Age,Sex,Administrative area,Value
2013,Number, 45-49,F,Herzegovina-Neretva Canton,8123
2013,Number, 50-54,F,Herzegovina-Neretva Canton,8786
2013,Number, 55-59,F,Herzegovina-Neretva Canton,7912
2013,Number, 60-64,F,Herzegovina-Neretva Canton,6765
2013,Number, 65-69,F,Herzegovina-Neretva Canton,4917
2013,Number, 70-74,F,Herzegovina-Neretva Canton,5449
2013,Number, 75-79,F,Herzegovina-Neretva Canton,4886
2013,Number, 80-84,F,Herzegovina-Neretva Canton,3124
2013,Number,85+,F,Herzegovina-Neretva Canton,1869
2013,Number,Total,F,West Herzegovina Canton,47587
2013,Number,0-4,F,West Herzegovina Canton,2422
2013,Number, 5-9,F,West Herzegovina Canton,2656
2013,Number, 10-14,F,West Herzegovina Canton,3140
2013,Number, 15-19,F,West Herzegovina Canton,3600
2013,Number, 20-24,F,West Herzegovina Canton,3395
2013,Number, 25-29,F,West Herzegovina Canton,3235
2013,Number, 30-34,F,West Herzegovina Canton,2875
2013,Number, 35-39,F,West Herzegovina Canton,3024
2013,Number,40-44,F,West Herzegovina Canton,3201
2013,Number, 45-49,F,West Herzegovina Canton,3404
2013,Number, 50-54,F,West Herzegovina Canton,3238
2013,Number, 55-59,F,West Herzegovina Canton,2715
2013,Number, 60-64,F,West Herzegovina Canton,2160
2013,Number, 65-69,F,West Herzegovina Canton,1713
2013,Number, 70-74,F,West Herzegovina Canton,2167
2013,Number, 75-79,F,West Herzegovina Canton,2110
2013,Number, 80-84,F,West Herzegovina Canton,1421
2013,Number,85+,F,West Herzegovina Canton,1111
2013,Number,Total,F,Sarajevo Canton,218432
2013,Number,0-4,F,Sarajevo Canton,10904
2013,Number, 5-9,F,Sarajevo Canton,9954
2013,Number, 10-14,F,Sarajevo Canton,9939
2013,Number, 15-19,F,Sarajevo Canton,12892
2013,Number, 20-24,F,Sarajevo Canton,12639
2013,Number, 25-29,F,Sarajevo Canton,16397
2013,Number, 30-34,F,Sarajevo Canton,17439
2013,Number, 35-39,F,Sarajevo Canton,15625
2013,Number,40-44,F,Sarajevo Canton,14083
2013,Number, 45-49,F,Sarajevo Canton,15181
2013,Number, 50-54,F,Sarajevo Canton,16706
2013,Number, 55-59,F,Sarajevo Canton,16895
2013,Number, 60-64,F,Sarajevo Canton,15242
2013,Number, 65-69,F,Sarajevo Canton,10211
2013,Number, 70-74,F,Sarajevo Canton,9141
2013,Number, 75-79,F,Sarajevo Canton,8267
2013,Number, 80-84,F,Sarajevo Canton,4677
2013,Number,85+,F,Sarajevo Canton,2240
2013,Number,Total,F,Canton 10,41784
2013,Number,0-4,F,Canton 10,1663
2013,Number, 5-9,F,Canton 10,1850
2013,Number, 10-14,F,Canton 10,2230
2013,Number, 15-19,F,Canton 10,2865
2013,Number, 20-24,F,Canton 10,2589
2013,Number, 25-29,F,Canton 10,2508
2013,Number, 30-34,F,Canton 10,2561
2013,Number, 35-39,F,Canton 10,2695
2013,Number,40-44,F,Canton 10,2955
2013,Number, 45-49,F,Canton 10,2984
2013,Number, 50-54,F,Canton 10,2927
2013,Number, 55-59,F,Canton 10,2841
2013,Number, 60-64,F,Canton 10,2489
2013,Number, 65-69,F,Canton 10,2050
2013,Number, 70-74,F,Canton 10,2269
2013,Number, 75-79,F,Canton 10,2094
2013,Number, 80-84,F,Canton 10,1387
2013,Number,85+,F,Canton 10,827
